connection_name,fT1,fT23,fT4,fT5,fT6
VISp_to_VISl_FF,0.19813367110242602,0.27535630686597706,0.12833715384826364,0.2897129192928401,0.10845994889049317
VISp_to_VISpm_FF,0.2559576345048101,0.2722181926895438,0.08670947755302472,0.2998452603401857,0.08526943491243563
VISp_to_VISrl_FF,0.1976290736118113,0.29310372236745597,0.1497955184384598,0.2746407766415096,0.08483090894076331
VISp_to_RSPagl_FF,0.3074170879156448,0.2355765397918067,0.0,0.30377434484220234,0.15323202745034614
VISp_to_VISal_FF,0.2000866581118067,0.3895172085317584,0.12303578994067813,0.22457270770031346,0.0627876357154432
VISp_to_VISpl_FF,0.23483617324322775,0.27236501399734087,0.036419795873349536,0.3412228790273569,0.11515613785872496
VISp_to_RSPd_FF,0.34021198599745933,0.14831507824480294,0.0,0.29346794049717057,0.21800499526056719
VISp_to_VISam_FF,0.24835202286015018,0.2983441120229445,0.06231796381315308,0.27984328048371204,0.11114262082004019
VISp_to_VISpor_FF,0.2075525170881101,0.32979093777505164,0.06147073966045627,0.2678036702065691,0.1333821352698128
VISp_to_VISli_FF,0.20010150381667408,0.34321637028357876,0.07984788581731306,0.2955999514952043,0.08123428858722977
VISp_to_VISa_FF,0.12822857234661902,0.27958046215079463,0.09226383985195526,0.41047820789668615,0.08944891775394492
VISp_to_RSPv_FF,0.34693443991977324,0.15719832278546778,0.0,0.24518975919197725,0.25067747810278174
VISp_to_TEa_FF,0.19692132005106663,0.21548969926363198,0.1178495061602688,0.30062715568445286,0.1691123188405797
VISp_to_ACAd_FF,0.5160665911384131,0.26635005403815637,0.0,0.16631370449895969,0.05126965032447073
