direction,n_neurons,fT1,fT23,fT4,fT5,fT6
FB,1133,0.4255622899044742,0.09224044180636878,0.06666040323681968,0.2099682167376818,0.20556864831465552
FF,1838,0.23734967893311548,0.27732858925662046,0.07752618741814384,0.2911977415239679,0.11659780286815233
