neuron_id,direction,cluster,nearest_cross_cluster,dist_to_nearest_cross,distance_metric
195047_009,FB,2,4,0.6528134731444839,euclidean
195049_033,FB,1,5,0.17386559574669622,euclidean
195049_036,FB,3,1,0.08605102300453746,euclidean
195051_005,FB,3,1,0.08605102300453746,euclidean
195051_019,FB,1,5,0.17386559574669622,euclidean
195051_025,FB,1,5,0.12126437668723125,euclidean
195051_028,FB,1,5,0.24843812844191193,euclidean
195199_019,FB,1,5,0.16206935713470746,euclidean
195199_020,FB,3,1,0.08605102300453746,euclidean
195199_046,FB,5,4,0.419579445041203,euclidean
195199_050,FB,1,5,0.17386559574669622,euclidean
195614_028,FB,5,4,0.08308167341628206,euclidean
195615_012,FB,3,1,0.16991025939102467,euclidean
195618_027,FB,1,5,0.17386559574669622,euclidean
195620_013,FB,1,5,0.17386559574669622,euclidean
195828_056,FB,3,1,0.08605102300453746,euclidean
195839_015,FB,1,5,0.17386559574669622,euclidean
195840_004,FB,3,1,0.08605102300453746,euclidean
195840_107,FB,1,5,0.20053772800088684,euclidean
196548_028,FB,1,5,0.17386559574669622,euclidean
196550_026,FB,1,5,0.34486509363965323,euclidean
200194_058,FB,3,1,0.08605102300453746,euclidean
200194_093,FB,2,1,0.804723305949973,euclidean
200194_105,FB,1,5,0.6286877142533401,euclidean
200195_005,FB,3,5,0.8144662221597441,euclidean
200195_007,FB,3,1,0.11896609234633602,euclidean
200195_012,FB,1,5,0.17386559574669622,euclidean
200195_015,FB,2,1,0.6070111447766172,euclidean
200195_016,FB,3,1,0.08605102300453746,euclidean
200195_019,FB,2,1,0.8396340269107446,euclidean
200195_023,FB,1,5,0.17386559574669622,euclidean
200196_060,FB,2,1,0.804723305949973,euclidean
200196_088,FB,3,1,0.08605102300453746,euclidean
200197_001,FB,1,5,0.17386559574669622,euclidean
200197_015,FB,1,5,0.14790143532783376,euclidean
200197_020,FB,3,1,0.08605102300453746,euclidean
200197_028,FB,1,5,0.6286877142533401,euclidean
200197_043,FB,3,1,0.08605102300453746,euclidean
200198_019,FB,2,1,0.804723305949973,euclidean
200198_024,FB,3,1,0.08605102300453746,euclidean
200198_025,FB,1,5,0.6276954193055103,euclidean
200198_038,FB,1,5,0.17386559574669622,euclidean
200199_008,FB,1,5,0.4727828054035526,euclidean
200199_011,FB,2,1,0.804723305949973,euclidean
200199_020,FB,1,5,0.17386559574669622,euclidean
200199_023,FB,3,1,0.08605102300453746,euclidean
200199_034,FB,5,4,0.08308167341628206,euclidean
