ff_cluster,fb_cluster,distance_metric,distance,euclidean_distance,cosine_distance
1,3,euclidean,0.0851648994213526,0.06891745791844783,0.0027906847810834634
2,6,euclidean,0.1885330027391481,0.09017386253824668,0.00952786351811774
3,2,euclidean,1.3934272600115265,0.6537786452988027,0.5052697225210164
4,5,euclidean,0.08648952121226035,0.10593215744324774,0.0041530214558730405
5,1,euclidean,0.11265484643776878,0.08821472610028831,0.005098654058032892
6,4,euclidean,0.29288208902937296,0.19367293618856174,0.03338683905518036
