direction,k,silhouette,within_cluster_variance,gap,gap_se
FB,2,0.46353485819854817,0.09717972142103762,0.7099633734604582,0.021878157272747806
FB,3,0.5466308758261025,0.06228378642738753,1.0489274544678464,0.020436703526883253
FB,4,0.5698903612989032,0.04597636458965446,1.266738016556424,0.022770475049650196
FB,5,0.5703606827888301,0.03871162181610291,1.3625042449724676,0.021799280626180296
FB,6,0.5638939112661904,0.034403444306362954,1.4146006065393486,0.020251335564454374
FB,7,0.45375655764534484,0.030123649011452903,1.4866954887844495,0.01867738186694648
FB,8,0.47775312334456416,0.026525282262008707,1.5559415654552629,0.018316974054046732
FB,9,0.49923482516212314,0.023657541498477215,1.6184422131533651,0.017730805829306362
FB,10,0.5003631853596566,0.021614689973797122,1.6600331810735804,0.019059681241165655
FB,11,0.5168167610750698,0.01990149070197417,1.697730794775354,0.019868256005071392
FB,12,0.5186576002114315,0.018250859241956286,1.743571391757941,0.019207363301397478
FB,13,0.5213045751402278,0.017059267223352683,1.7720965962574473,0.018330612691306113
FB,14,0.5136512668463039,0.01606221579421818,1.794054473684275,0.01822698193959639
FB,15,0.5196002719815214,0.015093242169970354,1.8197038340409613,0.018172434570197984
FB,16,0.5048666399135537,0.01425204932676683,1.8421705305732523,0.01771249722094954
FB,17,0.5113045482691485,0.013471422373621056,1.8653071527918392,0.01771605603543011
FB,18,0.49306633467304345,0.012849187198455406,1.8814641069356348,0.01819815390154574
FB,19,0.499406671851314,0.012288983415841762,1.896934683278186,0.018219958242863408
FB,20,0.5048764568568667,0.011769759792440704,1.9122091347447867,0.017738435524908638
FF,2,0.35078761256469954,0.11861197850126375,0.5529488761341721,0.01763820370738979
FF,3,0.38251858046731035,0.08786541116170414,0.7474187362354696,0.025548915663075433
FF,4,0.4567376063344779,0.059269932446477734,1.0524260953626925,0.026663180957852774
FF,5,0.4713497640744755,0.047217151383142114,1.2050428541118468,0.02710786470598219
FF,6,0.4722977704653054,0.03750161208881635,1.3700185881531342,0.028628185333021073
FF,7,0.4571391010807314,0.031759262559222436,1.475656879360387,0.025877752269912065
FF,8,0.4604992566737247,0.029131192610081798,1.5078197369582256,0.024841564905543838
FF,9,0.4641521107663263,0.02656202505616228,1.5511701198035155,0.02321865904229545
FF,10,0.45418410043095647,0.024147838772485154,1.6002708242582706,0.0226231973475268
FF,11,0.46148131720092717,0.021811669635280816,1.657773123537642,0.022877641961741246
FF,12,0.47095460948637174,0.019634798872872006,1.7217581773157855,0.02219581263605762
FF,13,0.44942993988695445,0.018460180670558195,1.7449228151667562,0.021346038480672437
FF,14,0.4599568861567284,0.017409487086686163,1.767879125236865,0.019555133599910405
FF,15,0.45784937909131995,0.016421528795870728,1.7925988809963789,0.01842934798835304
FF,16,0.46520980398308553,0.015517436229097232,1.8171602730399288,0.017817576156445337
FF,17,0.46941804269587467,0.014630709328147033,1.8452868205854847,0.01706237921376891
FF,18,0.4727133321148348,0.013875610180117492,1.8687713268061978,0.016154040651146135
FF,19,0.4759520933902725,0.013129513753297371,1.896054584606893,0.015157795048247045
FF,20,0.47974329935069604,0.012450235446940423,1.9221123477790316,0.014579687259332527
