target_layer,H_statistic,p_value,p_adjusted,significant
L1,169.56553404358328,1.2963198544578072e-35,2.1605330907630122e-35,True
L2/3,353.3978165724981,3.2383510979303905e-75,1.6191755489651953e-74,True
L4,116.06649044791764,3.6946941297774135e-24,4.618367662221767e-24,True
L5,108.3558638517927,1.6315055019467495e-22,1.6315055019467495e-22,True
L6,332.0440226325331,1.3192597730842113e-70,3.298149432710528e-70,True
