cluster,fT1,fT23,fT4,fT5,fT6
1,0.7609153927005843,0.0800510129109442,0.038558516241440875,0.0863419777380188,0.03413310040901179
2,0.021282598173956706,0.0017740429505135385,0.011203673372567662,0.439451474152415,0.5262882113505472
3,0.06328243240193251,0.02466719007965258,0.01000911074199866,0.044786899115257406,0.8572543676611588
4,0.1406479628991232,0.5300655265320123,0.12049553067762797,0.18535834125744263,0.023432638633793763
5,0.07300373606377322,0.02031345862870996,0.04289757329690373,0.7996421238804351,0.06414310813017801
6,0.06163763908395093,0.03190309431205789,0.5290504710906204,0.3045924342282886,0.0728163612850821
