 ,221475_127,221480_097,221481_338,221519_043,221519_044,221519_058,221622_001,221622_002,221622_007,221622_011,221622_047,221622_061,221644_085,221645_164,221706_070,221706_088,221706_091,221706_133,221714_042,221714_047,221733_033,221733_035,221733_097,221751_063,221751_065,221751_071,221751_085,221751_087,221751_089,221756_065,221757_065,221757_073,221757_074,221757_075,221757_077,221757_078,230105_019,230108_030,230108_032,230109_004,230110_026,230110_028,230110_029,231567_099,231567_123,231568_028,231568_033,231568_034,233795_061,221419_056,221419_061,221424_043,221474_133,221475_105,221706_084,221706_138,221715_001,221751_257,221751_262,221756_084,221757_071,221757_072,230108_031,231568_030,212075_027,220239_169,221220_008,221418_141,221418_142,221419_059,221423_013,221423_014,221423_016,221423_032,221423_040,221423_058,221475_088,221475_109,221475_110,221475_111,221645_178,221706_078,221706_123,221706_142,221714_045,221714_050,221732_099,221733_091,221754_013,231569_020,220239_189,221062_070,221087_105,221423_042,221423_060,221513_074,221517_026,220239_140,221423_059,221423_065,221530_127
="AUDp1",="0",="0",="0",="0",="0",="0",="0",="262.8255",="0",="0",="0",="801.7198",="145.8686",="911.3676",="0",="0",="1029.2933",="0",="3590.8933",="602.8069",="0",="0",="0",="198.5416",="2345.1773",="168.0922",="3004.6286",="1041.9888",="105.4692",="0",="0",="151.9175",="1415.7055",="414.2705",="3539.3199",="1161.5146",="2120.5019",="397.1565",="0",="4914.1385",="190.5331",="2197.2818",="0",="0",="0",="1348.9194",="0",="1486.3983",="0",="0",="0",="2124.7175",="0",="0",="1508.3437",="124.1793",="3818.6303",="0",="785.1517",="0",="0",="0",="1211.4179",="0",="4668.1045",="0",="3231.6951",="5027.7464",="3478.2799",="0",="0",="0",="0",="0",="0",="0",="9146.1381",="5871.3449",="5324.9305",="5119.878699999999",="2272.114",="105.0204",="77.5529",="0",="0",="1013.1781",="907.7174",="516.3458",="0",="0",="1520.1236",="0",="0",="1717.7183",="0",="12846.9026",="13312.1171",="7755.3484",="0",="0",="1286.7521"
="VISrl1",="0",="0",="0",="0",="0",="0",="0",="0",="2029.8148",="0",="1296.9823000000001",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="291.0209",="0",="0",="0",="0",="564.3683",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="235.9586",="0",="0",="0",="0",="0",="0",="0",="0",="12.9148",="0",="0",="0",="0",="0",="0",="3876.3842",="0",="179.6273",="265.3025",="0",="0",="0",="0",="0",="0",="0",="751.8495",="0",="0",="0",="0",="0",="0",="149.3757",="0",="1327.7537",="0",="0",="698.0025",="0",="0",="0"
="VISrl2/3",="0",="0",="0",="0",="0",="0",="0",="0",="1128.7734",="0",="3851.504",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6.1382",="0",="587.7737",="0",="0",="0",="0",="32.8124",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="480.4751",="0",="0",="0",="0",="0",="0",="1827.3968",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="752.1631",="0",="0",="0",="0",="0",="0",="746.0836",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl4",="0",="0",="0",="0",="0",="0",="0",="0",="251.0242",="0",="215.3497",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="80.7998",="0",="0",="0",="0",="0",="0",="0",="0",="0",="786.1171",="0",="0",="0",="0",="0",="610.7023",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="356.1409",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="407.0265",="0",="0",="0",="0",="0",="0",="388.6819",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl6b",="0",="0",="0",="0",="0",="0",="0",="0",="48.5582",="0",="0",="527.2883",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="61.3333",="0",="0",="0",="0",="0",="0",="0",="0",="203.9918",="486.4181",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="147.9475",="0",="0",="0",="0",="99.837",="252.8789",="0",="0",="70.4491",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="722.8608",="0",="223.1558",="0",="0",="0",="0",="0",="0"
="ENTm3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="196.1265",="0",="0",="0",="0",="0",="0",="0",="0",="0",="152.8682",="0",="0",="0",="0",="0",="0",="18.1174",="0",="0",="0",="430.6786",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="159.31",="0",="0",="0",="192.2803",="267.2177",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="222.3269",="0",="0",="29.9014",="226.7529",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="216.1104",="0",="0",="0",="0",="0",="0",="0",="0",="0",="230.0735",="0",="0",="0",="0",="0",="0"
="ENTm5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="184.8544",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="317.7302",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="312.2541",="0",="0",="0",="878.6342",="0",="0",="0",="0",="0",="0",="344.3315",="0",="0",="0",="0",="0",="0",="318.068",="0",="0",="0",="11.103",="0",="0",="0",="0",="0",="0",="817.5826",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="24.8874",="388.082",="0",="0",="0",="0",="0",="0"
="VISam6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="82.6224",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="170.8345",="0",="69.0838",="78.957",="0",="0",="0",="0",="0",="0",="0",="672.3264",="0",="0",="0",="0",="0",="0",="0",="180.1534",="0",="257.5592",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="347.4889",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="565.8314",="0",="0",="0",="29.44",="4.8343",="0",="0",="0",="0",="0",="0",="0",="0",="1634.9856",="2330.5531",="0",="0",="0",="0",="338.8828",="0",="0",="0",="0",="0",="3725.6539",="179.846",="0",="0",="608.5852",="0",="0",="255.3651",="0",="0",="0",="71.0362",="0",="0",="0",="0",="0",="0",="2201.0859",="427.9761",="77.1034",="0",="0",="0",="0",="124.6857",="0",="0",="0",="1014.4656",="869.6893",="0",="0",="0",="0",="919.1876",="0",="628.6758",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="231.0835",="0",="0"
="VISpm2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2349.9154",="0",="137.1594",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="360.2339",="0",="0",="0",="0",="9.0673",="0",="0",="0",="0",="0",="0",="0",="0",="5402.6603",="6395.9207",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="181.1133",="98.9752",="0",="0",="250.4059",="0",="0",="0",="0",="0",="0",="444.5955",="0",="0",="0",="0",="0",="0",="0",="0",="410.2019",="0",="0",="0",="0",="0",="0",="0",="0",="109.1734",="293.4473",="0",="0",="0",="0",="0",="0",="992.3325",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="648.5638",="0",="293.383",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="261.0973",="1054.4614",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="201.2148",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="115.1105",="0",="0",="0",="0",="0",="0",="316.1324",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3828.6835",="0",="585.1241",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="296.1305",="0",="0",="0",="0",="0",="0",="0",="105.683",="13.5486",="0",="0",="0",="84.9222",="828.0281",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="329.2968",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1445.1043",="0",="0",="0",="1.6957",="0",="514.1818",="0",="66.5815",="17.5985",="128.3369",="298.9694",="293.7525",="0",="0",="0",="227.6949",="0",="0",="572.0782",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="146.1338",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="70.4659",="0",="0",="37.3203",="0",="56.4737",="0",="0",="0",="0",="0",="0",="0",="33.4278",="0",="0",="53.2254",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="76.7899",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="162.9016",="0",="0",="0",="0",="80.305",="251.2611",="0",="0",="323.9669",="25.1429",="0",="0",="0",="0",="0",="0",="40.9968",="0",="124.3304",="43.4019",="0",="0",="0",="0",="0",="0",="78.8808",="0",="0",="0",="0",="0",="0"
