 ,221478_836,221481_220,221481_226,221481_558,221481_607,221701_063,221701_064,221701_065,221701_066,221751_096,230110_031,231570_001,231570_007,233668_074,233668_079,233668_082,233668_083,233668_084,233668_085,233668_086,233668_087,233668_088,233668_089,233668_090,233668_091,233668_092,233668_093,233795_037,233795_038,233795_039,233795_040,233795_041,233795_042,233795_043,233795_045,233795_046,233795_048,233795_049,233795_050,233795_053,233795_055,233795_082,233795_128,233795_135,221481_221,221481_223,221481_225,221481_550,221481_593,221481_603,221481_604,221481_606,230061_041,231686_052,231686_053,231686_054,231686_055,221225_002,221225_007,221367_245,221426_079,221481_222,221713_001,231686_056,231687_019,231687_020,233667_287,233667_288,221065_092,221065_093,221424_044,221426_076,221225_001,221225_003,221225_004,221225_005,221225_006,221225_008,221225_011,221225_012,221225_013,221225_014,221225_017,221225_019,221225_020,221226_008,221226_009,221226_016,221226_025,221226_026,221424_042,231687_022,221513_058,221516_004,221516_010,231687_033,233281_010,233281_119,233281_121
="POL",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="169.9564",="984.5961",="237.4663",="116.1626",="194.3029",="1242.4855",="0",="96.3206",="69.1611",="0",="0",="644.6684",="0",="0",="0",="97.8456",="0",="0",="0",="0",="2216.6979",="0",="0",="152.8565",="0",="48.7047"
="LD",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11502.3095",="788.3938",="13183.6718",="7687.6737",="1322.2246",="225.0874",="0",="13048.241",="0",="1390.8649",="108.227",="0",="15061.7091",="0",="0",="0",="0",="73.8896",="0",="350.8926",="8976.2539",="0",="2995.3105",="605.3658",="5707.6481",="1427.9106"
="IGL",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="369.5491",="186.4328",="342.5963",="159.9077",="417.5108",="0",="181.3476",="555.0408",="140.541",="236.9323",="200.7634",="177.6965",="0",="136.1393",="159.7983",="583.6723",="1.9119",="0",="201.2886",="0",="0",="0",="0",="0",="0",="379.3773"
="SubG",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="658.87",="147.0884",="897.2566",="281.9198",="388.4001",="1803.5716",="0",="183.5012",="327.4879",="0",="0",="36.4105",="378.4675",="0",="223.5792",="33.5601",="79.9845",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SCop",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2056.4527",="0",="1052.3235",="596.4032",="1804.3654",="2475.4871",="470.1401",="15.9113",="7570.415",="6465.4335",="650.9635",="1172.2723",="18.3746",="7143.4535",="0",="6657.6891",="13415.1723",="7788.9685",="8930.842",="0",="0",="0",="0",="0",="0",="0"
="SCdg",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="182.8532",="1726.262",="0",="0",="64.6039",="0",="0",="0",="0",="0",="1027.2628",="154.6802",="0",="4234.5538",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SCiw",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3058.6779",="820.4917",="0",="0",="940.9448",="703.2176",="3774.5034",="1246.4754",="332.5429",="705.4912",="710.1177",="1071.37",="0",="2258.1633",="0",="0",="476.7214",="0",="22.1974",="0",="0",="0",="0",="0",="0",="0"
="APN",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1556.0399",="0",="5447.7603",="8065.1231",="970.822",="5291.3716",="11486.0089",="2884.6137",="2434.4043",="639.7627",="3202.2867",="460.6347",="7889.1047",="4783.3137",="0",="1130.6304",="1881.9224",="94.3258",="3520.2525",="0",="181.9322",="0",="0",="551.1033",="0",="0"
="NPC",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1539.8129",="0",="0",="0",="0",="389.6083",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="OP",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="196.4862",="0",="314.4567",="206.9973",="236.2241",="0",="72.1663",="360.3903",="0",="97.341",="290.3686",="0",="0",="112.067",="0",="215.7392",="1.3632",="0",="176.7982",="0",="0",="0",="0",="0",="0",="0"
