NeuronId,x,y,z
="233795_074.swc",="8286.580078125",="1009.3099975585938",="8944.599609375"
="233795_075.swc",="8105.7998046875",="890.9840087890625",="8737.66015625"
="233795_085.swc",="9310.759765625",="1110.8199462890625",="8537.7802734375"
="233795_087.swc",="9200.759765625",="1026.199951171875",="8476.080078125"
="233795_088.swc",="9309.599609375",="991.1539916992188",="8480.6201171875"
="233795_089.swc",="9299.599609375",="1026.6300048828125",="8439.66015625"
="233795_090.swc",="9254.7998046875",="939.8200073242188",="8349.900390625"
="233795_091.swc",="9173.5595703125",="942.280029296875",="8182.3798828125"
="233795_092.swc",="9204.4599609375",="978.0599975585938",="8218.900390625"
="233795_093.swc",="9060.48046875",="931.1820068359375",="8247.3798828125"
="233795_094.swc",="9013.3203125",="877.2100219726562",="8422.48046875"
="233795_095.swc",="8921.2998046875",="923.3040161132812",="8347.900390625"
="233795_097.swc",="9056.1796875",="1017.8800048828125",="8495.98046875"
="233795_098.swc",="9048.6396484375",="843.5",="8573.759765625"
="233795_099.swc",="8957.3203125",="1001.0999755859375",="8565.240234375"
="233795_100.swc",="8997.7197265625",="1014.280029296875",="8642.0400390625"
="233795_101.swc",="8979.51953125",="1022.530029296875",="8686.900390625"
="233795_102.swc",="9142.4599609375",="1102.739990234375",="8700.51953125"
="233795_103.swc",="9046.6796875",="1142.0999755859375",="8873.9404296875"
="233795_104.swc",="9060.9599609375",="1208.800048828125",="8919.16015625"
="233795_106.swc",="8244.9599609375",="753.9940185546875",="8572.2197265625"
="233795_124.swc",="7818.31982421875",="771.4760131835938",="8321.1396484375"
="233795_125.swc",="7824.77978515625",="789.1300048828125",="8194.1201171875"
="221090_095.swc",="8148.919921875",="1079.949951171875",="3018.659912109375"
="221091_154.swc",="9074.580078125",="844.3619995117188",="7524.02001953125"
="221417_015.swc",="8679.2197265625",="1314.199951171875",="2751.1201171875"
="221417_018.swc",="8738.7998046875",="1223.5699462890625",="2811.860107421875"
="221417_043.swc",="8719.919921875",="1293.550048828125",="2736.1201171875"
="221418_129.swc",="8366.7001953125",="892.0040283203125",="3632.8798828125"
="221418_139.swc",="8846",="1040.280029296875",="3727.43994140625"
="221477_060.swc",="8370.2197265625",="1286.1600341796875",="2414.320068359375"
="221478_326.swc",="9149.8798828125",="1582.800048828125",="9116.099609375"
="221478_349.swc",="8413.4404296875",="1282.300048828125",="8822.33984375"
="221479_159.swc",="8665.8203125",="1356.8800048828125",="8934.080078125"
="221479_164.swc",="8613.5595703125",="1092.9300537109375",="8230.3798828125"
="221479_166.swc",="9150.580078125",="1295.0400390625",="8649.9404296875"
="221479_169.swc",="8537.2001953125",="1293.72998046875",="8872.2998046875"
="221480_100.swc",="8474.16015625",="1239.2099609375",="2778.97998046875"
="221481_198.swc",="8067.77978515625",="1150.6600341796875",="8726.1201171875"
="231685_243.swc",="8768.2197265625",="1064.489990234375",="3212.699951171875"
="231685_255.swc",="8799.6796875",="1214.510009765625",="2867.56005859375"
="231685_273.swc",="8934.400390625",="1359.6500244140625",="2672.02001953125"
="231685_275.swc",="9038.240234375",="1481.81005859375",="2616.9599609375"
="231685_279.swc",="9241.1796875",="1302.5899658203125",="2885.820068359375"
="231685_285.swc",="9428.759765625",="1158.010009765625",="3032.4599609375"
="231686_057.swc",="9155.7197265625",="1509.3900146484375",="2499.820068359375"
="233379_029.swc",="8794.740234375",="1008.9299926757812",="8144.14013671875"
="233379_032.swc",="8273.3603515625",="1050.02001953125",="8416.66015625"
="233379_036.swc",="8383.6201171875",="999.0800170898438",="8196.3203125"
="233379_039.swc",="8288.4404296875",="1093.02001953125",="8659.5400390625"
="233379_097.swc",="8022.14013671875",="876.8619995117188",="8012.22021484375"
="233379_118.swc",="8220.080078125",="1201.6099853515625",="8915.759765625"
="233379_130.swc",="8703.6201171875",="1250.3599853515625",="8585.919921875"
="233379_136.swc",="8578.419921875",="1229.8499755859375",="8882.7197265625"
="233379_142.swc",="8149.080078125",="961.0479736328125",="8238.2197265625"
="233380_036.swc",="9159.0400390625",="998.8200073242188",="8014.2998046875"
="233380_093.swc",="9082.4404296875",="1015.280029296875",="8024.18017578125"
="233666_200.swc",="9242.5",="1670.5699462890625",="2459.840087890625"
="233666_204.swc",="9196.4404296875",="1542.489990234375",="2597.820068359375"
="233666_218.swc",="8389.080078125",="961.4619750976562",="3283.719970703125"
="221090_092.swc",="8206.51953125",="1279.800048828125",="2799.43994140625"
="221090_093.swc",="8213.01953125",="1279.93994140625",="2860.179931640625"
="221090_094.swc",="8193.080078125",="1165.1600341796875",="2916.06005859375"
="221090_099.swc",="8072.080078125",="1044.1199951171875",="3175.06005859375"
="221091_125.swc",="8628.2197265625",="908.5260009765625",="7656.16015625"
