 ,220239_105,221057_053,221057_056,221057_073,221364_007,221364_009,221364_022,221364_023,221364_029,221364_032,221364_034,221364_035,221364_037,221364_039,221364_040,221364_041,221364_049,221364_050,221364_063,221364_064,221364_065,221364_073,221364_074,221364_076,221364_077,221364_115,221364_116,221364_117,221364_119,221365_029,221365_083,221365_099,221416_021,221703_179,221703_216,221703_223,221703_224,221719_051,221728_166,221728_167,221728_169,221728_172,221728_175,221728_177,230011_181,230011_184,230011_185,230011_188,230011_189,230011_190,230011_193,230011_194,230011_203,230113_008,233795_113,233795_114,233795_115,233795_116,233795_117,233795_119,233795_120,233795_122,233795_123,233795_129,221089_022,221089_024,221089_038,221089_039,221089_130,221089_131,221089_132,221089_133,221090_105,221364_072,221365_084,221478_204,221478_212,221478_215,221479_143,221479_148,221703_171,221703_173,221703_176,221719_053,221719_055,220191_016,220239_017,221089_026,221089_129,221416_014,221416_016,221416_020,221474_208,221475_266,221476_040,221476_054,221476_060,221476_079,221476_081,221476_095,221476_101,221478_205,221479_147,220191_014,221475_222,221476_055,221476_078,221365_038,221365_064,221367_114,221367_129,221476_037,221476_039,221478_229,221511_042,233285_043,233285_096,233795_121,233282_055,233285_042
="SSs1",="12256.7212",="592.1635",="2734.5509",="0",="0",="0",="0",="691.8618",="0",="0",="0",="0",="0",="38.9989",="0",="0",="3748.6761",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="628.441",="0",="0",="0",="19.8242",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="87.5958",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="944.1956",="898.2118",="0",="5847.0482",="1694.6738",="0",="0",="0",="0",="0",="0",="993.0384",="2329.8946",="0",="1048.5817",="0",="0",="0",="0",="0",="6862.4911",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs2/3",="8019.2271",="613.0598",="598.648",="0",="0",="0",="0",="18.0201",="0",="0",="0",="0",="0",="0",="0",="0",="2055.6547",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="226.0785",="0",="0",="0",="39.4064",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="534.6348",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="783.3253",="0",="1190.0558",="279.0868",="0",="0",="0",="0",="0",="0",="1271.8264",="679.8819",="0",="1024.2135",="0",="0",="0",="0",="0",="2964.6851",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs4",="5020.4189",="1706.4718",="0",="0",="0",="0",="0",="75.7712",="0",="0",="0",="0",="59.2716",="0",="0",="0",="267.1593",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="618.4604",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="58.4904",="600.8199",="0",="313.796",="0",="0",="0",="0",="0",="0",="0",="345.4456",="288.3006",="0",="423.6152",="0",="0",="0",="0",="0",="2949.4063",="0",="0",="0",="0",="0",="0",="0",="0",="138.91",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs5",="2445.5459",="357.8665",="375.3927",="314.2174",="0",="0",="0",="102.486",="0",="0",="0",="0",="264.5046",="0",="0",="0",="2555.1271",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="476.7919",="0",="0",="0",="0",="0",="1155.4807",="0",="0",="0",="0",="0",="0",="0",="318.5305",="0",="0",="0",="0",="0",="0",="156.7301",="0",="0",="0",="0",="1049.3156",="0",="244.7484",="247.1957",="0",="0",="0",="0",="0",="0",="569.1372",="282.7381",="0",="118.4599",="0",="0",="0",="0",="0",="1748.8843",="0",="0",="0",="0",="0",="0",="0",="1731.3052",="3912.2188",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd1",="1803.5457",="462.6137",="2003.7822",="96.5725",="0",="0",="0",="5338.882",="0",="0",="0",="0",="96.1689",="2042.4635",="0",="0",="1036.6806",="0",="0",="0",="0",="0",="0",="0",="0",="0",="278.4832",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="570.6176",="0",="0",="0",="2392.9324",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1685.8109",="0",="0",="0",="0",="0",="0",="0",="460.2952",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1284.1318",="950.3677",="0",="5454.974",="7073.9793",="0",="0",="0",="0",="0",="0",="2068.6422",="2702.1122",="0",="716.6871",="0",="0",="0",="0",="0",="2744.0078",="0",="0",="0",="139.8782",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd2/3",="3855.8715",="756.0915",="482.7111",="123.1966",="0",="0",="0",="2288.3954",="0",="0",="0",="0",="623.2802",="614.7661",="0",="0",="764.7623",="0",="0",="0",="0",="0",="0",="0",="0",="0",="108.5732",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="434.7553",="0",="0",="0",="918.578",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="391.7824",="0",="0",="0",="0",="0",="0",="0",="1314.7643",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="631.0032",="1044.0543",="0",="989.0016",="1989.3209",="0",="0",="0",="0",="0",="0",="567.5296",="676.3667",="0",="931.0702",="0",="0",="0",="0",="0",="138.2365",="0",="0",="0",="445.066",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd4",="72.3819",="180.6485",="119.7005",="248.1788",="0",="0",="0",="931.5568",="0",="0",="0",="0",="432.7169",="8.1017",="0",="0",="955.1635",="79.455",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="121.5718",="0",="0",="0",="0",="0",="0",="0",="8.6332",="0",="0",="0",="0",="0",="71.3579",="0",="0",="0",="0",="0",="0",="0",="265.4272",="0",="0",="0",="0",="0",="495.2862",="0",="0",="0",="0",="494.6963",="274.7353",="0",="137.7198",="925.756",="0",="0",="0",="0",="0",="0",="107.9548",="0",="0",="160.2906",="0",="0",="0",="0",="0",="158.2769",="0",="0",="0",="54.8085",="0",="0",="0",="0",="158.1017",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="2110.0301",="2331.0316",="0",="1065.4013",="0",="0",="0",="0",="0",="0",="0",="0",="715.5761",="1713.3245",="0",="0",="622.3262",="347.8357",="951.2618",="0",="0",="0",="0",="0",="0",="0",="217.7932",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3709.1425",="0",="0",="0",="9000.494",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1071.9827",="3314.0247",="2307.4353",="0",="0",="0",="0",="512.0207",="0",="0",="0",="0",="0",="0",="0",="0",="1200.9967",="518.7133",="0",="0",="0",="681.9131",="237.7064",="0",="0",="3995.0936",="0",="1806.4597",="1425.7836",="0",="5354.5181",="5792.3679",="0",="99.4808",="0",="0",="0",="0",="776.1431",="106.1238",="0",="2730.9235",="396.0037",="0",="0",="0",="91.7167",="5670.1335",="0",="0",="0",="4491.3002",="0",="0",="0",="0",="0",="0",="0",="0",="4207.1178",="0",="0",="0",="426.9444",="0",="0",="0",="0",="0"
="VISal2/3",="454.2744",="1484.7596",="0",="1589.9666",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1110.1433",="0",="0",="1717.4969",="739.4267",="478.652",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3216.8018",="0",="0",="0",="6402.9738",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2249.8688",="1251.772",="0",="0",="0",="0",="1227.7121",="0",="0",="0",="0",="0",="0",="0",="0",="1516.0094",="42.9814",="0",="0",="0",="816.6647",="78.5394",="0",="0",="2955.1145",="0",="904.3823",="872.8073",="0",="3299.8367",="2359.849",="0",="564.4573",="0",="0",="0",="0",="2434.2427",="530.4767",="0",="1160.2145",="1422.1724",="0",="0",="0",="4278.4766",="1568.9899",="0",="0",="0",="3794.8983",="0",="0",="0",="0",="0",="0",="0",="0",="446.8113",="0",="0",="0",="239.2447",="0",="0",="0",="0",="0"
="VISal4",="201.1202",="0",="0",="91.4622",="0",="0",="0",="0",="0",="0",="0",="0",="0",="234.5452",="0",="0",="513.0885",="0",="192.0725",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="405.1037",="0",="0",="0",="503.3911",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="297.2367",="4500.1437000000005",="0",="0",="0",="0",="404.6323",="0",="0",="0",="0",="0",="0",="0",="0",="721.1855",="0",="0",="0",="0",="79.5676",="58.2921",="0",="0",="3861.1981",="0",="796.4612",="3.3048",="0",="916.1227",="1232.8993",="0",="542.8896",="0",="0",="0",="0",="929.4952",="0",="0",="307.1006",="322.1713",="0",="0",="0",="374.7452",="642.7177",="0",="0",="0",="1365.6614",="0",="0",="0",="0",="0",="0",="0",="0",="454.7745",="0",="0",="0",="273.2225",="0",="0",="0",="0",="0"
