 ,220239_105,221057_053,221057_056,221057_073,221364_007,221364_009,221364_022,221364_023,221364_029,221364_032,221364_034,221364_035,221364_037,221364_039,221364_040,221364_041,221364_049,221364_050,221364_063,221364_064,221364_065,221364_073,221364_074,221364_076,221364_077,221364_115,221364_116,221364_117,221364_119,221365_029,221365_083,221365_099,221416_021,221703_179,221703_216,221703_223,221703_224,221719_051,221728_166,221728_167,221728_169,221728_172,221728_175,221728_177,230011_181,230011_184,230011_185,230011_188,230011_189,230011_190,230011_193,230011_194,230011_203,230113_008,233795_113,233795_114,233795_115,233795_116,233795_117,233795_119,233795_120,233795_122,233795_123,233795_129,221089_022,221089_024,221089_038,221089_039,221089_130,221089_131,221089_132,221089_133,221090_105,221364_072,221365_084,221478_204,221478_212,221478_215,221479_143,221479_148,221703_171,221703_173,221703_176,221719_053,221719_055,220191_016,220239_017,221089_026,221089_129,221416_014,221416_016,221416_020,221474_208,221475_266,221476_040,221476_054,221476_060,221476_079,221476_081,221476_095,221476_101,221478_205,221479_147,220191_014,221475_222,221476_055,221476_078,221365_038,221365_064,221367_114,221367_129,221476_037,221476_039,221478_229,221511_042,233285_043,233285_096,233795_121,233282_055,233285_042
="VISl1",="0",="1045.0214",="0",="0",="0",="0",="0",="0",="74.1799",="0",="0",="0",="0",="0",="0",="0",="0",="0",="455.4511",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3206.6669",="0",="0",="0",="135.5104",="0",="0",="0",="0",="0",="0",="0",="0",="0",="61.0369",="0",="292.1992",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="163.9299",="3357.8121",="0",="0",="0",="1005.1912",="40.3318",="0",="454.6965",="1837.7851",="0",="0",="495.1766",="0",="0",="5916.203",="0",="30.5829",="0",="0",="0",="94.6284",="0",="2316.5184",="0",="489.398",="109.7738",="0",="0",="0",="179.5928",="2076.5951",="0",="0",="0",="1093.1945",="0",="0",="0",="0",="0",="0",="0",="0",="5231.6805",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="0",="1352.4679",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="34.5835",="0",="0",="0",="0",="473.5546",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1029.3757",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="312.7332",="0",="0",="0",="0",="0",="0",="0",="71.4832",="0",="831.2143",="0",="0",="0",="577.4971",="0",="0",="655.9269",="435.108",="36.8556",="0",="979.5556",="0",="0",="473.1153",="0",="0",="0",="0",="0",="285.5152",="0",="3312.202",="0",="14.7078",="0",="0",="0",="0",="2772.8087",="0",="0",="0",="0",="529.9547",="0",="0",="0",="0",="0",="0",="0",="0",="491.2117",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl4",="0",="281.1477",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="208.0879",="0",="0",="0",="0",="95.5681",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="160.8532",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="49.3257",="0",="0",="0",="0",="0",="0",="0",="120.4184",="0",="186.2721",="0",="0",="0",="409.3756",="0",="0",="1086.5381",="490.5843",="386.8333",="0",="120.0318",="0",="0",="81.1304",="0",="0",="0",="0",="0",="185.9355",="0",="503.2282",="0",="0",="0",="0",="0",="0",="247.5762",="0",="0",="0",="0",="60.6462",="0",="0",="0",="0",="0",="0",="0",="0",="469.0428",="0",="0",="0",="0",="0",="9.1539",="0",="0",="0"
="VISl5",="0",="595.181",="54.3789",="0",="0",="0",="0",="0",="116.1505",="0",="0",="0",="0",="1001.6856",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="39.3057",="0",="0",="258.5003",="0",="0",="0",="0",="0",="0",="0",="0",="0",="287.5928",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="381.7166",="0",="1842.1827",="0",="61.7504",="0",="1258.3431",="0",="0",="194.3872",="537.7517",="214.618",="0",="0",="0",="0",="0",="0",="89.5111",="0",="0",="0",="292.2291",="148.9367",="1599.037",="643.5549",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="39.4968",="0",="5415.8664",="0",="0",="0"
="VISp1",="0",="573.7846",="0",="0",="291.2703",="1547.5688",="5910.2045",="0",="2314.5194",="0",="3065.489",="0",="0",="0",="0",="0",="0",="0",="1751.9074",="0",="74.1206",="1400.3965",="1159.75",="111.3839",="873.3616",="0",="0",="1275.1931",="1829.5739",="1254.204",="1472.4996",="0",="0",="0",="0",="245.7475",="7194.4015",="1407.3844",="0",="891.5834",="0",="0",="1434.4795",="129.8821",="0",="0",="0",="0",="0",="996.2131",="3146.7418",="0",="814.7188",="21.1116",="308.178",="2254.9501",="148.2076",="1388.1100000000001",="667.4659",="7037.0285",="750.1546",="2240.9782",="1440.9061",="96.1751",="0",="0",="481.6244",="11515.014",="4220.1199",="253.2028",="5840.5593",="4459.6703",="484.682",="103.3843",="0",="2572.3497",="88.0354",="644.9258",="318.1455",="624.2454",="4133.4758",="1348.1259",="7955.1505",="557.8531",="3357.301",="0",="0",="0",="0",="0",="8793.1134",="0",="128.1943",="0",="784.5515",="0",="1032.4708",="1862.92",="264.0256",="341.5182",="7250.7607",="430.9199",="0",="0",="0",="0",="0",="0",="0",="0",="3368.5386",="59.5007",="0",="1044.2333",="2990.5143",="378.5555",="16305.7901",="0",="0",="0"
="VISp5",="0",="928.0461",="0",="0",="585.4593",="540.0548",="0",="0",="0",="821.6769",="1659.3625",="0",="44.334",="2021.4312",="0",="45.0213",="367.9853",="0",="539.6728",="0",="0",="1595.0535",="264.8467",="160.9135",="1005.5475",="0",="0",="547.7044",="9.4262",="0",="73.6102",="93.882",="0",="0",="279.5672",="1013.677",="809.2892",="1163.2742",="0",="0",="0",="506.5605",="587.2974",="221.4235",="0",="125.2095",="2358.2661",="269.2658",="0",="34.7516",="646.4987",="0",="402.2512",="0",="420.041",="377.11",="0",="54.2279",="0",="1429.3204",="49.0713",="206.7358",="2428.5306",="1807.634",="0",="0",="2037.3917",="2819.8602",="711.032",="792.7413",="0",="2961.2588",="23.0669",="54.7984",="2471.1365",="293.483",="1657.7676",="0",="0",="454.7441",="0",="0",="3318.0332",="838.1232",="1082.5834",="615.7855",="1170.3893",="644.0052",="0",="874.2998",="4653.3276",="240.3018",="0",="0",="252.0065",="0",="76.635",="0",="0",="914.2487",="1755.4934",="168.1282",="207.3122",="253.842",="0",="1620.0678",="80.9747",="240.2004",="32.8269",="0",="1431.2346",="0",="637.6816",="919.3033",="1544.9899",="3749.0128",="1161.9952",="400.9003",="0",="1674.1807"
="VISli1",="0",="2.282",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="328.3401",="0",="0",="0",="0",="303.0649",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="194.4498",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="976.3881",="0",="0",="0",="0",="0",="0",="0",="0",="0",="338.8411",="0",="0",="0",="0",="911.295",="0",="0",="2059.2493",="0",="0",="61.2912",="0",="0",="1862.3535",="0",="1418.4696",="0",="0",="0",="0",="0",="1555.7995",="0",="531.074",="0",="0",="0",="0",="38.2751",="0",="0",="0",="0",="15.6888",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli2/3",="0",="7.7792",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="381.2157",="0",="0",="0",="0",="167.2043",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="120.9693",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="887.9156",="0",="0",="0",="0",="0",="0",="0",="0",="0",="179.7593",="0",="0",="0",="0",="0",="0",="0",="871.3897",="0",="0",="80.5974",="0",="0",="1771.5361",="0",="1775.4422",="0",="0",="0",="0",="0",="337.0622",="0",="216.339",="0",="0",="0",="0",="1059.3291",="0",="0",="0",="0",="190.3054",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl1",="0",="1040.2039",="0",="13.1786",="1290.7326",="1935.8815",="4655.947",="0",="319.8219",="38.6279",="3.7251",="415.3104",="0",="280.9101",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="68.7285",="235.3088",="0",="0",="0",="0",="0",="0",="0",="0",="343.4993",="0",="0",="0",="0",="0",="128.3582",="0",="171.642",="0",="0",="0",="64.3628",="0",="414.264",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="53.137",="20.8421",="119.0596",="447.5989",="204.1321",="0",="3207.1764",="498.60220000000004",="91.2591",="1765.5279",="5797.9601",="0",="0",="2775.1207999999997",="76.8851",="7097.3330000000005",="0",="13585.7264",="58.6271",="513.7116",="0",="1098.6718",="4176.7608",="5868.4572",="2435.3007",="0",="1229.7404",="0",="92.402",="0",="666.9038",="8791.4997",="2268.9924",="0",="291.6554",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3205.5385",="0",="0",="0"
="RSPagl2/3",="0",="4143.44",="0",="92.8088",="3001.9089000000004",="4043.7979",="4359.7309",="0",="2110.9662",="423.8739",="583.3997",="1866.0214",="0",="1745.228",="160.0187",="0",="0",="0",="0",="0",="0",="0",="0",="386.6611",="0",="0",="0",="0",="50.919",="2009.4721",="0",="0",="0",="0",="0",="0",="0",="0",="186.4697",="0",="0",="0",="0",="0",="863.8006",="523.5569",="389.8713",="0",="0",="0",="694.106",="0",="475.011",="0",="188.3093",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="76.6445",="1777.2183",="0",="1177.4858",="1773.7939",="396.1146",="0",="280.1314",="4833.0171",="0",="1264.622",="1001.7136",="0",="486.3154",="2568.4089999999997",="313.3349",="4590.9215",="0",="4484.852",="51.0122",="2425.1282",="0",="3052.9907",="5822.4169999999995",="13909.8027",="3394.728",="1160.054",="1457.7302",="0",="1203.1281",="85.9374",="143.1069",="3178.9978",="10453.987000000001",="0",="1434.118",="4098.5664",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd2/3",="0",="1288.2858999999999",="0",="209.6862",="1652.6289",="0",="0",="0",="2827.4002",="1401.9377",="1131.3523",="1547.5171",="0",="255.6254",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="832.4704",="0",="0",="208.021",="0",="1426.1087",="0",="2820.1577",="0",="0",="1041.0441",="0",="50.1367",="0",="0",="0",="0",="0",="5813.1158",="0",="649.1434",="0",="0",="0",="0",="0",="3686.9389",="0",="256.7292",="0",="0",="1159.7206",="0",="0",="0",="0",="0",="0",="0",="0",="9027.4282",="0",="1055.8395",="2548.067",="0",="1756.6586000000002",="203.4942",="359.1658",="76.4219",="1214.2484",="3760.0246",="510.6544",="557.2157",="0",="272.5711",="0",="3056.0202",="0",="4536.6865",="0",="550.9326",="0",="46.7776",="269.7443",="6481.6933",="149.0916",="2661.2623",="0",="0",="902.1486",="0",="0",="112.1639",="1166.0136",="1275.7445",="4443.4661",="699.2055",="0",="0",="0",="400.6187",="0",="0",="470.3263",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd5",="0",="899.9886",="0",="339.7526",="1612.8383",="128.3192",="23.2937",="0",="4331.2762",="1547.0568",="1400.4065",="4487.244",="0",="271.1758",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2637.7914",="0",="0",="266.2867",="0",="1131.5662",="0",="2503.9209",="0",="416.6157",="1642.4657",="0",="0",="0",="0",="0",="0",="0",="3509.3975",="0",="100.31",="0",="0",="0",="1040.5751",="0",="1351.3845",="0",="0",="0",="0",="488.6445",="0",="0",="0",="0",="0",="0",="0",="0",="1202.6233",="535.7204",="423.0404",="1622.2253",="17.4746",="1576.8235",="0",="0",="443.1217",="42.4165",="2371.6927",="0",="118.866",="30.334",="1009.427",="0",="1922.3603",="0",="1851.5864000000001",="24.8924",="463.24019999999996",="0",="464.6672",="998.1608",="3348.557",="145.4877",="624.8021",="0",="0",="853.3212000000001",="0",="0",="94.1987",="352.4331",="374.3542",="252.2601",="1192.3208",="0",="1807.8354",="144.8713",="1246.3274",="0",="0",="1788.2741",="0",="1105.0544",="89.4366",="0",="0",="0",="424.0365",="0",="0",="0"
="RSPd6a",="0",="367.0073",="0",="126.6863",="1059.2208",="42.1561",="157.6306",="0",="420.4262",="680.3932",="530.2438",="142.8625",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1208.3672",="0",="0",="583.9672",="0",="215.5604",="0",="4409.3769999999995",="0",="601.3189",="640.7299",="0",="0",="0",="0",="0",="0",="0",="443.2154",="0",="0",="0",="31.9099",="0",="233.474",="0",="316.5862",="0",="0",="0",="0",="0",="0",="0",="160.6769",="0",="0",="0",="0",="680.7172",="3813.7654",="2622.0959000000003",="1422.0281",="2325.092",="1653.8235",="788.1533999999999",="0",="0",="1288.0991",="216.0541",="314.2431",="59.469500000000004",="0",="487.3439",="320.2096",="7753.9962",="534.0345",="0",="1844.4672",="1536.4624",="829.5106",="0",="816.7594",="3488.6716",="5110.8309",="1230.3197",="455.0611",="0",="0",="2072.1807",="0",="332.6693",="517.1264",="819.5055",="959.1103",="0",="552.5949",="2286.4364",="11198.2084",="0",="3416.4658",="0",="0",="0",="0",="1003.4013",="1059.9849",="0",="0",="0",="1255.9256",="0",="0",="0"
="VISrl2/3",="0",="25.1308",="0",="0",="0",="0",="0",="0",="0",="0",="204.7825",="98.6777",="0",="0",="0",="0",="1461.6907",="481.0308",="1301.9846",="791.8845",="1204.744",="1510.2508",="4510.4374",="721.6322",="1159.9838",="0",="1134.4783",="0",="1746.9381",="0",="5190.1812",="0",="0",="314.664",="0",="2469.4884",="1674.2653",="6035.5521",="0",="0",="352.3956",="0",="2615.9301",="444.4468",="0",="0",="0",="236.3755",="653.0191",="1400.3088",="1948.8835",="38.0362",="1929.4877",="1539.5594",="1128.4107",="14049.1842",="1669.3459",="2917.6607999999997",="2437.3016",="3207.4187",="1293.6482",="3210.3974",="5315.2359",="5587.2062",="0",="0",="5257.8027",="0",="0",="0",="0",="1108.7841",="306.5242",="2970.9934",="91.885",="602.1001",="0",="0",="0",="0",="1718.1873",="0",="0",="1533.8794",="857.4104",="0",="0",="0",="0",="0",="733.0773",="114.6435",="644.0558",="0",="4305.4273",="424.9157",="6734.9816",="67.8323",="0",="0",="2066.9102",="1082.589",="0",="0",="0",="0",="0",="0",="10.3635",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2.4058"
="ccb",="0",="68.455",="0",="0",="0",="0",="0",="0",="0",="0",="0",="45.1467",="0",="0",="0",="645.8217",="443.7387",="0",="0",="0",="0",="0",="0",="39.28",="422.3837",="0",="0",="0",="0",="3771.7666",="0",="0",="95.036",="2723.8842",="0",="0",="0",="0",="0",="652.6763",="288.1189",="0",="0",="0",="2529.9906",="3088.1551",="4427.8863",="49.3889",="0",="0",="1415.2757",="100.9939",="1213.3249",="0",="2157.6145",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2832.048",="1595.8422",="4701.203",="359.8826",="2666.2813",="1972.2576",="5111.311100000001",="2291.2398",="0",="1411.3545",="678.2793",="837.2082",="1343.4347",="5478.9897",="0",="1200.4119",="2257.7936",="4169.8335",="0",="2781.6874",="3264.6074",="3238.2025000000003",="3003.9871000000003",="5184.2249",="1040.1198",="5.3765",="3147.3975",="2456.1157",="2418.2021999999997",="1306.0864",="4506.6294",="2128.1033",="2823.0464",="2583.8537",="3695.3581",="0",="431.2465",="676.8435",="879.4923",="34.039",="0",="82.9709",="518.5056",="759.0536",="618.9079",="700.6907",="690.9937",="718.5027",="472.3473",="846.5758",="430.6278",="761.4831",="406.5861",="459.27",="572.8544"
="SSp-ll1",="0",="0",="359.0833",="0",="2007.7164",="0",="0",="0",="0",="0",="0",="96.0837",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="137.634",="121.0741",="0",="0",="0",="2525.9527",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3044.1339",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1058.7876",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="557.6689",="0",="1197.1047",="0",="205.0041",="0",="0",="0",="0",="0",="0",="105.7874",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll2/3",="0",="0",="1015.9401",="0",="1729.3339",="0",="0",="0",="0",="0",="0",="454.0866",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="97.9204",="0",="0",="0",="0",="0",="0",="0",="0",="336.9243",="0",="0",="348.143",="2110.7665",="11.586",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1305.7912",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="314.6374",="761.3814",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1170.2168",="0",="480.5567",="0",="0",="0",="0",="0",="0",="0",="0",="110.602",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll4",="0",="0",="878.5371",="0",="516.5644",="0",="0",="0",="0",="0",="0",="21.4248",="0",="0",="0",="61.2894",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="332.9804",="0",="0",="0",="0",="0",="113.9926",="0",="0",="62.0911",="0",="0",="672.3941",="239.2021",="674.5544",="0",="499.9251",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="224.5877",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="431.2227",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="416.3811",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll5",="0",="0",="871.3699",="0",="561.4876",="0",="0",="138.9843",="0",="0",="291.688",="231.1785",="0",="830.7274",="0",="121.8084",="0",="0",="0",="0",="230.6985",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="496.9458",="0",="0",="0",="0",="0",="49.6633",="0",="0",="74.0367",="0",="0",="1020.8499",="737.8654",="0",="0",="44.7445",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="43.7575",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="54.5381",="0",="0",="0",="0",="0",="176.8415",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1740.7321",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll6a",="0",="0",="641.9232",="0",="0",="0",="0",="0",="0",="0",="301.4829",="0",="0",="0",="40.2272",="652.1242",="0",="0",="0",="0",="0",="0",="0",="0",="490.6442",="833.9738",="0",="0",="0",="927.1384",="0",="0",="2729.0408",="844.1812",="1506.2191",="486.1039",="0",="0",="0",="82.9974",="0",="1016.3258",="530.8847",="0",="94.7598",="0",="337.9004",="0",="0",="0",="798.0623",="0",="655.5488",="0",="0",="0",="189.3592",="0",="169.3543",="0",="0",="0",="0",="0",="380.5567",="0",="0",="0",="1.8669",="411.1241",="0",="184.8792",="392.1621",="0",="0",="0",="0",="537.8099",="121.309",="0",="565.6934",="0",="336.1479",="912.9222",="0",="3421.3417",="0",="0",="205.784",="203.3601",="0",="0",="670.6359",="157.2488",="0",="0",="1089.8081",="604.6436",="499.4369",="0",="211.3039",="0",="0",="433.3493",="346.8184",="0",="811.4302",="840.5497",="0",="0",="0",="0",="0",="0",="0",="0",="273.889",="0",="0",="0"
="SSp-ul1",="0",="0",="203.7649",="0",="50.4308",="0",="0",="0",="0",="0",="0",="407.723",="0",="0",="0",="0",="454.3046",="0",="0",="130.4562",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="412.3636",="0",="199.7184",="103.6554",="0",="0",="0",="452.0497",="0",="0",="0",="0",="0",="0",="0",="146.6713",="0",="0",="0",="0",="0",="0",="249.4729",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1072.7238",="0",="0",="0",="0",="0",="0",="0",="358.5625",="183.3773",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1470.3631",="0",="958.2033",="0",="143.84969999999998",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ul2/3",="0",="0",="309.9442",="0",="0",="0",="0",="0",="0",="0",="79.7704",="1310.4284",="0",="0",="0",="0",="0",="0",="0",="177.0208",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="150.2022",="0",="230.3179",="589.5736",="0",="0",="0",="858.4321",="0",="0",="0",="0",="0",="0",="0",="757.4288",="0",="0",="0",="0",="0",="0",="360.6684",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="341.3675",="1010.9318",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1378.8048",="0",="539.3743",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ul6a",="0",="0",="659.5254",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="168.723",="0",="0",="0",="0",="91.8582",="0",="0",="0",="0",="365.2114",="0",="509.8795",="0",="0",="0",="0",="0",="0",="0",="0",="275.1707",="0",="1263.1835",="0",="0",="0",="0",="0",="0",="0",="143.6756",="0",="0",="0",="211.7867",="295.7755",="0",="0",="0",="0",="0",="1.9087",="0",="0",="0",="0",="0",="0",="1202.1084",="0",="0",="0",="0",="0",="0",="786.5915",="0",="0",="308.7246",="0",="0",="0",="0",="819.9215",="0",="0",="137.9513",="0",="0",="0",="0",="0",="0",="44.9615",="0",="0",="488.6829",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-un1",="0",="0",="36.753",="0",="0",="0",="0",="0",="0",="0",="0",="693.0082",="0",="0",="0",="0",="125.8005",="0",="40.5943",="813.1127",="253.2784",="0",="0",="0",="0",="0",="86.6442",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="447.2519",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="268.0956",="0",="1121.8817",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="331.7872",="0",="0",="0",="0",="179.5418",="0",="72.933",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="547.0241",="0",="462.1732",="0",="26.4481",="0",="315.2099",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp1",="0",="0",="76.4059",="0",="476.09159999999997",="0",="0",="0",="0",="0",="0",="397.7614",="0",="0",="78.5507",="1169.2391",="0",="0",="0",="0",="0",="0",="0",="0",="0",="910.0654",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="716.4652",="0",="0",="0",="1789.6246",="0",="0",="0",="0",="0",="0",="0",="50.9643",="0",="0",="0",="0",="0",="26.7166",="0",="0",="0",="0",="0",="21.7421",="0",="0",="0",="0",="0",="284.0382",="0",="567.4175",="0",="203.8904",="0",="188.2003",="0",="0",="0",="34.6537",="0",="0",="0",="61.2652",="0",="0",="0",="0",="36.5331",="0",="0",="0",="0",="0",="0",="0",="0",="0",="471.3101",="23.4576",="0",="0",="0",="0",="0",="0",="431.9289",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp5",="0",="0",="518.3987",="0",="281.5288",="0",="46.2198",="0",="0",="0",="428.8114",="1566.4361",="0",="517.0845",="0",="2776.4786",="0",="0",="0",="0",="520.0199",="0",="0",="96.2521",="0",="545.9653",="0",="0",="443.1123",="0",="0",="0",="0",="0",="12.9197",="0",="0",="0",="0",="0",="41.8698",="0",="0",="0",="0",="1664.8565",="0",="0",="0",="0",="0",="0",="0",="0",="171.5892",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="130.0455",="0",="0",="604.5123",="0",="50.4613",="728.2675",="0",="0",="0",="0",="0",="0",="0",="241.4743",="0",="0",="0",="0",="0",="0",="610.391",="522.5509",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp6a",="0",="0",="1496.7065",="0",="0",="0",="0",="0",="0",="0",="850.7572",="0",="0",="0",="689.1629",="1062.6437",="0",="0",="0",="0",="0",="0",="0",="861.7683",="479.4616",="1033.4809",="0",="517.4792",="449.1106",="438.8589",="0",="281.2383",="1017.318",="695.3435",="1667.9599",="578.7398",="0",="0",="245.0526",="0",="447.2353",="931.3814",="433.8963",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1527.0272",="0",="64.1578",="0",="503.0591",="0",="522.4379",="0",="0",="0",="0",="0",="155.8618",="0",="0",="72.5157",="0",="689.3229",="0",="0",="392.0591",="0",="0",="0",="0",="686.8823",="0",="0",="468.7617",="140.7245",="720.4556",="497.6781",="267.6066",="2910.8462",="0",="0",="1181.7135",="879.1472",="321.0244",="0",="0",="0",="0",="0",="856.8851",="273.3207",="0",="90.8504",="230.8757",="246.6928",="500.5285",="504.2616",="1170.6838",="0",="578.6221",="320.0478",="0",="0",="0",="0",="0",="0",="0",="0",="690.5171",="0",="0",="0"
="SSs6a",="0",="0",="590.8583",="63.4703",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="478.856",="0",="0",="0",="416.1705",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="779.4547",="0",="0",="0",="0",="0",="0",="0",="73.9759",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1013.7945",="0",="0",="0",="0",="0",="0",="0",="0",="0",="219.6686",="0",="0",="1469.7474",="0",="0",="1041.9113",="0",="0",="71.7888",="0",="0",="0",="425.3487",="1481.2403",="0",="0",="0",="0",="0",="0",="0",="844.3095",="0",="0",="0",="0",="0",="0",="147.9775",="3310.9007",="1227.1645",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
