 ,221057_037,221057_043,221057_050,221057_126,221727_010,221728_092,221728_123,230065_047,230065_065,230065_067,230066_095,230066_098,230105_026,233380_042,233668_030,233668_031,233668_032,233668_034,233668_035,233668_036,233668_041,220191_078,221224_402,221224_404,221421_028,221642_768,221754_025,230110_004,230110_007,231566_045,233379_024,233666_018,233666_028,233666_032,233666_057,233666_066,233666_067,233666_132,233666_245,233667_085,233667_229,233667_300,233282_090,212069_003,212072_022,221224_361,221224_396,221227_111,221227_146,221367_025,221367_029,221526_010,221532_025,221532_043,221532_044,230105_021,231566_046,233379_014,233379_016,233379_017,233379_020,233666_015,233666_019,233666_021,233666_022,233666_023,233666_024,233666_025,233666_026,233666_027,233666_029,233666_030,233666_031,233666_033,233666_046,233666_056,233666_058,233666_059,233666_061,233666_062,233666_064,233666_129,233666_130,233666_131,233666_133,233666_134,233666_135,233666_136,233666_227,233666_228,233666_229,233666_230,233666_231,233666_232,233667_057,233667_064,233667_068,233667_070,233667_076,233667_086,233667_106,233667_109,233667_115,233667_116,233667_117,233667_118,233667_119,233667_120,233667_123,233667_125,233667_127,233667_140,233667_151,233667_207,233667_208,233667_228,233667_230,233667_301,221367_032,233281_100,233281_104,233281_111,233666_020,233666_047,233666_068,233667_153
="VISpor5",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd5",="0",="0",="1",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="4",="9",="7",="15",="3",="12",="4",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="2",="0",="3",="16",="0",="0",="10",="1",="0",="18",="16",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="30",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl6a",="0",="0",="0",="0",="0",="3",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="7",="6",="12",="0",="9",="4",="0",="11",="9",="0",="0",="0",="0",="0",="1",="2",="0",="0",="4",="6",="4",="4",="2",="0",="5",="1",="2",="2",="0",="1",="0",="0",="2",="0",="0",="4",="0",="0",="2",="0",="0",="0",="0",="0",="2",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="6",="8",="1",="0",="6",="2",="2",="1",="0",="1",="3",="1",="1",="0",="0",="0",="1",="1",="5",="4",="0",="0",="0",="0",="3",="0",="2",="0",="1",="0",="0"
="RSPagl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd1",="16",="3",="6",="14",="18",="16",="24",="2",="0",="6",="77",="0",="40",="33",="0",="0",="1",="1",="15",="6",="4",="20",="33",="8",="9",="17",="16",="33",="15",="9",="0",="0",="30",="0",="0",="0",="12",="13",="0",="5",="0",="18",="84",="1",="20",="22",="0",="2",="26",="9",="12",="0",="1",="0",="0",="0",="3",="5",="24",="8",="6",="5",="0",="0",="0",="1",="0",="0",="0",="0",="4",="3",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="2",="0",="2",="0",="0",="0",="0",="1",="0",="4",="4",="0",="2",="2",="0",="0",="10",="0",="1",="0",="0",="0",="1",="6",="0",="1",="0",="0",="1",="2",="2",="0",="1",="1",="0",="2",="5",="0",="0",="0",="0",="0",="10",="0"
="RSPd2/3",="12",="9",="8",="18",="24",="15",="12",="10",="0",="24",="20",="10",="31",="32",="1",="8",="1",="0",="8",="9",="1",="9",="17",="4",="3",="10",="4",="13",="8",="3",="1",="1",="14",="2",="0",="0",="12",="11",="0",="0",="0",="6",="20",="10",="12",="22",="0",="0",="2",="8",="18",="5",="1",="2",="0",="0",="12",="4",="20",="11",="8",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="6",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="8",="0",="0",="1",="0",="1",="6",="0",="4",="1",="0",="0",="0",="7",="1",="1",="0",="0",="0",="2",="1",="0",="1",="3",="1",="0",="4",="1",="5",="0",="0",="3",="12",="1"
="RSPd5",="7",="5",="13",="2",="27",="13",="17",="11",="6",="38",="4",="7",="13",="11",="2",="8",="7",="10",="32",="9",="3",="13",="32",="21",="11",="17",="15",="18",="23",="11",="12",="3",="15",="10",="2",="4",="25",="15",="6",="4",="7",="7",="18",="20",="50",="85",="15",="16",="27",="20",="26",="10",="3",="3",="27",="2",="46",="15",="9",="15",="17",="19",="2",="4",="3",="5",="11",="5",="2",="1",="5",="18",="7",="5",="15",="4",="23",="5",="10",="1",="1",="17",="11",="24",="18",="1",="6",="1",="6",="7",="2",="2",="2",="1",="11",="4",="4",="7",="11",="3",="9",="24",="4",="5",="3",="20",="5",="3",="1",="6",="6",="5",="1",="1",="4",="8",="16",="22",="14",="35",="9",="6",="1",="6",="16",="1"
="RSPd6a",="0",="2",="0",="1",="0",="0",="1",="9",="0",="7",="0",="0",="3",="1",="0",="0",="0",="1",="7",="0",="0",="25",="18",="23",="4",="9",="1",="13",="16",="3",="0",="10",="0",="5",="0",="0",="3",="1",="1",="3",="7",="14",="25",="16",="2",="74",="25",="7",="20",="0",="2",="8",="0",="7",="17",="3",="16",="1",="0",="8",="0",="7",="0",="0",="0",="3",="1",="0",="0",="0",="0",="9",="0",="2",="2",="3",="4",="0",="1",="0",="2",="9",="8",="7",="5",="0",="0",="0",="1",="0",="0",="0",="0",="5",="6",="1",="1",="3",="0",="1",="0",="4",="4",="1",="3",="19",="17",="1",="4",="3",="5",="1",="0",="3",="4",="6",="0",="12",="0",="12",="4",="3",="0",="5",="2",="1"
="RSPd6b",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0"
