 ,221057_071,221057_088,221057_090,221057_098,221057_102,221057_103,221057_107,221057_152,221057_155,221057_156,221364_052,221364_081,221364_085,221364_087,221479_216,221479_226,221481_118,221481_507,221481_513,221701_034,221701_035,221701_039,221701_048,221701_052,221701_055,221701_056,221701_060,221701_062,221727_015,230066_079,230066_083,230066_087,230066_089,230066_121,230066_122,230066_125,230066_127,231570_012,231685_259,231687_008,231687_016,233379_001,233379_049,233379_050,233379_051,233379_052,233379_112,233379_114,233379_115,233379_122,233379_124,233379_129,233668_057,233668_075,233668_076,233668_097,233668_130,233668_170,233795_001,233795_011,233795_073,233795_075,233795_090,233795_125,221090_095,221090_098,221417_015,221417_016,221418_128,221418_129,221418_139,221478_278,221480_100,221702_004,231685_255,231685_274,231685_275,231685_286,233379_031,233379_036,233379_039,233379_040,233379_097,233379_100,233379_102,233379_103,233379_107,233379_109,233379_130,233379_142,233380_036,233380_092,233380_094,233666_218,221090_092,221090_094,221090_099,221091_113,221091_125,221091_141,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221479_236,221515_017,231685_244,231687_014,233285_248,233379_123,233666_168,233666_201,233667_256,233667_269,233667_289,221091_171,231687_017,233284_183,233285_047,212073_012,221225_015,221226_023,221365_066,221365_067,221365_072,221365_073,231687_002,231687_012,233285_008,233285_040,233285_044,233285_246,233666_192,233666_214,233666_215,233666_222,233666_225,221515_016,221536_029,221719_054,233281_086,233281_096,233285_039,233285_041,233285_048
="RSPagl6a",="0",="0",="0",="0",="0",="584.6382",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="130.5075",="0",="0",="0",="393.382",="1475.9714",="843.4299",="0",="1519.4954",="428.692",="1411.7489",="844.1641",="190.5261",="947.2907",="419.8409",="733.5771",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1497.0546",="255.4246",="403.3103",="106.3127",="0",="0",="328.9785",="287.0385",="0",="0",="0",="0",="629.5968",="432.7522",="0",="478.7762",="257.9578",="0",="1082.2793",="1194.567",="768.6239",="781.0144",="524.5453",="0",="260.8946",="0",="0",="202.32049999999998",="0",="779.7106",="655.4295",="0",="330.7672",="0",="0",="0",="697.22",="0",="0",="437.8004",="0",="671.4302",="721.0481",="321.7347",="0",="694.7159",="1309.0436",="241.1433",="0",="0",="2751.5544",="3206.3659",="541.4364",="0",="477.645",="0",="723.9756",="892.11",="400.3402",="844.26",="58.2498",="846.2909",="469.04380000000003",="1071.2656",="342.9606",="231.3425",="0",="1222.1601",="1278.0043",="351.5599",="0",="871.7838",="754.4291",="525.6976999999999",="85.0201",="532.9225",="0",="0",="0",="0",="337.2236",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="398.6942",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl6b",="0",="0",="0",="0",="0",="368.4981",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="62.1815",="0",="0",="0",="158.2501",="0",="0",="0",="32.2861",="62.988",="0",="0",="0",="0",="0",="0",="0",="0",="0",="742.8419",="0",="0",="0",="0",="0",="0",="0",="247.2391",="295.3631",="0",="190.1222",="0",="0",="0",="0",="0",="0",="0",="218.821",="0",="0",="0",="0",="0",="0",="33.684",="0",="69.9522",="44.2228",="0",="53.704",="29.9121",="183.1142",="0",="99.7492",="0",="160.0938",="0",="0",="270.2926",="0",="45.2048",="87.8957",="0",="255.2739",="0",="0",="42.0519",="0",="117.7731",="0",="0",="0",="93.3025",="0",="0",="0",="0",="284.3977",="53.9393",="0",="0",="216.8409",="402.1815",="0",="0",="100.2556",="0",="112.5447",="217.8542",="11.0278",="0",="22.6267",="0",="79.7568",="11.4074",="59.4221",="39.1253",="0",="128.4808",="0",="0",="0",="0",="0",="126.8371",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="90.7596",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd6a",="0",="0",="0",="0",="0",="6.9181",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="157.9124",="0",="0",="0",="1008.1585",="0",="0",="0",="835.5179",="0",="2156.9515",="1166.9427",="538.9678",="457.5645",="269.0177",="577.1481",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="53.2548",="0",="820.2323",="0",="1152.9214",="840.7365",="345.9144",="383.332",="0",="0",="0",="0",="0",="0",="0",="0",="175.2082",="0",="0",="1052.9114",="0",="0",="1211.5105",="364.9076",="766.4369",="918.5587",="0",="0",="725.5067",="0",="0",="344.9383",="0",="309.6123",="939.6182",="0",="122.0122",="0",="0",="665.0969",="0",="0",="0",="333.7949",="0",="1128.4007",="22.9012",="0",="0",="237.5677",="2038.1826",="332.4443",="0",="113.1975",="677.8756999999999",="1256.2137",="228.3469",="568.7334",="143.3398",="0",="1030.0692",="3778.5998",="529.4599",="1468.9903",="1418.3957",="1022.2983",="990.7527",="3199.3078",="633.4207",="375.9796",="0",="2223.8456",="66.737",="208.9542",="0",="980.0999",="193.3644",="2547.4415",="0",="1637.4539",="0",="0",="0",="0",="1706.3352",="0",="1084.8675",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd6b",="0",="0",="0",="0",="0",="180.169",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="38.9814",="0",="0",="0",="3.375",="0",="0",="0",="163.2472",="0",="0",="0",="14.2131",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="290.7632",="241.8387",="0",="37.0919",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="181.9982",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="284.2504",="0",="0",="283.8266",="0",="242.6532",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="59.0999",="0",="182.8324",="0",="0",="0",="0",="84.5064",="0",="86.6295",="0",="63.0282",="58.4716",="0",="280.5589",="132.4148",="12.7594",="0",="255.3293",="0",="0",="0",="0",="0",="43.9077",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="cing",="0",="0",="0",="0",="0",="477.4287",="0",="0",="0",="0",="310.2298",="0",="0",="0",="0",="0",="2341.2861",="0",="0",="0",="0",="0",="0",="0",="40.9236",="1100.854",="822.542",="0",="392.2738",="977.4672",="237.437",="0",="101.349",="288.5492",="0",="0",="0",="0",="0",="503.3787",="0",="0",="0",="1301.4042",="0",="0",="0",="1745.4638",="1672.8517000000002",="0",="334.9121",="0",="0",="1789.7449",="0",="0",="0",="0",="157.1571",="0",="2178.508",="0",="0",="0",="1443.0989",="2269.9087",="454.4191",="1405.2079999999999",="2408.5946",="1484.4087",="2747.2634",="769.8851",="1983.6338",="0",="3114.0512",="2370.5896000000002",="359.9708",="0",="0",="2681.4718000000003",="931.7602",="1552.0005999999998",="310.2528",="495.2137",="1822.7970999999998",="1191.1536",="1564.9324",="1626.6093",="553.4247",="2047.5099",="2798.4939999999997",="1838.0073",="20.4134",="522.1894",="0",="0",="801.8932",="468.27389999999997",="1714.6207",="2879.2491",="682.636",="1862.0765000000001",="2260.2538999999997",="5748.3837",="1298.0813",="1915.2849",="924.0292999999999",="794.6791",="2493.7679",="2082.0586000000003",="246.3519",="270.1578",="2661.815",="1240.082",="1835.4724",="1610.9912",="368.8932",="1494.3422",="0",="1401.9214",="0",="1421.6672",="1628.778",="1084.5311",="2851.9049",="3166.8284000000003",="231.886",="0",="25.8919",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="66.7169",="0",="0",="0",="0",="0",="12.451",="0",="0",="0",="0"
="RSPagl2/3",="0",="0",="0",="0",="0",="0",="33.6213",="0",="0",="0",="0",="0",="0",="0",="0",="2013.1506",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="493.8753",="0",="966.5339",="1140.6545",="0",="4550.4692",="6123.4182",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4392.2976",="0",="1333.0819",="508.6198",="0",="357.0141",="0",="0",="200.3207",="217.0798",="0",="0",="0",="0",="667.8709",="4466.3306",="3047.4696",="1324.0775",="0",="0",="551.7962",="1964.6256",="1096.5786",="106.5464",="736.9588",="286.2632",="5592.8279",="2479.4104",="0",="1487.0797",="0",="2297.4778",="179.2932",="0",="1674.217",="104.3269",="966.7346",="1141.2557",="15.7742",="0",="448.9323",="1003.0936",="0",="1708.7796",="0",="2070.5017",="0",="3373.5766999999996",="18743.0513",="4462.3685000000005",="5982.2543",="2603.0326",="1501.937",="9389.759",="7836.0355",="0",="2237.5247",="6657.9657",="4373.4884",="785.7275",="300.992",="3515.2969999999996",="2886.2751",="4806.7455",="1252.2164",="497.2893",="11205.1413",="1410.703",="0",="1420.2017",="4469.9594",="3706.9096",="295.7858",="0",="1820.5946",="875.4307",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="329.1184",="0",="0",="0",="0",="0",="0",="0"
="RSPagl5",="0",="0",="0",="0",="0",="0",="480.4377",="0",="0",="256.3196",="0",="0",="0",="0",="0",="463.8228",="0",="0",="0",="350.27",="0",="0",="0",="0",="0",="0",="122.8932",="0",="2511.5803",="2158.394",="423.2393",="9174.2208",="2668.5598",="1061.0162",="12.3382",="42.1648",="137.2483",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2343.163",="0",="2215.9885",="1031.2579",="136.5915",="511.8552",="0",="0",="0",="429.6289",="0",="0",="0",="0",="420.7762",="1924.2271",="193.6498",="221.2279",="188.4301",="0",="2542.649",="242.1556",="549.0537",="0",="1391.1225",="0",="0",="505.795",="0",="1207.7046",="0",="1444.173",="211.897",="0",="27.817",="0",="0",="314.9653",="667.553",="0",="0",="49.6099",="0",="0",="0",="1119.3206",="0",="845.3634",="3555.15",="967.3856",="560.148",="1862.0087",="693.5824",="2713.8489",="1838.5294",="0",="6.6839",="1175.2493",="1862.0379",="53.6594",="414.0195",="711.7342",="961.0384",="1705.5245",="3105.0233",="646.1327",="2976.6865",="975.9514",="0",="774.2932",="710.5238",="690.4679",="293.1828",="0",="819.5643",="205.442",="0",="0",="0",="0",="0",="0",="0",="0",="357.6882",="0",="0",="0",="0",="0",="0",="0",="339.5026",="0",="0",="0",="0",="71.8706",="0",="0",="201.9041",="0",="0",="0",="0"
="VISrl6a",="0",="0",="0",="0",="0",="0",="277.2757",="0",="0",="0",="311.6767",="0",="0",="647.0344",="0",="0",="0",="58.6085",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="327.8667",="0",="0",="0",="0",="210.3812",="0",="386.5054",="175.4788",="0",="0",="0",="0",="0",="0",="0",="660.4796",="101.7978",="253.3095",="0",="193.4622",="108.6961",="474.6237",="43.5047",="169.5606",="605.9195",="0",="0",="0",="717.8927",="478.7933",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="463.1653",="0",="0",="0",="0",="0",="0",="0",="91.3214",="0",="0",="524.4815",="649.8537",="1009.4670000000001",="1488.8183",="0",="585.9696",="0",="0",="23.4566",="0",="0",="0",="0",="0",="266.0069",="0",="895.2002",="939.1195",="354.6443",="146.1984",="0",="0",="0",="0",="133.4392",="291.533",="0",="0",="111.0928",="0",="0",="0",="0",="3776.7915",="0",="235.9758",="0",="0",="0",="0",="1191.6994",="0",="688.1405",="0",="704.0071",="0",="471.0691",="0",="0",="0",="69.3072",="0",="0",="0",="0",="0",="0",="0",="0",="484.2698",="0",="0"
="VISli6a",="0",="0",="0",="0",="0",="0",="0",="0",="317.6575",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="216.4804",="0",="0",="0",="375.1682",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="286.0867",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="198.4621",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="713.4854",="0",="0",="0",="0",="0",="0",="0",="185.3744",="0",="65.9223",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="465.8968",="0",="0",="0",="266.6991",="0",="0",="0",="0",="321.0616",="0",="85.233",="458.4852",="325.8503",="299.0554",="0",="0",="223.7871",="0",="0",="0",="0",="0",="538.9978",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1087.0738",="0",="0",="0",="0",="0",="0",="0",="0"
="TEa5",="0",="0",="0",="0",="0",="0",="0",="0",="317.7921",="0",="0",="0",="0",="16.988",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="222.6285",="0",="0",="0",="0",="0",="0",="0",="0",="178.8102",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1005.2105",="0",="0",="0",="0",="0",="477.1379",="2460.9898",="368.8648",="0",="211.6741",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="439.5161",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="324.0225",="0",="0",="0",="0",="306.71",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="TEa6a",="0",="0",="0",="0",="0",="0",="0",="0",="253.4344",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="567.0314",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="21.0783",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1068.458",="0",="0",="0",="0",="0",="0",="0",="88.5788",="0",="1358.0941",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1182.6021",="12.9981",="0",="0",="0",="211.0451",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="scwm",="0",="0",="0",="0",="0",="0",="0",="0",="28.2417",="0",="41.0387",="0",="0",="0",="0",="496.9405",="312.1899",="0",="0",="0",="70.3164",="377.7322",="0",="0",="54.3849",="0",="171.3924",="0",="292.6652",="1047.3728",="523.5389",="0",="11.2959",="319.0622",="17.163",="9.6351",="0",="0",="0",="0",="0",="13.1427",="201.1444",="289.9729",="0",="0",="0",="563.8874000000001",="371.4114",="0",="351.2536",="249.7213",="0",="821.8113999999999",="0",="0",="0",="0",="619.4886",="0",="454.41420000000005",="0",="0",="0",="337.8446",="636.2401",="5.6736",="852.8243",="457.3243",="312.6207",="362.3997",="571.3314",="435.4916",="0",="437.0775",="474.719",="1154.5198",="0",="0",="570.9917",="271.3661",="287.2303",="838.5817",="252.0473",="306.913",="375.7837",="368.1385",="327.3785",="1565.1461",="526.7335",="388.1982",="340.9195",="707.1836",="251.0926",="0",="0",="94.5596",="408.0003",="345.735",="235.0878",="971.0285",="339.5005",="371.5561",="830.3731",="424.404",="1245.9393",="501.6237",="395.1471",="244.6879",="566.0073",="592.9273",="162.0358",="206.3165",="417.1916",="413.6809",="871.3831",="344.2078",="0",="0",="138.4637",="0",="478.6646",="1977.0321",="605.7969",="2501.1053",="125.0912",="761.4925000000001",="303.6498",="3.0258",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="103.7881",="365.5091",="0",="0",="0",="48.8943",="0",="0",="0"
="SSp-bfd6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1912.17",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="749.028",="0",="0",="0",="0",="645.9039",="0",="259.6146",="0",="0",="0",="132.4974",="0",="0",="0",="0",="625.29",="156.2808",="0",="0",="226.2234",="0",="170.33",="0",="0",="594.4018",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="275.6941",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="613.1274",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="277.1682",="32.1583",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ul2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="723.3906",="0",="0",="0",="0",="0",="0",="0",="924.222",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ul4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="89.0692",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-un2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1254.4702",="0",="0",="0",="0",="0",="0",="0",="4208.5205",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="182.9459",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-un4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="366.469",="0",="0",="0",="0",="0",="0",="0",="14.563",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="143.6168",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-un5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="652.9838",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="115.5787",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="fp",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="422.9034",="0",="0",="37.1596",="0",="0",="1075.5158000000001",="0",="0",="0",="0",="926.278",="0",="0",="0",="0",="331.1803",="0",="220.0708",="313.4944",="415.3003",="0",="1244.6436",="0",="1859.1899",="0",="0",="0",="0",="0",="1157.4891",="0",="0",="0",="0",="0",="0",="421.4334",="111.599",="0",="0",="0",="0",="3589.1706000000004",="93.8993",="0",="307.815",="0",="0",="0",="1984.0114",="0",="0",="0",="1883.3661000000002",="1349.1567",="5233.893599999999",="7173.7880000000005",="469.2146",="192.5857",="663.0019",="1638.2423",="3283.5515000000005",="0",="493.0675",="2050.4962",="5575.6107999999995",="457.8513",="0",="1372.0408",="50.2099",="731.6147",="0",="0",="256.1935",="20.9804",="1814.9648",="150.2868",="2881.3947",="510.2024",="1850.5759",="802.7668",="0",="1534.2703",="0",="5031.2544",="2317.9074",="3610.6049000000003",="1485.412",="2985.4196",="1061.3164",="2317.2853",="1520.0363000000002",="2551.805",="628.5412",="1532.3528999999999",="2790.6618",="2750.9119",="844.2996999999999",="1527.7144",="2997.4082",="3298.8851",="914.5813",="699.3684",="5264.919",="2710.9357",="1090.8994",="3611.3913999999995",="84.2112",="936.9133",="0",="5079.7600999999995",="2514.1843000000003",="2398.7275",="3827.0946",="3592.0801",="3845.0460000000003",="0",="0",="0",="908.0669",="456.5687",="0",="0",="0",="0",="400.9941",="4.6401",="0",="0",="0",="0",="1675.4858",="1085.0498",="1290.0718",="1318.232",="1440.188",="833.037",="154.0179",="0",="1322.5517",="706.1332",="2.2247",="0",="208.2409"
="ccs",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1968.0329",="0",="0",="0",="0",="0",="1248.9529",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="231.3968",="0",="745.7438999999999",="0",="0",="0",="0",="0",="0",="0",="0",="507.1997",="0",="0",="0",="1329.062",="1015.1355",="0",="0",="0",="0",="358.9187",="0",="0",="0",="0",="0",="0",="385.5741",="0",="0",="0",="1032.8388",="2623.1041",="1034.836",="1979.498",="415.6273",="100.7842",="218.0733",="842.5267",="1884.3271",="0",="1266.1882",="678.8588",="3814.3766",="0",="0",="483.7161",="630.6823",="1710.3827999999999",="0",="0",="1725.4706",="323.2812",="1172.0391",="0",="987.4961000000001",="2166.6416",="57.1129",="650.9039",="0",="547.8717",="0",="2128.4276",="3460.6122",="2003.2132",="1510.3841",="3415.2245000000003",="2320.0739",="1400.9101",="3189.1588",="1761.8493999999998",="0",="1945.8247999999999",="2789.5069999999996",="0",="1387.2756",="2223.0675",="2882.1778000000004",="2633.3647",="3226.8122000000003",="0",="1275.4751999999999",="238.7231",="1267.1449",="1308.3301000000001",="213.461",="2242.3540000000003",="0",="1437.8781999999999",="1311.8161",="1613.7117",="1581.6815000000001",="1655.1522",="1972.6705",="0",="0",="1138.3303",="75.222",="0",="1104.6201",="1011.8027",="880.9521",="962.5513",="767.8457",="272.0044",="792.6727",="539.4625",="475.0206",="777.1856",="218.7218",="853.6517",="922.7465",="730.3331",="687.8119",="733.361",="1089.1254",="783.5623",="193.0862",="1117.2765",="844.8833",="1124.6305",="893.8879"
="SSs1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="260.0148",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="340.382",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="397.8067",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="164.8777",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
