 ,221364_075,221366_039,221366_040,221366_041,221480_104,221481_199,221481_539,221737_009,221737_010,221737_011,221737_012,230010_054,230010_055,230011_156,230011_157,230011_158,230011_159,230011_172,230011_173,230011_176,230011_177,230059_011,230059_026,230059_027,230109_010,230113_004,230113_007,230114_018,233379_041,233379_042,233379_146,233795_068,233795_069,233795_071,233795_076,233795_077,233795_080,233795_107,233795_108,233795_109,233795_110,233795_111,233795_112,221089_019,221089_020,221089_034,221090_075,221090_076,221090_083,221090_085,221090_088,221090_089,221090_106,221090_107,221090_111,221365_040,221426_060,221475_210,221477_057,221478_745,221478_749,221478_796,221481_182,221481_183,221481_190,221481_192,221481_200,230114_067,230114_084,231685_298,231686_049,233379_043,233379_138,233379_139,233379_140,221090_082,221090_086,221090_087,221090_091,221090_112,221365_082,221426_058,221475_204,221475_205,221475_246,221476_057,221481_177,221481_178,233379_120,221365_071,221366_042,221426_059,221426_064,221426_067,221426_080,221477_066,221535_021,233285_033,221514_018,221536_031,221538_007,221538_008,221538_019,221538_020,233282_046,233282_047,233282_050,233285_003,233285_035,233285_036,233285_103,233285_104,233285_105,233285_106,233285_107,233285_108,233285_109
="SSp-bfd4",="291.1495",="8248.2199",="1879.8998",="860.0021",="3013.4144",="0",="5514.1717",="3713.2811",="967.6117",="1384.3245000000002",="522.5603",="3153.0784",="540.1615",="4065.9675",="6562.9744",="731.0314",="2118.2765",="2014.5232",="777.1096",="1471.3833",="543.1263",="3197.6962",="2981.8928",="1837.5524",="978.242",="1313.5589",="3655.818",="412.4287",="50.9465",="2706.3446",="2774.8894",="2646.8314",="2299.6847",="394.2418",="524.3931",="203.0302",="0",="211.4966",="2152.3365",="2016.2883",="142.6206",="1163.8982",="6434.423",="298.1359",="68.7879",="137.7249",="9623.4243",="0",="0",="0",="0",="0",="1784.2158",="1734.1665",="1741.9101",="0",="112.8692",="2518.5667",="903.4748",="94.0593",="0",="0",="0",="1867.8133",="2912.4687",="3571.2638",="0",="225.0783",="0",="208.4033",="137.9782",="0",="161.5538",="0",="0",="506.5491",="0",="49.9023",="0",="1044.2167",="0",="0",="2690.1788",="837.7493",="3481.7843",="1201.5535",="2771.509",="2009.0802",="0",="0",="0",="21.0974",="0",="2374.4808",="3774.3895",="128.9516",="0",="0",="0",="0",="127.2458",="0",="0",="0",="0",="0",="0",="1332.1366",="0",="0",="0",="0",="0",="0",="0",="0",="448.7171"
="SSp-ll6a",="958.1458",="0",="880.3311",="0",="0",="0",="0",="1006.3992",="593.4241",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.122",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1897.7666",="0",="0",="0",="0",="288.4979",="0",="31.5576",="552.3007",="788.2441",="163.0476",="728.3691",="967.8193",="497.8153",="0",="1049.1671",="0",="897.7149",="0",="0",="0",="0",="738.5457",="0",="0",="43.862",="0",="0",="256.1501",="0",="0",="0",="972.0493",="987.658",="0",="0",="0",="0",="940.0096",="0",="0",="0",="0",="1023.785",="0",="0",="696.5294",="1017.8289",="915.3651",="0",="0",="856.0166",="99.5325",="0",="998.6593",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6a",="535.0566",="0",="553.0143",="0",="0",="0",="0",="435.6213",="791.6849",="0",="0",="0",="0",="0",="0",="0",="0",="0",="856.3867",="0",="0",="9.5303",="0",="0",="0",="0",="107.8762",="0",="0",="0",="0",="0",="588.5903",="0",="0",="0",="0",="1104.4644",="0",="856.0405",="106.7499",="630.5238",="990.3837",="990.5949",="790.0743",="1335.6123",="0",="636.7961",="0",="924.9479",="0",="1459.6466",="0",="0",="919.306",="0",="0",="1190.6291",="0",="0",="601.7594",="0",="0",="0",="1109.8365",="0",="0",="783.1799",="0",="103.8166",="0",="0",="0",="0",="0",="1641.4321",="0",="0",="504.2872",="209.1851",="515.0661",="0",="0",="319.9967",="3301.9609",="0",="646.8457",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp6a",="586.539",="0",="481.4939",="0",="0",="0",="0",="618.7624",="454.3157",="0",="0",="0",="0",="0",="0",="0",="0",="0",="373.7663",="0",="0",="118.834",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1229.1467",="0",="0",="0",="0",="479.4958",="0",="1477.2341",="629.779",="567.9998",="507.1466",="1126.6746",="1035.0982",="1069.7123",="0",="462.0555",="0",="792.2531",="0",="751.5594",="0",="0",="468.2553",="0",="0",="478.017",="0",="0",="235.517",="0",="0",="0",="737.2356",="814.1864",="0",="901.5656",="0",="382.8403",="856.975",="0",="0",="0",="0",="1140.8947",="0",="175.6404",="466.5556",="1077.1477",="604.9935",="0",="0",="463.3093",="0",="0",="437.3912",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs2/3",="730.8079",="0",="6149.9142",="0",="0",="0",="0",="4907.2383",="1475.8026",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1340.3003",="0",="0",="6996.2624",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10702.584",="0",="0",="0",="0",="6064.4892",="0",="4901.6554",="4649.6595",="7305.0102",="8938.8551",="6178.0305",="2703.2264",="11828.2734",="2897.6863",="5052.9207",="0",="12521.631",="1418.237",="2925.5892",="117.5345",="7435.0919",="5813.1479",="0",="0",="7084.9802",="0",="0",="1418.6342",="0",="0",="0",="9297.5814",="20496.1877",="0",="5287.7171",="0",="4142.658",="5216.7289",="0",="0",="0",="0",="7193.434",="0",="399.8309",="3840.8749",="11906.0602",="9817.4516",="0",="0",="40765.3006",="0",="0",="5022.059",="0",="193.6025",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="1279.3344",="0",="5038.6551",="0",="0",="0",="0",="6698.7591",="2100.8535",="0",="0",="0",="0",="0",="0",="0",="0",="0",="503.1987",="0",="0",="8793.1187",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="21966.8856",="0",="0",="0",="0",="3358.9061",="0",="4885.329",="4455.6067",="3904.5752",="7344.1571",="4689.1032",="2733.1085",="3654.9094",="1216.7399",="1712.58",="0",="2397.3601",="794.3014",="457.4044",="0",="944.2667",="2542.4807",="0",="0",="2599.3909",="0",="0",="784.5492",="0",="0",="0",="4709.2925",="5752.9666",="0",="729.2945",="0",="1061.0805",="2658.5324",="0",="0",="0",="0",="3477.363",="0",="500.4897",="102.908",="4851.8872",="2709.9124",="0",="0",="7755.2521",="0",="0",="478.677",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="551.5067",="0",="1349.6273",="0",="0",="0",="0",="2183.8783",="1267.2837",="0",="0",="0",="0",="0",="0",="0",="0",="0",="749.6635",="0",="0",="733.0735",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1922.1854",="0",="0",="0",="0",="1206.6723",="0",="1678.72",="1954.7648",="0",="2924.4813",="1550.1317",="1130.8915",="1127.3569",="812.0628",="2289.8397",="0",="1425.1444",="0",="1018.0677",="0",="0",="2566.5717",="0",="0",="2157.4237",="0",="0",="731.6389",="0",="0",="0",="2893.8598",="2157.3684",="0",="1485.9621",="0",="1997.9718",="1009.641",="0",="102.1154",="0",="0",="4077.0897",="0",="2318.2315",="473.8973",="10809.5635",="1819.6205",="0",="0",="4218.429",="0",="0",="1273.1713",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="7.5585",="0",="0",="24.3139",="0",="54.2851",="0",="0",="0",="144.64069999999998",="0",="0",="0",="0",="158.1328",="0",="0",="345.8641",="0",="0",="193.3919",="0",="0",="0",="0",="458.3183",="0",="0",="0",="0",="0",="77.9891",="0",="160.3507",="0",="203.2326",="0",="0",="0",="0",="0",="0",="0",="768.189",="0",="0",="0",="0",="402.3841",="0",="0",="0",="892.0025",="488.7174",="0",="263.588",="0",="247.9317",="0",="0",="685.3063",="0",="1858.1421",="2315.9168",="0",="81.8446",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="240.8614",="646.4737",="0",="22.5631",="0",="0",="0",="117.2144",="0",="0",="0",="343.6193",="60.7943",="0",="0",="0",="0",="146.9638",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="250.1158",="0",="509.243",="0",="0",="0",="0"
="VISam5",="63.0784",="0",="0",="0",="0",="581.1992",="0",="245.9267",="0",="433.4415",="0",="0",="0",="0",="581.8817",="0",="0",="0",="0",="142.2239",="1252.0297",="0",="0",="0",="0",="284.3455",="0",="0",="0",="0",="0",="263.5102",="0",="115.9193",="112.7519",="209.4246",="0",="0",="52.587",="0",="0",="0",="0",="2815.9763",="0",="0",="0",="0",="650.4142",="564.5462",="277.0244",="0",="1622.5243",="1605.8562",="0",="209.3051",="0",="525.9375",="0",="0",="1642.2745",="0",="2087.0278",="3731.9194",="0",="281.5354",="0",="0",="0",="231.1734",="0",="0",="0",="0",="0",="0",="381.7482",="1126.1782",="0",="4.7504",="177.8277",="1059.3438",="0",="0",="351.6198",="38.5895",="0",="1747.3956",="498.9486",="0",="0",="0",="114.5304",="1776.5749",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="122.4439",="0",="0",="0",="0",="0",="0"
="VISp1",="764.8927",="159.0719",="1385.2737",="2247.2392",="2234.6159",="3631.6633",="465.3357",="1232.477",="5674.7707",="3895.8923",="901.5941",="1112.3445",="6078.5426",="40.8601",="284.9054",="9787.5579",="2967.7886",="5169.0703",="215.5023",="2264.4396",="1022.2073",="0",="108.8836",="0",="2276.0671",="0",="0",="2901.3556",="11486.1138",="1328.9086",="626.9276",="582.9474",="383.9632",="9987.1547",="7435.2426",="8951.4886",="320.2094",="2801.8347",="1845.0447",="2371.6098",="4367.9112000000005",="4341.0299",="0",="0",="4007.1207",="528.799",="4017.3514",="2505.017",="2012.1875",="6661.6601",="1593.5435",="768.0319",="0",="65.8245",="143.2654",="1139.3487",="5330.685",="2353.9045",="18714.4107",="7024.2228",="10269.207",="1060.7345",="901.5442",="2442.734",="19168.822099999998",="1081.1425",="15832.1794",="4753.9225",="207.66",="129.5576",="5086.338",="16116.5053",="22174.8463",="10569.405700000001",="925.4458",="22250.611",="13342.6391",="1153.1194",="3425.6992",="1128.8747",="2355.6268",="4856.6169",="402.4071",="6520.8126",="0",="1183.9134",="67.7536",="6493.0477",="5667.8002",="0",="4891.6126",="1878.8581",="912.6662",="15125.6188",="480.1808",="12453.0712",="0",="604.0373",="188.7721",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp2/3",="2207.9965",="838.8446",="437.4983",="2723.1831",="480.1088",="5837.8714",="1057.1784",="0",="4379.582",="875.6133",="1501.1252",="525.2301",="2714.4612",="0",="67.124",="2218.8396",="1359.1115",="3478.7799",="624.9726",="1045.0539",="42.3946",="0",="571.7701",="0",="6857.3239",="0",="0",="3251.9874",="1009.6315",="2109.7526",="366.5748",="0",="225.0215",="3068.6037",="681.3063",="2206.1607",="0",="0",="80.1241",="206.4116",="1248.1299",="817.8399",="0",="0",="391.2193",="0",="1249.5019",="759.6903",="0",="241.065",="250.6551",="989.506",="0",="0",="0",="277.727",="2275.3852",="987.0106",="1085.1168",="3401.3525",="2000.1401",="391.3038",="0",="248.0626",="1549.1553999999999",="784.07",="2248.0537",="3732.1135",="3153.9836",="20.8181",="1560.6964",="655.0639",="2612.4316",="6174.4819",="1263.278",="2391.7841",="5662.056500000001",="456.5209",="293.98",="532.8848",="677.3425",="14552.4504",="972.6251",="4262.0584",="0",="1410.6773",="0",="2689.3215",="3230.2016",="0",="1651.999",="275.7803",="494.532",="346.7436",="0",="0",="0",="668.4882",="520.272",="0",="0",="0",="81.9549",="137.4115",="30.4902",="0",="5.8539",="0",="440.2785",="0",="0",="0",="767.9366",="0",="0",="0",="0"
="VISp4",="506.7091",="96.6791",="174.4892",="1234.3526",="0",="1028.2842",="795.3675",="0",="937.0932",="0",="101.7545",="0",="203.4522",="0",="93.6221",="206.927",="712.0246",="2616.1339",="314.2371",="280.9391",="83.3206",="50.3139",="0",="0",="1060.2546",="0",="0",="1485.3293",="1161.6399",="245.1779",="0",="0",="611.9025",="1162.9349",="844.8423",="2418.0131",="0",="0",="0",="0",="386.2205",="0",="0",="0",="346.3998",="0",="131.9395",="173.7891",="0",="173.4836",="697.5353",="2621.4496",="0",="0",="0",="137.7939",="1207.4955",="0",="614.4851",="1896.6376",="2162.5176",="380.4624",="637.619",="372.7249",="650.1057",="0",="1144.609",="1865.8996",="647.7255",="0",="1744.4723",="1416.2561",="5910.1359",="1882.7858999999999",="48.9984",="470.9436",="1728.2902000000001",="262.1662",="236.9513",="79.8199",="313.3924",="5117.3855",="0",="361.4039",="0",="129.4985",="0",="483.1607",="5708.9985",="2.0796",="1219.1055",="74.1038",="1857.1433",="0",="0",="25.6294",="0",="842.1001",="829.7298",="912.6963",="684.8479",="0",="1202.1944",="4528.3741",="399.7989",="683.7303",="7.2883",="169.9948",="1092.9658",="190.7645",="17.4886",="493.6159",="1970.5065",="0",="653.9954",="851.7723",="1017.8178"
="VISp5",="3485.0744",="0",="300.3751",="1607.0548",="452.2717",="1165.8164",="629.376",="685.4719",="2582.8844",="1153.4045",="241.1482",="0",="259.7142",="0",="325.8879",="583.7096",="2342.9367",="2693.0491",="95.4619",="2223.0054",="2446.8784",="164.3204",="41.7236",="140.0362",="1077.4476",="327.0899",="154.1368",="4272.4825",="2305.3492",="582.9457",="37.4051",="0",="29.0018",="4230.6985",="3009.384",="3155.1287",="0",="4.8619",="113.5942",="282.2275",="1070.7034",="24.6141",="227.9829",="0",="1114.4819",="765.3358",="372.301",="414.9878",="0",="288.377",="669.3829",="322.4456",="0",="0",="296.839",="72.4589",="998.7239",="0",="70.8046",="3111.462",="1923.9689",="0",="2336.8962",="1036.7954",="573.5821",="0",="2370.5644",="644.4792",="634.1131",="312.7755",="1179.1886",="610.4317",="2661.7179",="4021.8162",="0",="4341.1518",="4622.2726",="156.608",="415.5268",="1270.6238",="744.4699",="6337.3523000000005",="907.4108",="1921.7044",="615.7567",="864.0992",="278.541",="501.8129",="2562.2252",="339.4757",="4295.7941",="140.8758",="5728.031",="265.335",="0",="2375.7419",="54.6698",="2500.149",="838.8981",="1710.854",="1134.6656",="137.4879",="920.8836",="3340.7974",="546.9126",="982.8098",="72.8737",="568.0051",="1064.3437",="424.4938",="1184.3335",="286.654",="2501.0167",="0",="810.9291",="502.7127",="162.3861"
="VISp6a",="454.7571",="0",="48.0078",="984.3733",="197.2854",="1862.9468",="0",="1195.4402",="1715.9509",="579.9856",="0",="867.4272",="245.627",="0",="1312.4886",="261.9042",="1707.7992",="569.4783",="0",="350.2086",="171.7475",="0",="0",="0",="0",="0",="28.5378",="1053.0561",="210.6",="0",="0",="984.929",="0",="2618.0176",="498.33389999999997",="0",="0",="0",="0",="782.8721",="170.2631",="16.1609",="0",="0",="0",="156.5361",="1344.5953",="63.1423",="721.8726",="2212.7837",="1616.1144",="0",="102.7999",="0",="196.7411",="47.927",="1447.0704",="0",="201.8983",="898.4045000000001",="98.6956",="0",="710.0893",="811.9889000000001",="0",="0",="237.9537",="179.7329",="269.0876",="1492.705",="751.399",="52.2064",="490.4902",="2234.1912",="0",="3144.1006",="5151.6437000000005",="1082.3789",="1256.3669",="296.3179",="2960.0998",="5278.3728",="112.063",="903.5074999999999",="1980.1895",="1668.9607",="0",="956.3871",="1982.7279",="0",="612.0978",="130.4637",="567.8961",="631.295",="225.5243",="688.3952",="0",="1055.8406",="356.8631",="421.8599",="522.4964",="0",="1336.2028",="583.8805",="76.1502",="213.3623",="153.465",="0",="813.4636",="480.1431",="0",="407.7407",="1094.9312",="287.997",="354.8966",="397.5815",="47.8379"
="VISpm4",="157.986",="0",="0",="0",="0",="244.3997",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="306.8097",="0",="0",="0",="0",="0",="0",="0",="36.7678",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8.5543",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="41.1226",="0",="181.972",="0",="0",="0",="0",="0",="0",="23.4169",="0",="0",="108.6486",="0",="751.8391",="1062.4848",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="436.0798",="580.374",="0",="36.3248",="43.2277",="0",="0",="701.6645",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="60.7062",="0",="699.098",="0",="0",="0",="0"
="VISpm5",="130.4523",="0",="0",="0",="0",="123.4254",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="57.2576",="167.7789",="0",="0",="0",="0",="142.9121",="0",="0",="0",="0",="0",="0",="0",="96.5481",="71.8583",="0",="0",="0",="36.0879",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="493.9253",="0",="0",="0",="0",="0",="0",="0",="0",="0",="122.033",="0",="1003.948",="970.7764",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1173.9926",="675.5232",="0",="0",="49.6752",="77.4911",="0",="1167.1792",="1114.1455",="246.21",="0",="0",="7.4221",="0",="0",="0",="500.7992",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="852.781",="0",="0",="0",="0"
="VISa1",="185.5998",="0",="0",="840.2565",="1422.7142",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="89.0352",="0",="0",="61.7395",="337.127",="1378.5797",="87.6758",="0",="301.1098",="41.9632",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1403.2623",="678.3596",="910.9696",="436.2442",="1468.5631",="0",="744.5935",="664.2015",="0",="0",="0",="885.6384",="0",="0",="0",="5962.1769",="2756.9758",="2786.5008",="5168.6939999999995",="3232.304",="4144.6203",="954.5477",="875.4565",="1946.7704",="0",="458.247",="4649.291",="1583.6853",="8078.3991000000005",="260.0809",="874.4383",="0",="0",="124.9495",="0",="0",="0",="0",="0",="0",="120.8794",="0",="424.09929999999997",="145.7829",="324.76739999999995",="544.1252",="1993.5116",="156.6673",="0",="284.10810000000004",="2517.9708",="0",="0",="0",="0",="0",="0",="314.2669",="1078.9258",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa2/3",="694.9663",="0",="0",="2587.6532",="1179.9758",="0",="0",="0",="0",="248.5266",="0",="0",="0",="139.959",="1028.1384",="0",="60.0716",="964.4778",="0",="971.7023",="549.0418",="386.4375",="6639.1297",="20.3911",="0",="229.484",="968.7319",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="372.9587",="1104.3776",="276.8289",="1051.4485",="209.4521",="306.6334",="205.1331",="0",="0",="0",="0",="525.9836",="0",="0",="0",="3761.5743",="2267.8458",="1857.1723",="1836.3141",="3008.2251",="11668.5009",="1182.1852",="792.6516",="383.0851",="0",="0",="910.5528",="556.4276",="3997.9528",="409.3018",="1678.0665",="0",="0",="266.1058",="0",="0",="0",="0",="0",="141.9833",="0",="0",="785.1714",="268.8299",="1594.7271999999998",="3084.3231",="808.1893",="1002.0459",="188.1542",="1006.841",="5699.1711",="0",="0",="0",="0",="0",="0",="278.1541",="279.5803",="0",="91.5408",="0",="0",="0",="0",="0",="0",="0",="0",="27.2564",="1.686",="0",="0",="85.2137",="0",="27.8483",="0",="18.5972",="0",="0"
="VISa4",="1254.7552",="0",="0",="95.304",="97.4154",="0",="0",="945.5884",="0",="60.369",="0",="0",="0",="880.0182",="811.3483",="103.8625",="117.6182",="209.0531",="0",="647.6373",="596.4462",="171.3199",="283.5109",="112.8111",="0",="107.2504",="557.0843",="0",="0",="0",="219.8222",="0",="0",="0",="0",="0",="0",="154.3594",="339.2778",="410.0392",="73.7234",="614.3887",="669.585",="0",="233.869",="0",="0",="0",="348.4238",="0",="0",="0",="1313.6001",="1084.3967",="1385.559",="442.01430000000005",="328.5908",="4648.0882",="891.3648",="159.1887",="2272.5306",="0",="0",="974.0205",="338.209",="1391.4751",="247.6379",="278.1222",="0",="0",="457.12469999999996",="0",="0",="0",="0",="0",="0",="0",="0",="978.2166",="0",="383.6885",="589.3941",="837.0186",="660.2205",="39.3368",="66.2556",="763.7995",="0",="0",="0",="0",="0",="33.6287",="130.4708",="118.0481",="0",="575.524",="0",="0",="0",="0",="0",="0",="0",="61.3547",="177.0364",="363.3152",="0",="0",="446.941",="0",="3034.9079",="0",="456.3221",="185.3375",="0"
="VISa5",="3906.2407",="0",="0",="0",="114.9319",="0",="0",="515.8301",="0",="2289.1333999999997",="0",="0",="0",="0",="1010.4879",="0",="0",="0",="0",="999.7005",="0",="0",="353.3048",="0",="0",="0",="1549.963",="0",="0",="0",="368.1128",="204.6779",="0",="0",="298.0228",="0",="0",="1413.1819",="1231.6816",="1199.0461",="250.2427",="1418.7994",="736.7913",="197.2258",="1061.0545",="132.8705",="0",="645.8767",="258.903",="0",="189.1263",="0",="5462.2735",="1863.3622",="169.8037",="1418.6118999999999",="508.1863",="6502.0646",="588.9874",="253.8306",="1614.8566",="0",="284.2517",="1664.0227",="250.1365",="1116.6338",="385.7384",="1912.3705",="0",="236.9139",="1119.759",="0",="0",="0",="0",="179.4325",="0",="0",="0",="1731.2711",="1037.8955",="3157.1982",="1604.8787",="5018.795400000001",="8194.8631",="593.209",="0",="251.7991",="0",="0",="0",="15.5755",="0",="1689.9822",="796.9217",="79.1855",="2242.6823",="3636.1716",="0",="0",="0",="0",="0",="0",="570.3587",="71.4625",="582.5522",="555.5677",="172.6914",="23.0194",="431.1387",="0",="2507.4067",="0",="475.9991",="118.6416",="0"
="VISa6a",="517.1082",="0",="0",="0",="0",="0",="0",="0",="626.7116",="604.0608",="178.1364",="0",="0",="0",="316.728",="0",="0",="0",="1202.1601",="0",="0",="0",="0",="0",="0",="0",="850.935",="719.3244",="0",="0",="0",="480.9103",="0",="0",="529.9932",="0",="0",="1043.3599",="1184.247",="1081.3546",="348.7201",="585.3036",="734.5701",="1539.9714",="533.8941",="445.8711",="0",="398.9621",="0",="457.423",="0",="776.262",="222.7199",="1193.0120000000002",="193.1129",="939.2643",="243.9506",="1528.0564",="376.4676",="261.2957",="1223.2397",="0",="0",="2000.1519",="1375.9005",="454.5656",="1324.663",="0",="0",="1207.8826",="0",="0",="34.2095",="0",="0",="1026.5008",="0",="0",="1108.51",="1731.6109",="375.9025",="4746.5428",="101.1358",="1360.1944",="3158.7738",="16.3473",="117.6444",="0",="0",="0",="0",="133.0639",="0",="452.5031",="80.1917",="0",="0",="2485.4491",="0",="0",="0",="0",="0",="0",="345.9084",="0",="296.5432",="21.2159",="95.8891",="20.2987",="0",="0",="787.1059",="218.2791",="0",="0",="0"
="VISa6b",="35.9766",="0",="0",="0",="0",="0",="0",="0",="0",="76.5861",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2.1904",="0",="0",="0",="0",="0",="0",="0",="6.9254",="0",="0",="76.0523",="0",="51.2171",="208.4681",="0",="0",="233.0806",="103.2631",="0",="0",="0",="0",="0",="0",="0",="191.0368",="1120.0017",="0",="0",="0",="0",="0",="142.1475",="265.7819",="0",="0",="0",="0",="137.415",="0",="0",="0",="257.6402",="84.4652",="0",="0",="0",="0",="0",="0",="0",="0",="0",="51.1592",="703.6708",="191.117",="79.6136",="168.3384",="121.6062",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl1",="417.8193",="2317.9077",="1588.2522",="2695.9469",="3179.4082",="1235.7425",="1361.5648",="6167.9423",="4094.6396000000004",="6553.6752",="1382.9706",="3688.5206",="589.3491",="3661.9984000000004",="4563.4909",="2331.3374999999996",="1201.6285",="1001.0225",="420.085",="3650.035",="2940.2626",="2525.9106",="3627.0811",="2522.4518",="2069.9046",="1208.814",="2385.0486",="1219.9075",="1239.1314000000002",="3378.9904",="2469.6881",="4153.0477",="9456.7457",="4614.2781",="3491.4421",="5127.4138",="7497.3059",="4757.058",="588.4062",="6461.1629",="1334.2315",="4934.2492",="2510.0866",="0",="5337.8349",="2470.2609",="822.3877",="3901.1587",="0",="2554.5378",="0",="0",="1568.8334",="2394.6444",="8157.6346",="6358.0692",="11493.1391",="1499.2096",="2554.2691",="7365.7983",="6632.6856",="2858.2696",="16159.0711",="6815.4432",="15673.2605",="10238.1067",="10193.274300000001",="2533.5943",="151.9286",="7496.964",="4957.1442",="1744.5556",="3937.076",="7233.8801",="558.4804",="4859.351",="5426.8225",="0",="619.3975",="2367.1594",="3079.7611",="1830.5767999999998",="2293.6858",="1404.1496",="27.4431",="38.0283",="4139.5711",="2192.4147",="984.1622",="0",="177.6374",="674.7264",="4.4939",="117.0698",="4980.4396",="2961.217",="0",="211.7918",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl2/3",="3696.9467",="3300.5254",="2583.8831",="12936.6807",="10398.148",="10497.4732",="7457.7398",="4604.7389",="8113.5721",="5472.0921",="3106.3572",="5565.5311",="4402.6791",="3585.3545999999997",="7893.9443",="5349.9783",="3258.5919000000004",="1901.0775",="2298.3044",="7514.417",="4896.5351",="7659.607",="14322.4927",="8795.9259",="3958.961",="1359.0648",="2825.0262",="4976.7993",="1385.4242",="6337.401",="5324.3561",="6774.2196",="7025.7759",="6325.8129",="4354.3179",="2764.123",="0",="4275.4623",="7408.3898",="7491.729",="8174.575",="8066.4037",="5702.0996",="0",="2226.2102",="965.5574",="429.3297",="2153.6168",="0",="160.8541",="0",="0",="1890.7959",="1011.3196",="3897.1221",="1087.2982",="14373.798",="3633.7455",="1182.8181",="10767.1238",="4708.01",="2822.5629",="5541.0886",="5136.5447",="4980.535",="4440.7713",="5364.8614",="1567.8766",="4685.2589",="4711.7061",="1413.5988000000002",="465.4052",="441.9175",="8058.5342",="5661.7526",="1148.4943",="8529.2583",="6.5381",="0",="2778.4227",="2675.0261",="10637.8488",="6950.7661",="3018.2779",="491.8884",="815.0115",="21105.2744",="3572.7697",="1134.4429",="0",="116.371",="2913.9392",="1889.3203",="31.4342",="1966.2923",="725.9378",="0",="386.0232",="0",="0",="95.6005",="42.571",="0",="84.5168",="59.4639",="98.9808",="54.7467",="441.5627",="0",="0",="0",="27.9679",="145.6909",="0",="0",="721.1345",="225.3456"
