 ,221364_075,221366_039,221366_040,221366_041,221480_104,221481_199,221481_539,221737_009,221737_010,221737_011,221737_012,230010_054,230010_055,230011_156,230011_157,230011_158,230011_159,230011_172,230011_173,230011_176,230011_177,230059_011,230059_026,230059_027,230109_010,230113_004,230113_007,230114_018,233379_041,233379_042,233379_146,233795_068,233795_069,233795_071,233795_076,233795_077,233795_080,233795_107,233795_108,233795_109,233795_110,233795_111,233795_112,221089_019,221089_020,221089_034,221090_075,221090_076,221090_083,221090_085,221090_088,221090_089,221090_106,221090_107,221090_111,221365_040,221426_060,221475_210,221477_057,221478_745,221478_749,221478_796,221481_182,221481_183,221481_190,221481_192,221481_200,230114_067,230114_084,231685_298,231686_049,233379_043,233379_138,233379_139,233379_140,221090_082,221090_086,221090_087,221090_091,221090_112,221365_082,221426_058,221475_204,221475_205,221475_246,221476_057,221481_177,221481_178,233379_120,221365_071,221366_042,221426_059,221426_064,221426_067,221426_080,221477_066,221535_021,233285_033,221514_018,221536_031,221538_007,221538_008,221538_019,221538_020,233282_046,233282_047,233282_050,233285_003,233285_035,233285_036,233285_103,233285_104,233285_105,233285_106,233285_107,233285_108,233285_109
="VISli2/3",="0",="0",="0",="0",="0",="437.3956",="142.9928",="0",="0",="0",="0",="0",="0",="625.1613",="0",="1170.2684",="573.1654",="245.055",="0",="0",="0",="0",="413.1914",="0",="0",="0",="0",="0",="0",="0",="0",="9.4145",="0",="0",="0",="52.3977",="0",="0",="475.597",="0",="0",="0",="0",="0",="0",="0",="488.783",="0",="0",="0",="236.118",="0",="8.5345",="0",="340.1682",="0",="0",="504.8169",="521.0285",="578.84",="0",="224.7974",="0",="0",="617.0992",="371.6908",="371.6494",="0",="0",="0",="312.38509999999997",="0",="0",="3.7374",="0",="0",="500.3121",="0",="0",="0",="869.558",="303.8309",="1956.0706",="1372.2805",="0",="0",="0",="65.1884",="40.8042",="0",="0",="0",="0",="0",="0",="194.5682",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs2/3",="0",="0",="0",="0",="0",="0",="96.7851",="0",="0",="0",="0",="190.2183",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1862.7522",="0",="0",="0",="0",="0",="0",="0",="581.3604",="0",="54.884",="0",="0",="0",="10140.9304",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2826.6064",="0",="0",="0",="0",="752.5637",="0",="0",="0",="0",="0",="568.0705",="0",="822.5063",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="41.6906",="375.4224",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs4",="0",="0",="0",="0",="0",="0",="38.4308",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="421.8393",="0",="0",="0",="0",="0",="138.8844",="0",="0",="0",="0",="0",="0",="0",="1182.1782",="0",="204.3266",="0",="0",="0",="702.7242",="0",="0",="0",="0",="0",="0",="0",="2336.4672",="0",="0",="0",="0",="0",="395.21979999999996",="0",="0",="0",="0",="242.5287",="2.3534",="0",="0",="0",="0",="218.8586",="0",="330.7152",="0",="0",="0",="0",="0",="0",="0",="0",="0",="31.242",="0",="107.9898",="0",="0",="0",="0",="0",="0",="33.1161",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs5",="0",="0",="0",="0",="0",="0",="268.0569",="0",="0",="0",="0",="45.0726",="0",="0",="0",="0",="184.9992",="0",="235.228",="67.7847",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1363.8577",="0",="134.195",="0",="0",="0",="1593.1425",="0",="0",="0",="0",="0",="0",="296.2533",="0",="0",="0",="0",="0",="0",="644.6983",="0",="0",="0",="0",="187.7242",="0",="0",="0",="0",="0",="0",="0",="184.9395",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="288.6416",="0",="0",="0",="0",="0",="0",="3799.7777",="173.277",="0",="0",="0",="0",="108.1181",="0",="0",="4.4288",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd2/3",="0",="0",="0",="0",="0",="0",="52.4189",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="142.3157",="0",="0",="0",="0",="0",="0",="0",="0",="0",="339.4322",="0",="0",="0",="1629.5559",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="787.5766",="0",="0",="0",="0",="1746.639",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="815.1929",="430.5146",="0",="0",="0",="0",="0",="0",="0",="1355.8501",="0",="1930.2008",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd5",="0",="0",="0",="0",="0",="0",="939.7494",="0",="0",="0",="0",="162.5236",="0",="0",="0",="0",="1586.2266",="0",="475.2878",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="72.4014",="449.5759",="0",="0",="0",="0",="0",="0",="446.1975",="0",="0",="637.2764",="0",="0",="0",="932.2463",="0",="65.3638",="0",="0",="1902.6192",="0",="0",="0",="0",="0",="0",="0",="174.0811",="0",="0",="0",="252.4873",="0",="0",="0",="0",="0",="0",="387.5613",="0",="0",="0",="0",="0",="0",="0",="1465.8776",="419.579",="0",="0",="0",="0",="84.807",="0",="0",="363.4786",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr4",="0",="0",="0",="0",="0",="0",="0",="232.5234",="0",="0",="0",="0",="0",="0",="0",="0",="150.1623",="171.0679",="0",="0",="22.2987",="0",="41.2724",="0",="0",="171.7592",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14.3634",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1168.359",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="21.8012",="729.3323",="0",="0",="0",="0",="0",="0",="0",="0",="281.0695",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr5",="0",="0",="0",="0",="0",="0",="0",="624.2366",="0",="0",="0",="0",="0",="0",="547.4237",="0",="0",="0",="0",="0",="484.8874",="0",="27.8672",="0",="0",="358.6828",="773.3412",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="170.5227",="0",="241.1466",="0",="51.3509",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="222.2119",="0",="0",="0",="0",="0",="0",="0",="0",="0",="69.9694",="0",="0",="634.1025",="0",="0",="0",="0",="0",="0",="0",="0",="0",="144.7676",="0",="0",="599.7478",="8649.0761",="0",="0",="0",="0",="0",="0",="0",="0",="60.1032",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="292.4926",="0",="0",="0",="0"
="ENTl1",="0",="0",="0",="0",="0",="0",="0",="140.5469",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4.6069",="0",="0",="246.28",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2055.1588",="1353.4483",="0",="3849.9739",="0",="0",="0",="589.0487",="6731.6376",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4880.0742",="0",="0",="579.2897",="0",="0",="2289.4769",="0",="0",="0",="0",="0",="0",="32.6607",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl2",="0",="0",="0",="0",="0",="0",="0",="613.4001",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2361.8291",="872.0212",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="319.7007",="0",="455.0517",="4572.5796",="0",="0",="3398.6718",="0",="0",="0",="0",="0",="0",="0",="4734.7783",="1232.0761",="0",="2527.4176",="0",="0",="0",="3664.8132",="8165.0928",="4395.5218",="0",="0",="0",="0",="0",="0",="0",="0",="48.2466",="391.7498",="1204.3822",="1753.3374",="0",="0",="3865.1148",="0",="0",="0",="0",="0",="0",="309.3795",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
