 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="SEZ",="188.8209",="0",="0",="0",="0",="198.1226",="268.5851",="0",="96.4921",="0",="0",="0",="519.1819",="0",="76.6768",="404.1141",="0",="0",="7.2152",="1006.8333",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd4",="0",="22.7313",="0",="255.9079",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="325.2816"
="MOp6b",="0",="86.7131",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="112.7649",="0",="0",="0",="66.1652",="0",="0",="0",="0",="124.1355",="0",="0",="0"
="VISpm6b",="0",="8.3221",="0",="0",="47.9887",="0",="0",="0",="0",="323.2521",="0",="52.9202",="0",="0",="64.0326",="536.2246",="0",="0",="0",="305.4809",="168.7915",="41.8385",="19.44",="0",="0",="0",="0"
="RSPagl6b",="0",="742.8419",="0",="0",="33.684",="0",="53.704",="0",="44.623",="87.8957",="0",="93.3025",="0",="43.5326",="0",="284.3977",="0",="216.8409",="402.1815",="0",="112.5447",="0",="11.4074",="39.1253",="128.4808",="0",="0"
="VISa2/3",="0",="62.2326",="355.8683",="0",="232.0579",="112.8676",="0",="0",="0",="723.7293",="0",="0",="0",="0",="0",="0",="335.9515",="7173.159",="261.863",="291.1894",="0",="275.5706",="0",="0",="2750.856",="0",="0"
="VISa4",="0",="263.6192",="0",="0",="248.1827",="0",="0",="0",="0",="162.1877",="0",="0",="0",="0",="0",="0",="0",="294.0795",="0",="100.61",="0",="0",="0",="0",="916.9187",="0",="0"
="VISa5",="0",="334.6321",="0",="0",="18.3622",="27.7415",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1293.7645",="0",="433.8228",="165.3045",="367.4472",="0",="0",="825.3431",="0",="0"
="VISrl1",="0",="646.4011",="691.2526",="3257.1564",="0",="585.2678000000001",="0",="0",="0",="310.6875",="0",="1057.5436",="468.5259",="59.6582",="0",="0",="0",="0",="0",="0",="2212.0623",="0",="28.6922",="3659.2206",="2654.5279",="0",="2886.9085"
="VISrl2/3",="0",="2376.2932",="42.0398",="10394.2103",="0",="331.76059999999995",="0",="0",="0",="0",="0",="724.8339",="1125.9041",="173.9681",="0",="0",="0",="0",="0",="0",="14.3219",="0",="0",="1798.3518",="1068.8632",="0",="0"
="VISrl4",="0",="856.039",="0",="2384.4771",="98.3896",="529.0473999999999",="0",="0",="0",="0",="66.7308",="112.1252",="166.5219",="24.3938",="0",="0",="0",="0",="0",="0",="0",="29.959",="0",="1164.6137",="370.9489",="0",="133.6547"
="VISrl5",="0",="955.7611",="63.3543",="7719.4399",="54.8166",="57.2706",="0",="0",="17.3612",="313.6319",="0",="405.4933",="2056.0168",="967.0198",="0",="0",="0",="0",="0",="0",="0",="1662.2367",="21.0598",="1598.739",="120.3718",="0",="0"
="SSp-bfd1",="0",="0",="1221.4069",="112.2028",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3210.9629"
="SSp-bfd2/3",="0",="0",="1015.3227",="1423.7294",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="262.787"
="SSp-ll6a",="0",="0",="337.6108",="360.9152",="915.431",="0",="0",="0",="988.8802",="544.3679",="0",="0",="980.5299",="920.8877",="0",="0",="0",="0",="0",="0",="0",="209.0791",="0",="0",="0",="0",="0"
="SSp-tr1",="0",="0",="20.8386",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr2/3",="0",="0",="197.3353",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6a",="0",="0",="964.711",="901.6253",="477.123",="644.0097",="0",="924.548",="624.5736",="310.1968",="0",="0",="643.2937",="5.7487",="0",="0",="0",="0",="0",="0",="0",="831.7597",="195.0003",="215.7296",="0",="0",="0"
="SSp-un2/3",="0",="0",="42.6458",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="0",="0",="638.836",="7034.9305",="0",="0",="819.715",="0",="6.1405",="1296.2441",="0",="2040.8795",="0",="0",="0",="0",="1170.5145",="1264.2469",="0",="0",="1122.0718",="506.5147",="0",="0",="0",="0",="0"
