 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="ENTl5",="0",="0",="0",="0",="0",="0",="5.581",="0",="0",="0",="0",="0",="0",="378.9117",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm2",="0",="0",="0",="0",="0",="0",="429.2777",="0",="0",="0",="0",="0",="213.9313",="0",="0",="0",="0",="0",="28.1444",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm3",="0",="0",="0",="0",="0",="0",="187.1632",="0",="0",="0",="85.8441",="0",="69.5596",="82.2117",="0",="0",="0",="0",="456.6093",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm5",="0",="0",="0",="0",="0",="0",="259.0176",="0",="0",="0",="166.058",="0",="0",="1501.8218",="0",="0",="0",="0",="365.8797",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor2/3",="0",="0",="0",="0",="0",="0",="189.0107",="0",="0",="0",="6121.6888",="0",="1622.2054",="494.0908",="0",="2296.3763",="0",="0",="259.8802",="0",="0",="171.681",="0",="5902.3709",="0",="327.4809",="0"
="VISpor5",="0",="0",="0",="0",="0",="0",="1018.8423",="0",="0",="0",="3337.7224",="0",="0",="1013.0127",="0",="123.9079",="0",="0",="2.9001",="0",="0",="0",="0",="455.301",="0",="0",="0"
="ORBl1",="0",="0",="0",="0",="0",="0",="89.1177",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="361.1006",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBl2/3",="0",="0",="0",="0",="0",="0",="664.3388",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="771.9346",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBm6a",="0",="0",="0",="0",="0",="0",="151.6236",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="221.7179",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBvl1",="0",="0",="0",="0",="0",="0",="7061.6751",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1133.1415",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBvl2/3",="0",="0",="0",="0",="0",="0",="8404.2542",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1592.4687",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBvl5",="0",="0",="0",="0",="0",="0",="301.7854",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1060.3968",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBvl6a",="0",="0",="0",="0",="0",="0",="124.8316",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="194.0579",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd6a",="0",="0",="0",="0",="0",="0",="1211.5105",="0",="290.0174",="939.6182",="0",="1128.4007",="22.9012",="921.285",="237.5677",="2038.1826",="113.1975",="677.8756999999999",="1256.2137",="568.7334",="1030.0692",="1468.9903",="3199.3078",="375.9796",="2223.8456",="980.0999",="1637.4539"
="PL5",="0",="0",="0",="0",="0",="0",="465.64",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="479.9099",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="PL6a",="0",="0",="0",="0",="0",="0",="265.9574",="0",="0",="0",="0",="107.7805",="0",="0",="0",="0",="0",="284.4249",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ILA6a",="0",="0",="0",="0",="0",="0",="412.8969",="0",="0",="0",="0",="459.8008",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="fi",="0",="0",="0",="0",="0",="0",="0",="4.4529",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="717.6432",="0"
="int",="0",="0",="0",="0",="0",="0",="0",="383.9968",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="113.7627",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ul6a",="0",="0",="0",="0",="0",="0",="0",="0",="28.8738",="735.2243",="0",="0",="0",="446.0034",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="0",="0",="0",="0",="0",="0",="0",="0",="91.2331",="0",="576.1747",="3687.328",="577.7981",="0",="0",="0",="674.5341",="0",="0",="517.393",="226.4676",="545.2304",="1915.4601",="572.0813",="0",="1516.6549",="0"
="RSPd6b",="0",="0",="0",="0",="0",="0",="0",="0",="100.916",="0",="0",="0",="0",="3.9826",="0",="0",="59.0999",="0",="182.8324",="0",="84.5064",="0",="280.5589",="12.7594",="255.3293",="0",="0"
="SSp-un6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="476.8439",="0",="0",="0",="281.864",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDpo5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="141.1364",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="249.5642",="22.4568",="179.0802",="699.6519",="0",="0",="0",="560.7989",="0",="0",="2438.1458",="0",="1980.4608",="47.4543",="739.2476",="0",="0",="87.9728"
="VISli4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="242.7526",="104.0773",="287.0593",="162.6285",="0",="0",="0",="634.4827",="0",="0",="535.6837",="0",="37.0314",="238.6006",="0",="0",="0",="0"
="ENTm6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="62.8649",="0",="0",="0",="0",="0",="0",="0",="212.8088",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="269.6307",="295.1474",="300.5988",="0",="0",="0",="466.1288",="0",="0",="533.2567",="0",="63.0308",="184.3235",="0",="0",="0",="0"
="VISli6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="713.4854",="0",="0",="0",="0",="65.9223",="0",="0",="0",="0",="0",="0",="0",="0",="321.0616",="325.8503",="223.7871"
="VISli6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="82.7655",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11.5948",="72.4397"
="VISpor4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1825.3003",="0",="0",="71.961",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="73.4271",="0"
="VISpor6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1032.2307",="0",="0",="0",="0",="93.9215",="0",="0",="217.3497",="0",="0",="0",="0",="0",="243.3485",="0",="0"
="VISpor6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="164.9743",="0",="0",="0",="0",="0",="0",="0",="63.0219",="0",="0",="0",="0",="0",="191.4148",="0",="0"
="TEa5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1005.2105",="0",="477.1379",="0",="0",="211.6741",="0",="0",="0",="0",="0",="439.5161",="0",="0",="0",="0",="306.71"
="TEa6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1068.458",="0",="0",="0",="0",="1358.0941",="0",="0",="0",="0",="0",="0",="0",="0",="0",="12.9981",="211.0451"
="TEa6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="588.0159",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="16.8406",="274.8101",="0"
="ACAv6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2612.9525",="0",="0",="533.3461",="341.8182",="0",="0",="0",="0",="0",="0",="190.9399",="0",="0",="0",="0"
="ILA6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="109.7187",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="442.1253",="0",="0",="27.9578",="0",="0",="0",="0",="267.9247",="0",="0",="0",="0",="0"
="VISpl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="178.1744",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="52.4094",="0",="0",="0",="0",="0",="0",="0",="0",="6.8708",="0",="0",="0"
="PL2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="45.6531",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ECT2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="828.3268",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ECT5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="198.9353",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="113.8148",="0",="231.9014",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="128.1839",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="54.8657",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="78.5009",="0",="0",="0",="0",="0",="0"
="AUDp6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="119.8853",="0",="0",="0",="512.2405",="0"
="AUDp6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="271.4324",="0",="0",="0",="206.7067",="0"
="AUDv6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="37.966",="0",="0",="0",="0",="0"
="AUDv6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="157.5112",="0",="0",="0",="0",="0"
="AUDpo6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="222.3902",="0"
="LSc",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="133.8228",="0"
="LSr",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="644.8319",="0"
="SSs1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="340.382"
="AUDd1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="164.8777"
