 ,212074_008,221450_029,221450_031,221450_036,221450_037,221477_048,221478_364,221478_812,221481_201,221481_296,221481_299,221481_576,221481_602,221714_039,221737_017,221737_018,221737_048,221751_093,221751_094,221751_095,221751_100,221759_018,221759_019,221759_022,230061_037,230061_038,230110_021,230114_004,230114_005,230114_065,230114_066,233795_056,233795_064,233795_065,233795_066,233795_078,233795_079,212074_015,221419_050,221419_051,221419_052,221419_055,221477_062,221478_848,221480_107,221481_203,221481_205,221481_206,221481_208,221481_293,221481_297,221481_578,221481_625,221481_626,230061_039,230114_008,230114_011,230114_013,230114_015,233379_044,233379_046,233379_141,221422_019,230114_010,230114_023,230114_064,221422_002,221224_022,221225_018,221424_048,221426_066,221426_085,221538_001,221538_002,221538_005,221538_028,233285_130
="VISl5",="1",="1",="0",="3",="1",="3",="11",="5",="2",="0",="5",="9",="4",="8",="19",="2",="11",="0",="0",="10",="0",="0",="0",="3",="0",="1",="1",="0",="1",="1",="0",="0",="0",="9",="0",="0",="3",="3",="0",="2",="6",="0",="0",="0",="0",="9",="1",="7",="9",="3",="0",="0",="1",="2",="0",="1",="0",="0",="1",="0",="1",="0",="0",="0",="0",="4",="5",="5",="2",="2",="3",="0",="2",="6",="6",="15",="1"
="VISl6a",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="29",="1",="3",="1",="1",="0",="0",="2",="1",="1",="1"
="VISl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="14",="33",="0",="8",="22",="0",="1",="1",="12",="0",="2",="0",="0",="11",="17",="0",="7",="2",="11",="12",="1",="0",="0",="3",="0",="0",="3",="0",="0",="1",="7",="0",="12",="4",="0",="1",="26",="3",="1",="0",="0",="3",="2",="3",="2",="9",="41",="26",="60",="20",="8",="0",="22",="27",="1",="17",="6",="3",="28",="8",="8",="26",="0",="0",="103",="62",="0",="3",="1",="0",="49",="0",="0",="0",="0",="0",="0"
="VISp2/3",="1",="34",="0",="14",="4",="1",="6",="0",="3",="2",="0",="1",="1",="3",="11",="3",="8",="0",="1",="18",="1",="0",="0",="0",="0",="0",="0",="0",="3",="1",="4",="0",="5",="1",="0",="10",="1",="0",="0",="0",="0",="0",="1",="2",="0",="1",="3",="2",="28",="0",="1",="0",="1",="1",="0",="8",="0",="0",="8",="2",="1",="0",="0",="0",="6",="12",="0",="1",="1",="0",="2",="0",="0",="0",="0",="0",="2"
="VISp4",="6",="2",="0",="0",="3",="0",="3",="0",="3",="0",="0",="0",="5",="3",="3",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="2",="1",="0",="1",="0",="1",="0",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0",="1",="1",="0",="5",="0",="0",="0",="3",="0",="0",="2",="0",="4",="3",="1",="2",="3",="0",="0",="15",="4",="0",="0",="3",="0",="3",="0",="1",="3",="2",="0",="1"
="VISp5",="7",="2",="1",="3",="3",="1",="1",="7",="0",="7",="2",="0",="1",="2",="6",="3",="9",="1",="1",="13",="2",="3",="0",="1",="0",="0",="1",="0",="1",="0",="4",="2",="0",="0",="1",="2",="11",="1",="0",="0",="0",="0",="1",="2",="0",="0",="4",="2",="6",="3",="0",="3",="2",="1",="0",="3",="3",="1",="9",="1",="0",="4",="0",="0",="13",="6",="8",="0",="19",="2",="18",="1",="7",="8",="2",="1",="0"
="VISp6a",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="2",="1",="0",="0",="1",="0",="0",="0",="0",="0",="4",="3",="1",="0",="1",="0",="1",="0",="25",="0",="4",="2",="4",="1",="2",="2",="0",="0",="1"
="VISp6b",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0"
="VISpl5",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0"
