 ,195049_023,195616_035,200199_069,200579_032,221729_037,194528_009,195047_007,195047_009,195049_033,195049_036,195051_005,195051_019,195051_025,195051_028,195199_019,195199_020,195199_046,195199_050,195199_081,195614_028,195615_012,195618_027,195620_013,195828_056,195839_015,195840_004,195840_107,196548_028,196550_026,200194_058,200194_093,200194_105,200195_005,200195_007,200195_012,200195_015,200195_016,200195_019,200195_023,200196_060,200196_088,200197_001,200197_015,200197_020,200197_026,200197_028,200197_043,200198_019,200198_024,200198_025,200198_029,200198_038,200198_043,200199_008,200199_011,200199_020,200199_023,200199_034,200199_040,200199_061,200199_067,200293_061,200321_008,200321_041,200323_006,200325_003,200579_017,201390_019,201390_022,201760_001,201760_006,220188_022,220189_035,220189_097,220191_063,220191_079,220192_035,220192_069,220192_107,220193_014,221224_143,221224_459,221224_464,221224_484,221224_493,221224_494,221225_226,221423_109,221423_140,221424_014,221424_057,221472_019,221472_021,221531_118,221531_123,221703_335,221703_349,221703_356,221703_359,221703_371,221703_379,221703_380,221703_448,221729_033,195199_039,195830_026,195831_037,200324_007,220188_071,220189_009,195047_033,195049_001,195828_052,195838_030,195839_022,200194_097,200196_041,200197_005,200198_015,201390_007,220188_054,220192_063,220193_011,220193_012,221224_144,221224_428,221224_439,221224_486,221224_496,221225_094,221225_098,221225_099,221225_100,221225_102,221225_104,221225_107,221225_108,221225_119,221225_120,221225_142,221225_148,221225_185,221225_196,221225_199,221225_200,221225_201,221225_235,221423_125,221424_002,221424_023,221531_133,221531_171
="VISp6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="1",="0",="1",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0"
="VISpm6b",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="ACAd1",="36",="17",="6",="33",="22",="15",="30",="55",="33",="52",="2",="14",="11",="25",="14",="3",="7",="7",="29",="36",="12",="13",="14",="0",="7",="0",="0",="57",="22",="0",="52",="5",="9",="6",="36",="11",="2",="6",="3",="9",="5",="37",="59",="0",="37",="37",="0",="5",="16",="2",="2",="15",="11",="15",="3",="10",="6",="54",="1",="17",="19",="74",="24",="0",="48",="3",="1",="22",="1",="66",="6",="0",="3",="0",="0",="5",="7",="2",="1",="1",="4",="5",="0",="17",="10",="2",="2",="62",="44",="18",="25",="2",="1",="5",="7",="52",="99",="47",="36",="111",="52",="81",="38",="13",="0",="0",="0",="0",="0",="0",="0",="10",="0",="16",="1",="2",="3",="10",="9",="0",="0",="2",="1",="0",="5",="11",="0",="6",="0",="7",="2",="10",="1",="8",="19",="2",="1",="2",="0",="14",="1",="0",="0",="0",="5",="6",="0",="0",="0",="6",="1",="0"
="ACAd2/3",="4",="21",="7",="16",="12",="9",="8",="7",="31",="36",="4",="3",="5",="4",="7",="0",="4",="11",="18",="16",="5",="11",="8",="1",="0",="2",="2",="15",="2",="5",="24",="1",="3",="2",="3",="2",="3",="3",="14",="18",="5",="2",="5",="1",="22",="3",="0",="1",="0",="2",="7",="7",="3",="3",="33",="0",="14",="13",="4",="0",="4",="22",="1",="0",="21",="2",="3",="3",="0",="28",="7",="0",="7",="2",="0",="3",="10",="8",="5",="0",="17",="1",="0",="6",="5",="0",="0",="18",="28",="12",="12",="0",="5",="11",="2",="26",="29",="23",="9",="46",="45",="18",="11",="22",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="1",="2",="0",="2",="1",="0",="0",="0",="0",="0",="1",="2",="3",="3",="0",="8",="2",="2",="0",="2",="3",="0",="2",="2",="0",="2",="0",="0",="0",="0",="2",="2",="0",="4",="0",="0",="0",="0"
="ACAd5",="5",="11",="1",="17",="40",="42",="34",="37",="68",="33",="19",="42",="20",="20",="29",="6",="29",="28",="22",="40",="40",="18",="50",="6",="2",="49",="37",="32",="30",="57",="54",="3",="41",="50",="21",="15",="14",="27",="29",="56",="40",="13",="6",="20",="54",="20",="10",="7",="13",="23",="16",="33",="4",="21",="87",="3",="24",="57",="16",="26",="14",="35",="14",="1",="91",="11",="16",="34",="45",="58",="47",="45",="37",="14",="10",="8",="19",="43",="4",="1",="73",="7",="4",="25",="11",="16",="3",="51",="40",="39",="22",="32",="28",="23",="7",="112",="85",="55",="24",="49",="72",="111",="29",="35",="9",="18",="20",="29",="18",="35",="16",="62",="32",="38",="51",="83",="38",="57",="59",="60",="14",="35",="34",="38",="56",="107",="53",="60",="42",="26",="63",="34",="36",="13",="38",="38",="46",="40",="4",="19",="8",="32",="20",="75",="27",="46",="7",="83",="10",="73",="18",="24"
="ACAd6a",="3",="1",="0",="1",="0",="12",="31",="27",="20",="22",="1",="6",="21",="11",="5",="5",="12",="2",="1",="3",="2",="4",="6",="14",="0",="7",="11",="9",="12",="32",="7",="0",="6",="14",="26",="6",="3",="10",="4",="25",="20",="2",="0",="7",="5",="3",="5",="6",="2",="4",="28",="1",="5",="19",="34",="0",="5",="5",="0",="2",="1",="7",="21",="1",="13",="2",="0",="13",="27",="9",="8",="6",="7",="13",="0",="12",="0",="24",="2",="3",="26",="12",="2",="7",="4",="17",="4",="13",="4",="5",="11",="15",="5",="10",="4",="30",="9",="4",="1",="3",="9",="15",="2",="3",="27",="60",="31",="13",="42",="26",="6",="13",="16",="3",="14",="2",="30",="15",="5",="24",="8",="38",="25",="14",="61",="38",="11",="12",="4",="2",="4",="7",="7",="2",="4",="6",="12",="7",="21",="1",="5",="11",="5",="42",="35",="10",="7",="21",="9",="13",="2",="31"
="ACAd6b",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="1",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv1",="12",="0",="0",="3",="6",="11",="2",="33",="3",="15",="0",="5",="14",="5",="19",="4",="9",="2",="0",="4",="0",="0",="0",="0",="0",="0",="0",="3",="5",="0",="11",="8",="2",="5",="34",="19",="2",="0",="0",="7",="3",="2",="4",="2",="3",="10",="0",="1",="2",="4",="0",="10",="0",="5",="0",="1",="7",="23",="0",="23",="6",="0",="7",="0",="26",="0",="0",="37",="0",="1",="1",="0",="0",="0",="0",="4",="0",="5",="0",="1",="0",="6",="0",="15",="1",="0",="0",="1",="3",="0",="4",="2",="0",="10",="8",="0",="0",="3",="1",="0",="6",="54",="9",="5",="0",="0",="0",="0",="0",="0",="5",="3",="3",="2",="7",="27",="3",="5",="3",="3",="0",="0",="0",="0",="3",="5",="0",="0",="0",="0",="6",="9",="4",="0",="3",="0",="0",="4",="0",="1",="0",="0",="1",="0",="1",="1",="0",="0",="0",="6",="0",="0"
="ACAv5",="1",="0",="0",="0",="2",="6",="0",="14",="0",="6",="0",="1",="1",="0",="7",="6",="11",="11",="0",="0",="1",="0",="2",="0",="1",="0",="8",="1",="4",="10",="4",="0",="4",="19",="3",="5",="7",="1",="2",="8",="4",="1",="1",="6",="0",="2",="0",="2",="0",="8",="4",="10",="0",="1",="22",="0",="8",="3",="0",="8",="0",="0",="5",="0",="12",="0",="0",="7",="3",="0",="4",="9",="0",="4",="4",="6",="0",="14",="0",="4",="0",="2",="0",="4",="0",="0",="0",="0",="0",="0",="0",="11",="0",="3",="1",="0",="0",="1",="0",="0",="0",="14",="3",="4",="16",="3",="3",="6",="5",="0",="7",="6",="42",="6",="20",="14",="3",="0",="7",="4",="0",="3",="8",="3",="0",="42",="15",="0",="0",="13",="3",="38",="17",="4",="24",="8",="0",="12",="0",="10",="0",="2",="2",="9",="5",="2",="0",="7",="1",="4",="1",="1"
="ACAv6a",="0",="0",="0",="2",="0",="2",="2",="9",="1",="6",="0",="3",="3",="2",="7",="0",="7",="7",="0",="0",="0",="0",="4",="6",="1",="0",="8",="0",="5",="3",="8",="0",="0",="12",="2",="3",="8",="0",="2",="3",="1",="0",="1",="0",="1",="1",="0",="2",="0",="5",="0",="0",="3",="2",="12",="2",="1",="3",="0",="3",="0",="0",="8",="0",="0",="0",="0",="3",="21",="0",="0",="4",="0",="1",="0",="3",="0",="2",="0",="2",="0",="1",="1",="1",="1",="0",="0",="1",="0",="1",="1",="7",="0",="5",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="12",="10",="3",="3",="4",="4",="1",="0",="2",="3",="12",="0",="10",="0",="1",="11",="0",="6",="1",="3",="1",="8",="1",="0",="0",="2",="0",="11",="6",="0",="4",="0",="0",="1",="0",="0",="0",="0",="2",="11",="10",="0",="1",="3",="3",="15",="1",="1"
