 ,221057_099,221057_123,221057_131,221057_133,221057_135,221057_137,221057_150,221057_160,221057_167,221481_257,221481_258,221701_039,221701_041,221701_047,221701_060,221701_061,221702_003,221733_181,230066_079,230066_083,230066_084,230066_087,230066_121,230066_124,231685_259,233285_119,233380_037,233666_171,233668_056,233668_059,233668_061,233668_062,233668_063,233668_065,233668_072,233668_073,233668_099,233668_101,233795_008,233795_009,233795_011,233795_012,233795_013,233795_087,233795_090,233795_097,233795_098,233795_100,233795_102,221090_098,221091_154,221417_018,221417_019,221417_043,221418_139,221478_326,221479_163,221479_166,221480_100,221481_254,231685_243,231685_255,231685_273,231685_274,231685_286,233379_029,233379_031,233379_036,233379_040,233379_109,233379_130,233380_093,233666_139,233666_190,233666_204,221090_092,221090_093,221090_094,221090_099,221091_125,221091_158,221417_017,221418_132,221418_137,221418_138,221477_058,221477_059,221479_236,231687_014,233379_123,233666_201,233667_154,233667_217,233667_242,233667_256,233667_257,233667_267,233667_269,233667_289,221065_081,221065_082,221091_171,231687_027,231687_028,233667_270,221365_065,231687_023,233666_161,233666_182,233666_183,233666_193,233666_196,233666_197,233666_202,233666_203,233667_132,233667_165,233667_259,233667_264,233667_272,233667_279,221065_083,221065_084,233667_261
="VISrl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="347.3035",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="178.0299",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="453.5952",="64.7547",="0",="0",="0",="0",="474.6237",="493.461",="0",="0",="19.4359",="605.9195",="52.789",="0",="0",="0",="478.7933",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="649.8537",="370.6434",="1009.4670000000001",="1488.8183",="585.9696",="0",="0",="0",="279.6699",="266.0069",="939.1195",="354.6443",="0",="133.4392",="0",="111.0928",="0",="0",="0",="0",="0",="0",="0",="0",="0",="635.5514",="0",="21.4466",="0",="0",="175.3405",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="169.7953",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="389.4275",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2519.9817",="0",="116.2095",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1385.9667",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2892.4477",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="238.7725",="481.238",="0",="0",="0",="0",="0",="0",="0",="0",="498.9829",="782.5873",="0",="119.7766",="237.6098",="2097.3531",="14.121",="1492.4625",="747.4758",="0",="0",="0",="0",="531.2216",="0",="0",="0",="0",="0",="223.0005",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="208.0576",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="299.5591",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="620.404",="0",="923.7452",="256.6438",="168.137",="0",="230.2602",="817.0382",="151.6715",="0",="0",="329.7859",="0",="0",="0",="0",="166.1138",="0",="258.4504",="0",="0",="594.725",="0",="0",="0",="0",="0",="0"
="ec",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="379.3876",="117.4035",="0",="0",="0",="0",="0",="0",="427.9536",="0",="42.0877",="1693.0584",="407.3702",="333.3419",="558.3903",="1100.4449",="936.2017",="1511.4316",="980.3849",="0",="0",="0",="0",="0",="551.5897",="0",="0",="0",="0",="106.5941",="0",="0",="162.3195",="0",="0",="0",="0",="0",="0",="0",="0",="27.9535",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4.2548",="100.3814",="0",="0",="0",="0",="0",="105.0463",="0",="0",="0",="100.197",="0",="0",="0",="261.7082",="115.5904",="0",="0",="0",="1118.1482",="0",="2938.8242",="1070.989",="1521.3431",="3652.7444",="91.6553",="508.5032",="0",="425.0034",="0",="133.9501",="2839.7637",="651.1516",="0",="0",="538.1214",="0",="0",="0",="0",="68.2638",="0",="0",="0",="0",="563.4284",="357.8039",="660.0995",="387.8978",="283.6816",="15.2507",="258.4311"
="ENTl1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="88.5338",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="353.7675",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1447.8477",="0",="0",="203.612",="0",="0",="467.3843",="22.3896",="0",="0",="0",="0",="247.3043",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="62.8649",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="212.8088",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="34.0001",="0",="0",="0",="0",="0",="834.6631",="1136.2146",="311.3805",="0",="0",="581.9371",="0",="0",="0",="0",="0",="0",="0",="0",="0",="597.5118",="0",="0",="0",="0",="0",="0"
="VISam6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="89.5279",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="51.1215",="0",="0",="0",="0",="0",="0",="0",="0",="13.846",="0",="0",="0",="0",="0",="0",="0",="166.4079",="92.2592",="0",="0",="11.9072",="0",="0",="0",="0",="161.8743",="0",="0",="32.3267",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="64.8883",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="PERI2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="251.6174",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="477.1423",="601.3738",="904.256",="419.2882",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14.3175",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="PERI5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1152.9193",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="202.9962",="679.2443",="0",="445.9888",="58.9013",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="162.732",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="374.6898",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="PERI6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="32.6172",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="145.2502",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ECT5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5.9882",="0",="0",="313.7768",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="28.032",="0",="379.793",="576.7391",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="198.9353",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3.074",="0",="0",="0",="0",="0",="0",="370.0105",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="242.6954",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="124.3634",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1704.3385",="0",="0",="0",="0",="1152.9722",="0",="0",="0",="1186.0893",="0",="0",="0",="0",="0",="0",="1401.855",="0",="3331.7356",="1166.323",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="491.2047",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1344.435",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="915.9906",="0",="0",="0",="0",="0",="0",="0",="0",="1493.9829",="0",="0",="0",="0",="0",="0",="488.0184",="0",="67.8977",="774.684",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
