 ,220239_105,221057_053,221057_056,221057_073,221364_007,221364_009,221364_022,221364_023,221364_029,221364_032,221364_034,221364_035,221364_037,221364_039,221364_040,221364_041,221364_049,221364_050,221364_063,221364_064,221364_065,221364_073,221364_074,221364_076,221364_077,221364_115,221364_116,221364_117,221364_119,221365_029,221365_083,221365_099,221416_021,221703_179,221703_216,221703_223,221703_224,221719_051,221728_166,221728_167,221728_169,221728_172,221728_175,221728_177,230011_181,230011_184,230011_185,230011_188,230011_189,230011_190,230011_193,230011_194,230011_203,230113_008,233795_113,233795_114,233795_115,233795_116,233795_117,233795_119,233795_120,233795_122,233795_123,233795_129,221089_022,221089_024,221089_038,221089_039,221089_130,221089_131,221089_132,221089_133,221090_105,221364_072,221365_084,221478_204,221478_212,221478_215,221479_143,221479_148,221703_171,221703_173,221703_176,221719_053,221719_055,220191_016,220239_017,221089_026,221089_129,221416_014,221416_016,221416_020,221474_208,221475_266,221476_040,221476_054,221476_060,221476_079,221476_081,221476_095,221476_101,221478_205,221479_147,220191_014,221475_222,221476_055,221476_078,221365_038,221365_064,221367_114,221367_129,221476_037,221476_039,221478_229,221511_042,233285_043,233285_096,233795_121,233282_055,233285_042
="VISam6a",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="4",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="1",="1",="2",="1",="0",="1",="4",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="7",="7",="13",="6",="0",="0",="0",="0",="1",="0",="1",="3",="1",="0",="0",="0",="0"
="VISam6b",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp6a",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="1",="0",="12",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="0",="1",="3",="1",="0",="0",="0",="0",="0",="1",="1",="1",="0",="12",="0",="0",="0",="3",="7",="2",="0",="0",="1",="1",="4",="0",="0",="3",="0",="0",="0",="6",="1",="5",="2",="1",="0",="2",="0",="2",="0",="0",="0",="4",="5",="0",="0",="0"
="VISp6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm6a",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="8",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl5",="5",="4",="0",="0",="4",="6",="6",="0",="2",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="5",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0",="0",="0",="2",="0",="1",="0",="0",="0",="3",="0",="10",="0",="3",="6",="4",="0",="6",="1",="9",="4",="1",="3",="0",="0",="0",="0",="10",="6",="0",="0",="20",="7",="0",="7",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0"
="RSPagl6a",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="2",="0",="1",="13",="0",="0",="3",="3",="4",="0",="0",="0",="0",="0",="0",="7",="3",="8",="0",="0",="1",="8",="7",="2",="19",="0",="0",="0",="0",="1",="0",="0",="2",="0",="1",="0",="0",="0"
="RSPagl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa1",="7",="28",="13",="7",="2",="2",="11",="2",="3",="7",="9",="10",="1",="5",="6",="1",="3",="0",="17",="9",="5",="1",="0",="6",="8",="6",="2",="9",="2",="9",="7",="1",="2",="3",="1",="18",="13",="15",="32",="31",="10",="4",="24",="44",="1",="5",="0",="12",="29",="13",="12",="5",="2",="4",="14",="16",="20",="35",="16",="22",="27",="11",="3",="15",="0",="0",="1",="0",="6",="7",="4",="3",="4",="7",="0",="38",="10",="23",="32",="1",="21",="8",="19",="8",="25",="0",="0",="1",="0",="10",="4",="25",="9",="8",="12",="18",="2",="18",="7",="23",="14",="34",="0",="0",="0",="0",="0",="0",="0",="5",="0",="3",="0",="0",="0",="1",="6",="1",="0",="0"
="VISa2/3",="9",="26",="16",="16",="22",="6",="17",="15",="15",="11",="10",="34",="15",="8",="3",="15",="20",="4",="22",="24",="7",="8",="10",="7",="6",="44",="19",="14",="10",="18",="12",="15",="219",="12",="4",="9",="14",="9",="28",="11",="7",="12",="9",="36",="5",="16",="8",="10",="20",="14",="16",="8",="14",="6",="7",="18",="16",="14",="14",="12",="12",="10",="10",="30",="0",="0",="0",="1",="0",="4",="3",="10",="0",="29",="2",="32",="5",="5",="8",="14",="18",="1",="7",="11",="7",="0",="2",="2",="0",="25",="5",="8",="19",="25",="22",="25",="14",="2",="5",="6",="17",="43",="22",="0",="0",="0",="2",="0",="1",="2",="0",="0",="0",="0",="7",="2",="0",="1",="0",="0"
="VISa4",="7",="8",="7",="6",="2",="0",="3",="4",="10",="2",="9",="9",="3",="5",="3",="12",="6",="5",="6",="14",="2",="2",="1",="1",="3",="11",="3",="7",="2",="4",="1",="6",="48",="7",="6",="3",="6",="6",="2",="3",="0",="4",="6",="7",="10",="5",="0",="13",="17",="14",="7",="8",="6",="6",="3",="7",="5",="4",="12",="4",="13",="2",="3",="3",="1",="13",="2",="2",="1",="0",="1",="1",="7",="6",="1",="48",="15",="9",="22",="8",="13",="8",="6",="9",="17",="0",="2",="1",="0",="2",="1",="3",="8",="21",="10",="13",="7",="8",="4",="10",="2",="10",="4",="2",="0",="0",="4",="0",="0",="10",="6",="1",="0",="4",="6",="3",="2",="1",="6",="6"
="VISa5",="0",="8",="16",="8",="6",="4",="11",="5",="7",="16",="4",="22",="13",="3",="11",="19",="3",="5",="19",="18",="5",="16",="13",="4",="3",="12",="20",="14",="8",="10",="12",="4",="51",="5",="18",="7",="7",="23",="15",="17",="4",="7",="14",="20",="9",="9",="0",="3",="15",="11",="3",="6",="1",="7",="7",="15",="18",="6",="11",="13",="29",="9",="15",="17",="0",="12",="6",="1",="1",="4",="2",="5",="2",="8",="2",="32",="10",="6",="19",="17",="15",="28",="16",="4",="9",="6",="3",="7",="1",="30",="3",="6",="22",="14",="12",="34",="15",="8",="12",="21",="24",="18",="20",="29",="16",="41",="31",="8",="3",="12",="23",="73",="18",="12",="49",="13",="23",="23",="4",="4"
