 ,220191_031,220191_053,220191_066,221057_035,221057_045,221367_022,221367_033,221367_037,221367_039,221367_040,221367_041,221367_045,221367_048,221367_052,221367_053,221427_302,221530_020,221737_125,221739_015,221754_038,230066_112,230111_018,230111_021,230111_023,230112_004,230112_005,231567_003,231567_004,231567_008,233379_006,233379_021,233379_062,233379_063,233380_012,233380_047,233380_057,233380_059,233380_060,233380_071,233380_077,233380_082,233380_088,233666_069,233667_145,220191_082,220191_087,220191_092,221367_019,221367_020,221367_050,221367_054,221368_031,221368_035,221512_035,221525_022,230108_009,233379_026,233379_028,233379_067,233379_070,233379_082,233379_083,233380_011,233380_051,233380_065,233666_088,233667_017,233667_019,233667_034,233667_035,233667_040,233667_042,233282_092,233379_025,233379_027,233379_085,220191_020,220191_030,221227_091,221227_108,221227_227,221367_031,221367_038,221367_042,221367_043,221367_047,221367_049,221368_016,221368_017,221368_022,221368_029,221368_030,221368_034,221368_036,221368_038,221512_055,221734_024,221734_032,221734_035,221735_054,221735_059,221735_061,221736_040,230080_193,230080_215,230080_222,230107_069,230111_009,230111_022,231567_002,231568_001,233282_008,233282_011,233379_071,233379_077,233380_031,233666_075,233666_087,233666_104,233666_116,233666_233,233666_260,233667_009,233667_018,233667_022,233667_024,233667_026,233667_029,233667_031,233667_032,233667_037,233667_122,233667_143,233667_144,233667_147,233667_148,233667_149,233667_150,233667_152,233667_302,233667_304,233667_305,212073_007
="RSPd2/3",="29",="4",="0",="7",="1",="3",="13",="1",="3",="6",="0",="4",="0",="7",="6",="18",="4",="25",="10",="14",="2",="14",="0",="0",="0",="0",="11",="18",="10",="22",="13",="15",="66",="1",="12",="0",="11",="30",="1",="5",="0",="1",="11",="0",="3",="3",="10",="7",="4",="9",="0",="6",="0",="4",="8",="2",="30",="0",="46",="2",="1",="12",="3",="2",="0",="32",="0",="8",="9",="2",="8",="5",="2",="4",="2",="0",="3",="8",="7",="0",="3",="4",="7",="16",="0",="7",="15",="9",="5",="3",="29",="4",="4",="0",="9",="0",="0",="4",="2",="0",="1",="1",="0",="1",="7",="2",="0",="2",="0",="8",="0",="3",="0",="25",="7",="0",="6",="1",="0",="8",="0",="0",="8",="2",="0",="0",="0",="10",="0",="0",="3",="3",="0",="0",="1",="1",="0",="1",="0",="0",="0",="0",="26"
="RSPd5",="16",="2",="1",="5",="4",="1",="1",="5",="4",="1",="1",="9",="0",="12",="2",="6",="5",="12",="0",="19",="8",="8",="0",="1",="0",="0",="0",="5",="32",="8",="7",="4",="16",="5",="9",="2",="26",="9",="0",="8",="0",="1",="13",="0",="2",="9",="13",="1",="4",="9",="2",="10",="0",="5",="2",="2",="15",="0",="11",="1",="0",="2",="19",="0",="0",="26",="0",="1",="2",="1",="2",="3",="3",="21",="5",="34",="5",="8",="24",="13",="2",="11",="6",="6",="4",="11",="28",="21",="10",="14",="36",="8",="2",="22",="10",="2",="15",="19",="10",="0",="18",="5",="1",="5",="4",="4",="1",="17",="0",="17",="0",="11",="0",="12",="16",="0",="1",="2",="1",="23",="1",="1",="1",="2",="0",="0",="2",="12",="1",="4",="7",="2",="2",="0",="2",="1",="1",="6",="4",="3",="5",="1",="14"
="RSPd6a",="6",="1",="1",="0",="1",="2",="0",="1",="0",="0",="1",="0",="0",="5",="0",="7",="2",="6",="0",="4",="2",="2",="1",="1",="0",="0",="2",="1",="1",="1",="0",="3",="6",="0",="0",="0",="8",="1",="0",="1",="0",="1",="0",="2",="16",="6",="17",="0",="3",="4",="0",="0",="0",="0",="0",="0",="1",="1",="2",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="1",="0",="10",="5",="3",="2",="5",="0",="2",="7",="13",="1",="1",="3",="5",="3",="3",="15",="8",="9",="16",="4",="4",="4",="1",="0",="8",="18",="2",="9",="5",="3",="2",="0",="4",="2",="0",="2",="0",="14",="0",="9",="0",="4",="3",="1",="0",="0",="6",="3",="5",="2",="3",="3",="1",="0",="0",="3",="5",="0",="3",="0",="0",="0",="4",="1",="4",="2",="1",="0",="2",="0",="6"
="RSPd6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv1",="19",="181",="3",="69",="7",="1",="100",="20",="22",="15",="1",="2",="14",="19",="2",="19",="150",="28",="109",="9",="3",="0",="3",="1",="4",="30",="28",="27",="66",="67",="0",="31",="20",="66",="32",="69",="6",="6",="12",="17",="1",="1",="39",="5",="24",="3",="12",="69",="29",="14",="0",="6",="7",="109",="63",="65",="1",="1",="43",="0",="0",="7",="55",="17",="26",="1",="78",="48",="1",="9",="34",="70",="11",="49",="0",="16",="22",="57",="79",="1",="1",="4",="2",="15",="0",="8",="2",="2",="1",="0",="10",="1",="1",="3",="0",="23",="9",="8",="7",="4",="42",="23",="9",="8",="9",="9",="39",="1",="4",="41",="63",="11",="15",="0",="8",="16",="50",="5",="0",="2",="1",="1",="0",="2",="0",="1",="2",="6",="0",="2",="2",="5",="0",="0",="1",="0",="3",="2",="2",="4",="0",="2",="3"
="RSPv2/3",="32",="81",="3",="35",="4",="7",="41",="7",="6",="3",="2",="10",="3",="41",="4",="28",="39",="18",="39",="21",="11",="2",="8",="2",="3",="16",="46",="47",="61",="45",="3",="13",="36",="36",="33",="31",="35",="48",="7",="27",="4",="8",="15",="11",="1",="22",="22",="36",="5",="1",="0",="3",="9",="29",="11",="14",="6",="2",="34",="3",="1",="2",="7",="1",="8",="1",="30",="13",="2",="1",="18",="28",="16",="13",="0",="11",="4",="9",="23",="1",="1",="4",="0",="8",="0",="6",="2",="6",="1",="0",="28",="2",="3",="3",="0",="8",="3",="9",="0",="1",="24",="7",="3",="6",="23",="8",="15",="4",="2",="9",="44",="6",="13",="1",="1",="9",="24",="20",="0",="1",="0",="3",="14",="1",="0",="6",="0",="7",="0",="7",="2",="13",="1",="3",="0",="0",="5",="3",="2",="2",="1",="4",="5"
="RSPv5",="24",="16",="2",="60",="12",="1",="20",="17",="9",="8",="10",="21",="4",="25",="10",="26",="37",="11",="29",="8",="6",="8",="6",="7",="3",="4",="18",="29",="29",="24",="4",="20",="13",="24",="9",="38",="26",="12",="6",="24",="6",="3",="36",="8",="4",="31",="67",="35",="14",="1",="10",="14",="32",="46",="43",="50",="33",="12",="42",="8",="8",="10",="43",="3",="16",="33",="32",="25",="3",="17",="42",="87",="21",="19",="0",="24",="39",="39",="113",="11",="5",="21",="6",="22",="17",="14",="9",="42",="10",="26",="76",="50",="38",="18",="4",="70",="89",="36",="20",="18",="61",="56",="32",="60",="40",="35",="51",="11",="12",="59",="94",="12",="39",="10",="27",="97",="104",="58",="27",="8",="9",="26",="23",="26",="6",="48",="65",="30",="18",="35",="26",="10",="2",="7",="3",="2",="17",="11",="5",="12",="14",="39",="45"
="RSPv6a",="10",="1",="0",="1",="2",="2",="0",="1",="0",="0",="1",="6",="0",="6",="3",="2",="0",="2",="0",="1",="0",="0",="2",="1",="1",="0",="1",="0",="0",="0",="1",="0",="5",="1",="0",="0",="6",="1",="0",="0",="0",="3",="10",="4",="10",="11",="26",="0",="1",="1",="4",="2",="4",="2",="0",="6",="8",="1",="2",="0",="1",="4",="0",="1",="0",="0",="2",="0",="0",="4",="4",="13",="19",="15",="3",="20",="1",="6",="4",="4",="5",="8",="0",="5",="9",="13",="11",="4",="15",="20",="12",="33",="1",="15",="9",="7",="26",="10",="8",="7",="3",="10",="6",="4",="7",="2",="2",="4",="0",="14",="1",="6",="2",="7",="0",="2",="4",="4",="17",="9",="2",="14",="3",="7",="3",="9",="2",="4",="0",="12",="6",="0",="1",="3",="0",="0",="6",="1",="0",="2",="4",="0",="12"
="RSPv6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="1",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="dhc",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="4",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0"
