 ,221057_071,221057_098,221057_099,221057_102,221057_103,221057_120,221057_123,221057_130,221057_131,221057_135,221057_137,221057_150,221057_151,221057_153,221057_155,221057_167,221364_083,221364_087,221481_256,221481_257,221481_258,221481_522,221481_524,221701_041,221701_047,221701_052,221701_055,221701_060,221727_015,230011_174,230011_175,230066_079,230066_126,231570_012,231685_259,231685_281,233285_119,233379_133,233380_037,233668_057,233668_059,233668_061,233668_062,233668_063,233668_064,233668_065,233668_071,233668_073,233668_075,233668_080,233668_095,233668_099,233668_101,233668_102,233668_170,233795_002,233795_003,233795_008,233795_009,233795_011,233795_012,233795_013,233795_085,233795_087,233795_088,233795_089,233795_090,233795_092,233795_093,233795_094,233795_095,233795_097,233795_098,233795_102,221090_095,221091_154,221417_015,221417_019,221417_043,221418_129,221478_326,221479_166,221480_100,221481_254,221702_004,231685_243,231685_274,231685_286,231686_057,233379_029,233379_031,233379_036,233379_097,233379_130,233380_036,233666_139,233666_190,233666_200,233666_204,233666_218,221090_092,221090_094,221090_099,221091_125,221091_158,221417_017,221418_127,221418_135,221418_137,221477_058,221477_059,221479_185,221479_236,221481_137,221515_017,231687_014,233379_123,233666_201,233667_154,233667_217,233667_256,233667_257,233667_269,233667_289,233667_297,221065_081,221065_082,231687_027,233284_183,233667_270,221225_016,221365_067,233666_161,233666_182,233666_196,233666_198,233666_203,233666_225,233667_165,233667_178,233667_259,233667_272,221065_086,233667_261
="VISl4",="1",="0",="0",="4",="2",="3",="1",="9",="7",="0",="2",="6",="2",="8",="4",="0",="0",="0",="3",="1",="1",="3",="14",="5",="0",="24",="1",="0",="0",="0",="0",="1",="5",="0",="6",="0",="6",="2",="1",="0",="0",="0",="0",="3",="1",="0",="0",="0",="1",="0",="0",="1",="0",="6",="0",="1",="0",="2",="0",="1",="0",="2",="4",="4",="5",="3",="4",="10",="1",="1",="3",="1",="0",="8",="0",="0",="2",="0",="0",="0",="2",="3",="3",="4",="0",="1",="1",="0",="0",="0",="0",="0",="0",="3",="1",="9",="1",="4",="1",="3",="0",="0",="0",="0",="0",="1",="0",="2",="2",="0",="0",="1",="0",="2",="19",="0",="0",="5",="0",="0",="5",="5",="7",="8",="0",="2",="8",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="VISl5",="1",="0",="0",="5",="5",="5",="4",="6",="10",="4",="2",="6",="3",="6",="6",="0",="0",="0",="4",="1",="0",="2",="8",="12",="1",="14",="10",="0",="5",="0",="0",="1",="1",="0",="11",="2",="1",="0",="3",="0",="4",="1",="1",="10",="6",="1",="4",="2",="33",="1",="2",="1",="0",="3",="2",="0",="4",="0",="5",="0",="2",="3",="3",="2",="1",="7",="5",="0",="3",="8",="6",="1",="1",="8",="0",="0",="0",="0",="0",="1",="2",="0",="1",="10",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="4",="1",="1",="0",="5",="0",="0",="0",="0",="0",="1",="1",="0",="1",="1",="0",="4",="0",="0",="4",="0",="0",="2",="0",="0",="3",="10",="6",="16",="4",="3",="6",="7",="0",="2",="10",="1",="1",="8",="7",="2",="0",="0",="0",="1",="1",="0",="1",="3"
="VISp1",="21",="17",="19",="9",="1",="8",="2",="15",="15",="12",="15",="14",="32",="18",="6",="8",="4",="22",="16",="19",="43",="18",="32",="18",="16",="22",="20",="28",="13",="24",="32",="14",="26",="5",="8",="4",="38",="15",="60",="6",="11",="6",="10",="19",="3",="7",="12",="5",="32",="35",="1",="0",="13",="23",="10",="15",="9",="18",="37",="31",="31",="22",="20",="14",="45",="15",="8",="32",="32",="20",="26",="21",="21",="24",="19",="8",="104",="28",="47",="11",="24",="11",="49",="105",="7",="0",="119",="7",="1",="82",="89",="38",="18",="34",="67",="36",="58",="46",="35",="24",="40",="20",="74",="16",="0",="78",="3",="9",="5",="40",="16",="38",="165",="113",="33",="79",="22",="71",="5",="20",="53",="50",="41",="41",="38",="362",="74",="0",="54",="12",="0",="0",="3",="3",="11",="3",="13",="4",="1",="5",="6",="3",="0",="5"
="VISp2/3",="17",="44",="20",="25",="16",="9",="2",="56",="36",="9",="5",="10",="73",="26",="26",="35",="25",="19",="21",="59",="52",="92",="58",="40",="27",="73",="19",="52",="19",="7",="4",="8",="36",="14",="56",="39",="39",="19",="20",="7",="7",="7",="9",="17",="2",="1",="6",="4",="11",="38",="7",="1",="15",="70",="23",="39",="18",="25",="19",="10",="12",="5",="34",="54",="23",="41",="29",="55",="62",="28",="31",="27",="2",="22",="2",="3",="21",="41",="40",="10",="57",="68",="10",="61",="3",="0",="18",="0",="0",="10",="32",="4",="5",="20",="6",="19",="58",="47",="33",="6",="19",="4",="18",="13",="3",="54",="1",="3",="4",="6",="10",="3",="21",="60",="29",="13",="6",="6",="2",="5",="8",="28",="4",="5",="48",="52",="198",="1",="2",="4",="2",="0",="5",="5",="0",="0",="2",="2",="0",="0",="1",="0",="19",="0"
="VISp4",="9",="4",="23",="11",="10",="11",="1",="8",="27",="0",="13",="9",="19",="36",="8",="1",="5",="8",="4",="3",="15",="10",="19",="18",="17",="51",="15",="10",="3",="10",="8",="2",="9",="8",="8",="8",="11",="9",="8",="2",="0",="0",="1",="3",="1",="0",="8",="0",="3",="5",="1",="0",="6",="8",="17",="10",="3",="7",="4",="0",="0",="6",="11",="6",="7",="8",="9",="11",="10",="4",="3",="16",="24",="6",="19",="2",="31",="22",="4",="5",="10",="37",="31",="20",="6",="10",="33",="6",="3",="46",="14",="7",="11",="63",="40",="12",="44",="20",="22",="18",="13",="10",="35",="12",="4",="11",="1",="3",="6",="8",="22",="10",="56",="17",="21",="31",="17",="5",="6",="0",="2",="3",="3",="0",="2",="126",="99",="14",="2",="3",="11",="0",="13",="0",="2",="1",="5",="6",="0",="6",="0",="12",="24",="1"
="VISp5",="10",="17",="14",="7",="11",="6",="5",="13",="14",="1",="10",="1",="21",="17",="7",="4",="5",="16",="8",="2",="10",="25",="26",="23",="6",="15",="7",="16",="5",="9",="19",="3",="20",="19",="33",="9",="8",="8",="9",="8",="8",="5",="4",="5",="7",="4",="24",="1",="24",="39",="0",="0",="11",="6",="42",="27",="5",="11",="12",="5",="2",="16",="39",="11",="24",="9",="20",="44",="14",="15",="19",="15",="18",="23",="16",="12",="11",="4",="5",="9",="3",="7",="25",="32",="6",="8",="8",="10",="0",="3",="0",="1",="1",="17",="2",="13",="17",="12",="21",="15",="28",="14",="51",="26",="5",="11",="14",="21",="26",="10",="13",="9",="79",="48",="19",="33",="12",="15",="44",="6",="8",="17",="12",="3",="11",="192",="24",="23",="2",="34",="38",="2",="37",="62",="36",="35",="20",="37",="19",="34",="7",="20",="59",="7"
="VISp6a",="0",="0",="2",="0",="2",="0",="0",="1",="1",="0",="1",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="1",="0",="1",="1",="1",="0",="0",="0",="1",="0",="0",="1",="0",="4",="3",="0",="1",="0",="1",="0",="1",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="1",="2",="0",="3",="0",="1",="0",="0",="0",="0",="1",="0",="0",="2",="4",="0",="1",="4",="0",="0",="0",="1",="1",="2",="0",="0",="1",="0",="1",="0",="5",="5",="6",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="3",="0",="2",="1",="0",="1",="0",="1",="2",="3",="0",="1",="0",="0",="5",="3",="1",="2",="36",="1",="1",="9",="2",="1",="1",="198",="25",="29",="6",="26",="0",="3",="12",="0",="5",="0",="6",="16",="3",="3",="4",="4",="44",="1"
="VISp6b",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="55",="2",="4",="4",="3",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="1",="0"
="VISpm1",="8",="3",="2",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="11",="0",="12",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="2",="0",="14",="0",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="2",="0",="0",="1",="0",="0",="27",="3",="1",="0",="0",="0",="4",="18",="12",="0",="3",="0",="0",="0",="0",="0",="2",="3",="14",="0",="0",="3",="4",="0",="0",="1",="5",="35",="0",="3",="7",="1",="4",="6",="1",="1",="0",="0",="1",="0",="0",="0",="0",="15",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm2/3",="8",="14",="0",="4",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="3",="1",="20",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="3",="2",="22",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="3",="0",="0",="0",="0",="0",="20",="0",="5",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="3",="7",="16",="0",="0",="2",="0",="0",="0",="2",="3",="2",="0",="7",="5",="3",="3",="0",="1",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
