 ,221057_071,221057_098,221057_099,221057_102,221057_103,221057_120,221057_123,221057_130,221057_131,221057_135,221057_137,221057_150,221057_151,221057_153,221057_155,221057_167,221364_083,221364_087,221481_256,221481_257,221481_258,221481_522,221481_524,221701_041,221701_047,221701_052,221701_055,221701_060,221727_015,230011_174,230011_175,230066_079,230066_126,231570_012,231685_259,231685_281,233285_119,233379_133,233380_037,233668_057,233668_059,233668_061,233668_062,233668_063,233668_064,233668_065,233668_071,233668_073,233668_075,233668_080,233668_095,233668_099,233668_101,233668_102,233668_170,233795_002,233795_003,233795_008,233795_009,233795_011,233795_012,233795_013,233795_085,233795_087,233795_088,233795_089,233795_090,233795_092,233795_093,233795_094,233795_095,233795_097,233795_098,233795_102,221090_095,221091_154,221417_015,221417_019,221417_043,221418_129,221478_326,221479_166,221480_100,221481_254,221702_004,231685_243,231685_274,231685_286,231686_057,233379_029,233379_031,233379_036,233379_097,233379_130,233380_036,233666_139,233666_190,233666_200,233666_204,233666_218,221090_092,221090_094,221090_099,221091_125,221091_158,221417_017,221418_127,221418_135,221418_137,221477_058,221477_059,221479_185,221479_236,221481_137,221515_017,231687_014,233379_123,233666_201,233667_154,233667_217,233667_256,233667_257,233667_269,233667_289,233667_297,221065_081,221065_082,231687_027,233284_183,233667_270,221225_016,221365_067,233666_161,233666_182,233666_196,233666_198,233666_203,233666_225,233667_165,233667_178,233667_259,233667_272,221065_086,233667_261
="SSp-bfd4",="117.7785",="873.0007",="0",="0",="0",="0",="0",="204.8046",="0",="0",="0",="0",="0",="0",="0",="0",="1330.3552",="0",="2376.9235",="0",="0",="323.3491",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="34.8264",="0",="0",="1044.4771",="0",="0",="4869.9768",="0",="0",="0",="0",="72.4752",="0",="0",="0",="0",="1193.55",="0",="0",="887.5177",="0",="0",="386.0962",="0",="0",="34.2339",="0",="642.3887",="6.9989",="0",="533.6039",="0",="0",="0",="0",="22.8806",="0",="0",="0",="0",="0",="0",="505.0408",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="366.0031",="0",="0",="0",="0",="0",="0",="715.336",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="325.2816",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="342.1044",="1448.5875",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="800.8349",="0",="3833.7177",="0",="0",="1189.964",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="292.1588",="0",="0",="0",="0",="0",="0",="0",="0",="150.8166",="0",="0",="1406.8168",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3170.317",="0",="0",="1060.337",="0",="0",="48.1342",="0",="0",="357.3241",="0",="0",="1526.094",="0",="0",="0",="0",="729.3259",="0",="158.7127",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="279.5046",="0",="0",="0",="0",="0",="0",="73.5286",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.1191",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="758.7197",="0",="0",="299.8808",="36.7242",="0",="0",="0",="0",="0",="0",="742.5082",="0",="0",="0",="0",="13.7926",="493.3598",="83.2197",="0",="0",="1201.9145",="0",="0",="0",="43.1261",="0",="0",="0",="0",="256.8324",="0",="736.4667",="875.4984",="176.5093",="0",="280.7635",="625.2901",="696.4887",="0",="0",="135.8534",="0",="0",="1696.2967",="0",="0",="0",="0",="242.5718",="0",="0",="0",="0",="369.7814",="0",="265.2507",="0",="381.2616",="0",="368.8919",="0",="117.9887",="134.0619",="0",="0",="435.9834",="0",="446.4245",="542.4193",="49.5849",="0",="0",="71.5947",="1068.6677",="2205.2524",="228.23309999999998",="0",="54.237",="278.7251",="0",="0",="72.8663",="0",="0",="73.664",="0",="0",="0",="0",="0",="100.3744",="2532.0444",="0",="0",="0",="0",="0",="496.0498",="1612.4987",="390.1927",="250.1255",="1896.5774000000001",="0",="0",="192.5143",="689.0826",="1521.1135",="1042.8175",="4.4009",="0",="4.5624",="0",="575.1484",="51.6279",="2742.9921",="0",="1228.4456",="0",="0",="0",="0",="0",="0",="68.431",="0",="359.8404",="0",="2591.9044",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="379.5832",="0",="0",="1085.6252",="908.5733",="0",="0",="0",="0",="0",="0",="428.5717",="0",="0",="0",="0",="2207.8255",="826.502",="0",="0",="0",="4558.5964",="1452.13",="0",="0",="394.004",="0",="0",="0",="0",="229.0199",="0",="2098.9476",="4940.5303",="2425.2674",="1002.6667",="578.3688",="1955.493",="501.9251",="0",="0",="342.5833",="0",="215.1193",="413.0383",="0",="0",="0",="0",="4649.3538",="0",="0",="0",="0",="4255.7786",="0",="444.4465",="0",="1371.8003",="0",="210.4005",="0",="668.3718",="6077.8948",="112.0586",="111.679",="6244.1882",="332.5073",="4638.3046",="1759.3618",="483.7277",="317.4103",="0",="855.8265",="177.9613",="103.5607",="675.7088",="0",="0",="3343.6691",="0",="3.9804",="0",="0",="0",="209.8343",="0",="0",="0",="0",="0",="260.9162",="1223.5125",="0",="0",="0",="0",="9.3642",="791.9245",="1204.2755",="1373.4729",="490.1767",="111.3288",="0",="0",="845.2802",="1189.5143",="2914.8307",="1177.9212",="9.8809",="0",="158.2932",="0",="651.3799",="171.3382",="1862.7141",="0",="625.4493",="0",="0",="0",="0",="0",="0",="0",="0",="1806.4882000000002",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="44.873",="559.8556",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="71.5476",="1000.892",="0",="0",="0",="605.2605",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="237.3862",="0",="0",="0",="0",="0",="600.7982",="0",="0",="0",="0",="521.3828",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="218.1602",="0",="0",="80.7075",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2869.6851",="1413.6897",="216.1213",="0",="0",="0",="0",="22.9096",="0",="79.4363",="650.8426",="334.9346",="0",="0",="655.1799",="0",="0",="45.471",="1363.1317",="541.2361",="4598.1223",="0",="0",="2096.9023",="56.313",="2456.7946",="0",="0",="3029.3524",="0",="0",="5548.69",="0",="0",="0",="0",="1584.9923",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="301.5057",="1612.8947",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="50.7198",="0",="0",="121.5406",="0",="0",="0",="0",="0",="0",="0",="186.3731",="219.4668",="6497.8853",="245.1386",="0",="0",="1403.3195",="0",="512.5304",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="939.4478",="0",="0",="0",="0",="0",="1214.9654",="0",="0",="0",="0",="2810.9326",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="40.9927",="0",="0",="813.6424",="0",="0",="0",="0",="0",="0",="0",="70.5683",="0",="0",="0",="0",="1141.1933",="715.4862",="0",="0",="0",="0",="0",="366.9394",="0",="0",="578.2938",="297.0631",="0",="0",="1959.6878",="173.5497",="0",="0",="3585.3011",="924.851",="448.7834",="0",="208.1977",="1543.6911",="954.8861",="2779.326",="0",="0",="5205.1968",="0",="0",="5501.2417",="0",="0",="0",="0",="238.3843",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="17.8227",="711.8248",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="61.924",="0",="0",="0",="0",="0",="0",="0",="0",="0",="865.5997",="0",="0",="0",="214.9783",="0",="386.8334",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="573.5684",="0",="0",="0",="0",="0",="155.0299",="0",="0",="0",="0",="454.6067",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="145.6387",="0",="0",="0",="0",="0",="0",="10.6921",="0",="0",="0",="0",="0",="1389.9822",="302.4658",="0",="0",="0",="0",="0",="138.7759",="0",="0",="70.3998",="0",="0",="0",="228.6595",="251.1355",="0",="0",="127.9795",="202.6691",="0",="0",="184.2576",="135.7096",="76.8995",="259.312",="0",="0",="408.4229",="0",="0",="349.4657",="0",="0",="0",="0",="106.3276",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam5",="183.0873",="1065.4725",="0",="623.7709",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="711.7892",="0",="498.205",="0",="0",="0",="634.0825",="0",="673.9994",="173.2306",="0",="0",="0",="0",="20.5167",="0",="0",="0",="0",="0",="0",="0",="0",="4426.2435",="0",="0",="0",="0",="0",="939.6941",="0",="0",="0",="0",="1197.4706",="0",="0",="0",="0",="0",="0",="234.2219",="0",="0",="0",="0",="0",="0",="0",="0",="0",="271.1542",="0",="0",="475.548",="0",="0",="0",="0",="0",="0",="102.2761",="0",="0",="0",="0",="329.2292",="518.3537",="305.2485",="0",="0",="0",="0",="0",="122.2365",="0",="0",="456.4711",="82.4095",="0",="0",="1139.1805",="159.3623",="0",="0",="1798.0708",="298.7273",="225.7424",="0",="549.807",="261.3195",="165.2525",="1110.8793",="0",="0",="1459.3153",="0",="0",="1591.5443",="0",="0",="0",="0",="417.8143",="0",="0",="847.3617",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl1",="563.3275",="0",="0",="1080.7786",="597.0866",="1047.0199",="198.084",="965.8709",="0",="355.1553",="79.9191",="2969.832",="341.9937",="1437.1728",="1303.6174",="5.4044",="0",="0",="223.3409",="0",="0",="514.9773",="385.585",="2708.2529",="0",="1615.8714",="2390.5521",="0",="682.4309",="0",="16.8883",="2310.4237",="836.6675",="308.4227",="2191.5065",="0",="669.0507",="610.0521",="1022.888",="0",="0",="2359.2797",="0",="6160.4544",="21.6279",="173.0015",="116.5918",="232.5265",="1212.3632",="0",="245.5611",="0",="0",="0",="0",="822.5579",="100.8451",="207.7748",="162.3066",="733.8523",="1490.9069",="469.4209",="359.9671",="1041.1485",="2006.4047",="290.779",="312.3278",="79.6464",="314.3913",="2647.7085",="60.5246",="695.1431",="163.221",="5315.0954",="1246.4024",="704.0212",="258.1611",="0",="33.1524",="14.0232",="53.0138",="11.0641",="291.28610000000003",="1013.2232999999999",="0",="6651.5209",="2842.5206",="0",="0",="0",="0",="912.3013",="0",="187.4441",="10.731",="949.7791",="0",="288.4778",="610.3417",="10602.6762",="840.734",="2254.8173",="640.6455",="0",="0",="440.9228",="776.4642",="43.0605",="1373.9129",="53.6404",="89.8851",="3661.2217",="0",="500.5542",="262.4825",="609.3767",="0",="4480.2514",="0",="0",="3786.6763",="4905.9275",="4896.988",="11763.8747",="1440.4147",="722.2",="1499.7455",="0",="3713.1448",="0",="0",="0",="0",="0",="3760.3002",="0",="0",="0",="0",="0",="0",="0",="0",="1141.9183"
="VISl2/3",="1080.0736",="0",="0",="6327.5249",="3672.1045",="5724.9575",="3269.2565",="6877.5507",="458.4409",="2136.5948",="14.674",="2267.7169",="4148.2502",="2148.9818",="7613.1848",="4488.7793",="151.8454",="0",="1343.8513",="647.6287",="2847.9384",="1567.5015",="8333.7183",="3699.7992",="94.4553",="6095.1032",="2673.5306",="0",="6776.2275",="0",="0",="1267.2182",="4915.9001",="1823.3959",="2303.7461",="3528.341",="3395.0484",="254.4387",="734.5326",="79.8077",="6.7682",="2699.4871",="0",="5246.3061",="642.4508",="0",="344.7326",="284.7093",="1076.053",="402.2884",="651.2282",="1040.1478",="0",="1531.15",="0",="1828.4701",="1927.6756",="819.7722",="1168.4883",="940.211",="3643.3611",="754.6394",="673.5047",="5557.0646",="4077.7072",="3066.543",="4651.6977",="4729.9116",="5974.3394",="7186.4128",="3866.8033",="3139.3248",="466.6355",="5307.1869",="91.3671",="0",="0",="0",="256.7132",="1029.5473",="2911.712",="2016.8202",="0",="4932.1798",="0",="1169.9467",="736.5561",="0",="0",="0",="0",="0",="0",="576.1747",="562.5487",="13638.1925",="87.1526",="2855.2621",="1897.6732000000002",="3687.328",="577.7981",="80.9849",="0",="0",="0",="2468.3481",="674.5341",="517.393",="4553.1729",="52.1929",="545.2304",="3358.2633",="0",="2305.8013",="1915.4601",="572.0813",="0",="1464.3426",="6.8798",="0",="3071.6709",="9567.1734",="1516.6549",="7913.1674",="1765.6157",="0",="5595.8319",="0",="0",="0",="0",="0",="0",="0",="687.5272",="0",="0",="0",="0",="0",="230.3702",="0",="0",="363.8249"
