 ,221519_038,221519_039,221519_041,221519_042,221622_014,221622_015,221622_031,221622_032,221622_034,221622_035,221622_036,221622_038,221622_043,221714_054,221751_075,221751_076,221751_077,221751_078,221751_079,221751_080,221751_083,230108_027,230109_005,230109_006,230110_030,230110_032,233795_051,233795_052,233795_057,221062_068,221478_820,221622_030,221091_110,221424_049,221426_077,221477_049,221622_039,221426_078,221423_070,221714_049
="VISli1",="1",="0",="0",="18",="16",="14",="7",="11",="9",="9",="26",="13",="15",="5",="12",="18",="10",="4",="15",="12",="20",="0",="24",="12",="4",="15",="16",="20",="4",="28",="5",="2",="5",="6",="0",="0",="17",="1",="23",="0"
="VISli2/3",="10",="4",="7",="16",="13",="32",="23",="28",="7",="4",="20",="11",="12",="18",="4",="10",="12",="9",="22",="11",="36",="3",="8",="3",="5",="9",="10",="8",="8",="17",="10",="0",="6",="11",="4",="1",="14",="6",="4",="0"
="VISli4",="1",="1",="2",="3",="14",="6",="5",="1",="2",="0",="3",="2",="20",="7",="0",="0",="0",="4",="1",="4",="7",="2",="1",="3",="0",="1",="0",="4",="0",="5",="7",="5",="2",="0",="1",="0",="3",="1",="2",="2"
="VISli5",="8",="1",="16",="4",="17",="44",="6",="10",="10",="4",="24",="12",="15",="2",="5",="17",="9",="4",="18",="17",="20",="7",="5",="4",="9",="6",="6",="3",="8",="7",="4",="8",="2",="6",="29",="2",="5",="87",="38",="20"
="VISli6a",="0",="0",="0",="0",="1",="1",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="20",="0",="2",="88",="19",="0"
="VISli6b",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="8",="1",="0"
="TEa1",="1",="0",="1",="3",="10",="1",="2",="5",="4",="2",="4",="2",="0",="0",="10",="13",="3",="3",="2",="7",="0",="0",="16",="6",="16",="0",="4",="0",="3",="5",="0",="3",="0",="0",="0",="0",="11",="2",="3",="0"
="TEa2/3",="0",="0",="2",="5",="5",="4",="4",="6",="1",="4",="10",="3",="0",="0",="7",="16",="6",="1",="0",="6",="1",="0",="10",="10",="9",="0",="8",="2",="12",="4",="1",="5",="4",="6",="0",="0",="12",="0",="0",="0"
="TEa4",="2",="2",="0",="3",="1",="1",="0",="5",="1",="0",="1",="0",="0",="0",="7",="7",="1",="1",="1",="2",="0",="0",="4",="2",="1",="0",="1",="0",="3",="10",="0",="8",="0",="1",="0",="0",="1",="1",="0",="0"
="TEa5",="1",="0",="3",="9",="5",="7",="5",="5",="4",="3",="3",="2",="7",="0",="38",="21",="12",="0",="4",="10",="1",="2",="11",="17",="0",="0",="2",="1",="12",="3",="0",="8",="0",="3",="10",="0",="1",="26",="4",="3"
