 ,221057_135,221057_154,221057_160,221481_118,221481_258,221701_050,221701_055,230066_083,230066_125,231687_007,233379_034,233379_047,233379_114,233379_115,233379_124,233379_131,233668_046,233668_061,233668_075,233668_096,233795_009,221090_095,221090_097,221090_098,221091_154,221417_015,221417_016,221418_128,221418_129,221418_139,221478_278,221480_100,221702_004,231685_255,231685_273,233379_030,233379_036,233379_040,233379_097,233379_102,233379_107,233379_109,233379_118,233379_130,233379_142,233380_092,233380_093,233666_139,233666_190,221090_093,221091_113,221091_125,221091_141,221418_001,221418_127,221418_131,221418_132,221418_135,221418_136,221418_138,221418_150,221426_062,221479_170,221479_185,221479_236,221481_137,221515_017,231685_244,231687_014,233379_123,233666_049,233666_201,233667_154,233667_217,233667_256,233667_269,233667_289,233667_297,221065_081,221065_082,221091_171,231687_028,233284_183,233667_270,233668_104,221365_072,233666_146,233667_136,233667_171,233667_218,233667_221
="ENTl2",="2952.8874",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="878.7772",="0",="0",="1.7393",="0",="387.7124",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl3",="2155.9726",="0",="0",="0",="0",="0",="136.0109",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1160.3201",="0",="0",="0",="0",="1078.855",="0",="0",="0",="0",="24.8564",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl5",="1611.662",="0",="0",="0",="0",="0",="3475.3429",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="265.1441",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5.581",="0",="0",="0",="188.525",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="378.9117",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1302.6234",="0",="0",="0",="0",="819.9655",="0",="113.3013",="0",="0",="659.753",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm1",="49.961",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="19.7847",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm2",="2949.9981",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="106.1268",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="429.2777",="0",="0",="0",="20.5778",="524.4491",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="71.1338",="0",="0",="0",="0",="0",="0",="0",="0",="28.1444",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="22.063",="274.0029",="0",="0",="0",="0",="275.1384",="0",="0",="0",="0",="0",="0",="0",="10.1818",="0",="0",="0",="0",="0",="0"
="ENTm3",="1532.5857",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="528.4919",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="187.1632",="0",="0",="0",="293.7336",="228.233",="0",="0",="0",="0",="0",="0",="0",="0",="85.8441",="0",="0",="0",="258.8785",="0",="82.2117",="0",="0",="0",="0",="0",="0",="456.6093",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="814.3149",="0",="0",="0",="0",="0",="207.5124",="0",="421.6655",="0",="144.0095",="1771.7237",="0",="0",="181.0956",="0",="0",="0",="0",="0",="0"
="ENTm5",="406.8976",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="167.417",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="259.0176",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="166.058",="0",="0",="0",="263.7845",="0",="1501.8218",="0",="0",="0",="0",="0",="0",="365.8797",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1395.6443",="0",="0",="0",="0",="0",="24.1254",="0",="1861.4798",="0",="0",="2443.6305",="0",="158.2952",="0",="0",="1185.7539",="0",="0",="0",="0"
="VISl1",="355.1553",="0",="0",="0",="0",="0",="2390.5521",="238.4228",="1629.7057",="0",="0",="707.3212000000001",="0",="0",="0",="53.0576",="0",="2359.2797",="1212.3632",="0",="162.3066",="1246.4024",="0",="0",="704.0212",="258.1611",="0",="0",="14.0232",="0",="0",="291.28610000000003",="0",="3684.1638",="670.8434",="469.9605",="912.3013",="83.7062",="0",="0",="0",="0",="0",="187.4441",="0",="0",="1215.7012",="949.7791",="0",="306.0492",="0",="0",="0",="290.6551",="776.4642",="0",="0",="43.0605",="516.6805",="0",="368.0883",="0",="344.8817",="3661.2217",="0",="500.5542",="262.4825",="1098.2095",="609.3767",="0",="0",="4480.2514",="0",="0",="3786.6763",="4896.988",="11763.8747",="1440.4147",="722.2",="1499.7455",="252.217",="0",="3713.1448",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="2136.5948",="0",="0",="0",="2847.9384",="0",="2673.5306",="84.4311",="3451.637",="0",="0",="394.28700000000003",="54.9452",="0",="0",="482.02520000000004",="0",="2699.4871",="1076.053",="0",="1168.4883",="91.3671",="0",="0",="0",="0",="29.0095",="0",="1029.5473",="0",="0",="0",="0",="3085.3589",="992.7326",="91.2331",="0",="0",="0",="0",="0",="0",="0",="576.1747",="0",="0",="1425.1815",="13638.1925",="87.1526",="0",="0",="0",="0",="883.253",="674.5341",="0",="0",="517.393",="0",="0",="226.4676",="225.2035",="1047.4322",="3358.2633",="0",="2305.8013",="1915.4601",="841.7976",="572.0813",="0",="0",="1464.3426",="6.8798",="0",="3071.6709",="1516.6549",="7913.1674",="1765.6157",="0",="5595.8319",="503.5098",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl4",="667.0286",="0",="0",="0",="1341.3945",="0",="1124.7854",="322.1107",="1176.6553",="0",="0",="495.52040000000005",="0",="0",="0",="319.8968",="0",="775.0616",="30.9271",="0",="89.9497",="0",="0",="0",="0",="457.26239999999996",="0",="0",="147.9799",="0",="0",="744.0772",="0",="5381.3703000000005",="2109.5654",="64.495",="0",="0",="0",="0",="0",="0",="313.7614",="701.5503",="0",="0",="575.8776",="2016.6421",="31.4154",="0",="0",="0",="0",="73.7469",="128.0338",="0",="0",="108.2411",="0",="0",="472.6172",="0",="270.2038",="1350.8568",="0",="179.7187",="5051.1531",="652.7841",="174.3264",="0",="0",="1087.0849",="11.4774",="0",="2463.4309000000003",="2585.1372",="4240.3117999999995",="411.1906",="35.9105",="3928.0936",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl5",="883.3518",="0",="460.9944",="0",="675.9802",="0",="2348.3372",="52.2295",="1113.2073",="0",="0",="700.1034",="0",="0",="0",="5.7354",="0",="2735.8326",="7924.2834",="191.1238",="1098.5324",="0",="0",="401.6745",="0",="410.1875",="0",="0",="982.9386",="1004.1958000000001",="0",="920.7669",="393.8084",="1436.8523",="347.4691",="186.3349",="0",="219.5606",="0",="0",="0",="663.3758",="78.1086",="1579.173",="0",="0",="1942.9427",="2710.1239",="96.4705",="0",="0",="0",="0",="0",="53.3779",="0",="282.2066",="558.6943",="0",="48.8839",="488.2204",="0",="290.2254",="2381.7383",="269.9327",="0",="2710.0872",="120.2362",="0",="355.1737",="0",="2258.2106",="1253.5051",="0",="1906.2521000000002",="2068.8428",="4094.2948",="1581.7966000000001",="107.0799",="748.3311",="0",="533.8035",="0",="415.9373",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="2386.3392",="652.4621",="234.6745",="3299.9129000000003",="5765.627399999999",="1492.3129",="3059.5667",="8212.8141",="9141.7232",="3620.75",="5463.2269",="6577.3916",="2966.7965999999997",="263.2938",="1783.8802",="1930.165",="727.8129",="992.1029",="7345.8027",="2044.8751",="4862.0038",="3991.9297",="4273.6894",="231.3214",="6749.361",="38148.2743",="22565.647",="7252.7552",="737.6656",="1200.3767",="15163.6253",="18791.9273",="868.3162",="7625.369299999999",="8438.9134",="10525.3178",="10580.5606",="210.6238",="5642.3125",="151.2107",="2131.166",="840.5068",="2263.3415",="8960.774",="0",="2312.3285",="16662.9429",="11297.1415",="10142.046",="8873.463",="6182.4085",="2764.4712",="9361.5912",="15135.274",="928.9251",="3707.3609",="3575.1268",="1123.261",="1859.8326",="2991.0171",="9266.8179",="8812.0284",="12061.4523",="9632.4698",="30079.2673",="23138.0474",="6975.7286",="1607.8075",="18118.1844",="5783.5297",="1151.804",="17167.215",="1249.3483",="4030.0655",="10135.5064",="9986.8656",="10896.350400000001",="8709.2742",="25562.0262",="12895.7446",="2116.7851",="0",="27118.5438",="2303.3545",="258.3998",="0",="1320.0266",="0",="0",="162.8366",="269.3047"
="VISp2/3",="3969.058",="15264.776",="3079.1016",="13662.2482",="17723.6678",="7898.9306",="5617.0768",="4303.5624",="6888.5755",="10509.6922",="16275.0088",="7209.9136",="7000.4907",="552.7266000000001",="11023.66",="22809.5822",="3200.7502",="3093.4927",="5574.194799999999",="17109.8268",="6402.9451",="1345.6105",="620.1363",="76.6351",="1845.7223",="10111.0909",="8983.5228",="9833.3857",="3970.8963",="6570.1068",="6773.3215",="3583.3253",="2880.0932",="1045.4805",="2257.1055",="4634.9761",="2961.2738",="478.1857",="3895.4285",="1985.1361",="1419.3491",="643.9741",="285.3345",="6519.3778999999995",="36.4048",="3883.7394",="9005.4757",="8165.3467",="15738.0959",="7377.4748",="3471.8821",="2578.2613",="5055.0348",="4397.9671",="270.7625",="5810.6616",="3029.6229",="1310.7459999999999",="232.8854",="1860.268",="2474.6395",="15961.4538",="8196.8504",="3741.425",="3996.6448",="13719.4923",="11431.8966",="1653.9278",="3761.0497",="2594.0919",="2178.3863",="3614.1161",="1687.426",="1678.3326",="5258.2559",="1637.9157",="3194.5801",="14526.5975",="2950.0152",="39810.6889",="10232.8895",="36.3303",="3944.2034",="4069.6331",="701.2788",="0",="583.1719",="0",="73.7807",="345.2105",="283.9554"
="VISp4",="1864.8638",="4505.9159",="1090.5157",="2834.3006",="5407.393899999999",="1114.0951",="3971.3846",="7690.8652",="4960.4429",="1309.9345",="4653.5616",="2942.4906",="1939.4238",="624.0195",="1576.9711",="3860.7252",="1712.3035",="1313.3415",="1911.344",="3426.4235",="1788.5902",="4098.3964",="547.867",="943.3422",="1003.1767",="13873.605",="9074.9617",="1571.948",="953.8101",="3426.8582",="5454.6523",="10634.6417",="2902.3199",="3529.5768",="5382.2183",="3828.475",="2750.147",="4165.1296",="4281.6381",="6103.7491",="5809.4118",="1107.2978",="6347.434200000001",="16356.194",="575.6025",="10904.4538",="10696.882",="3398.2996",="11238.598",="2599.9165",="1959.6579",="1688.2881",="1138.5136",="2636.2876",="923.5431",="2271.6528",="746.1591",="1103.7419",="291.695",="1891.5",="2666.338",="5534.297",="3316.7606",="4472.6923",="5097.8641",="2693.0275",="6186.5104",="3806.9043",="3782.5088",="4901.3087",="1168.0448",="3690.5633",="1748.4652",="713.0424",="1440.0195",="2257.2269",="805.2296",="3079.7469",="4798.6952",="19527.6244",="2362.5659",="449.2869",="2007.6653",="579.1231",="414.79",="0",="903.1721",="122.4445",="1081.2034",="201.6874",="151.3114"
="VISp5",="2350.3681",="10631.656",="3200.9387",="9093.453000000001",="3012.8051",="1353.6397",="1507.2233",="4437.0596",="9384.9936",="1315.7913",="3556.4999",="2507.7436",="2451.0779",="905.2858",="2680.9387",="3017.6212",="4100.5615",="1630.6768",="13110.4433",="5477.1322",="3500.0146",="4477.2336",="1659.5899",="3894.2141",="3138.3496",="6990.348",="6699.3537",="4662.7151",="3028.8398",="10796.0308",="4184.2893",="11167.0752",="5042.5079",="3452.0769",="6504.1817",="3920.4063",="2278.2124",="1112.7449",="3598.9518",="1974.6953",="3408.4006",="1102.8774",="1247.3276",="10298.052500000002",="2692.089",="1919.098",="2615.4969",="8818.0262",="4920.6205",="8189.1244",="4008.4871",="7393.0749",="6182.8583",="7637.9495",="5134.4081",="10557.9844",="2473.5326",="5062.6666",="1762.8188",="4957.9586",="4040.1545",="11076.5864",="8676.9905",="5210.2177",="8613.4395",="6888.4497",="11902.1038",="6843.1992",="9474.3272",="8525.7361",="2178.7715",="6101.8408",="16320.0732",="3613.7866",="2748.4173",="4575.3985999999995",="2081.379",="5580.7523",="7254.3842",="15790.143699999999",="7071.8586",="4127.1901",="3454.0718",="12069.732",="3576.2682",="464.9952",="2633.4101",="2053.5643",="7489.5824",="4219.8206",="4984.1873"
="VISpl1",="1153.7079",="0",="0",="0",="0",="0",="0",="16.9827",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1095.1498",="9.8992",="0",="277.5278",="0",="0",="2957.6406",="10755.7122",="4533.6192",="855.6085",="0",="0",="473.8654",="1567.0423",="5229.5055",="0",="2591.3975",="3961.2208",="2178.8345",="0",="4447.7137",="0",="0",="1927.1489",="682.5432",="0",="8923.3354",="0",="0",="564.7322",="1543.6025",="0",="1373.8355",="7221.6489",="446.0051",="243.2572",="0",="0",="21.6354",="1214.7201",="0",="4384.2313",="2154.2877",="0",="0",="0",="4937.0489",="7073.7966",="0",="0",="0",="3868.3026",="0",="2531.2571",="4061.2416",="0",="0",="0",="62.1283",="35.0261",="0",="2293.06",="0",="167.0102",="0",="0",="20.1972",="0",="0",="0",="0",="0",="0",="0"
