NeuronId,x,y,z
="221481_178.swc",="7864.35986328125",="1432.6400146484375",="9009.98046875"
="233379_120.swc",="8045.919921875",="1261.280029296875",="8717.0595703125"
="221365_071.swc",="7771.06005859375",="1055.1199951171875",="8390.099609375"
="221366_042.swc",="7982.10009765625",="1343.9300537109375",="8814.5595703125"
="221426_059.swc",="7773.64013671875",="1186.2099609375",="8620.8603515625"
="221426_064.swc",="8008.35986328125",="1109.81005859375",="8744.2802734375"
="221426_067.swc",="7864.240234375",="1540.6400146484375",="9198.240234375"
="221426_080.swc",="7741.7998046875",="1442.4300537109375",="2467.840087890625"
="221477_066.swc",="7633.22021484375",="1376.510009765625",="2802.679931640625"
="221535_021.swc",="7497.31982421875",="1343.31005859375",="8564.759765625"
="233285_033.swc",="7664.5400390625",="1151.050048828125",="8310.1396484375"
="221514_018.swc",="7890.02001953125",="1486.3699951171875",="8525.01953125"
="221536_031.swc",="8087.14013671875",="1599.699951171875",="8743.5400390625"
="221538_007.swc",="7989.89990234375",="1724.969970703125",="8757.1201171875"
="221538_008.swc",="8010.7998046875",="1695.260009765625",="8811.6396484375"
="221538_019.swc",="8181.06005859375",="1596.1400146484375",="8691.9599609375"
="221538_020.swc",="8170.31982421875",="1612.8800048828125",="8728.1201171875"
="233282_046.swc",="7595.39990234375",="1531.9200439453125",="8491.6201171875"
="233282_047.swc",="7812.06005859375",="1462.3599853515625",="8427.98046875"
="233282_050.swc",="7561.7001953125",="1360.02001953125",="8169.580078125"
="233285_003.swc",="7911.97998046875",="1552.0999755859375",="8733.3203125"
="233285_035.swc",="7733.81982421875",="1354.52001953125",="8212.0595703125"
="233285_036.swc",="7752.16015625",="1355.8499755859375",="8154.080078125"
="233285_103.swc",="7831.10009765625",="1397.969970703125",="8530.5595703125"
="233285_104.swc",="7818",="1423.030029296875",="8463.4599609375"
="233285_105.swc",="7770.240234375",="1509.550048828125",="8346.5"
="233285_106.swc",="7677.1201171875",="1420.5799560546875",="8389.8603515625"
="233285_107.swc",="7714.080078125",="1340.969970703125",="8429.400390625"
="233285_108.swc",="7685.16015625",="1393.9200439453125",="8499.98046875"
="233285_109.swc",="7735.919921875",="1559.3699951171875",="8509.740234375"
