 ,221475_127,221480_097,221481_338,221519_043,221519_044,221519_058,221622_001,221622_002,221622_007,221622_011,221622_047,221622_061,221644_085,221645_164,221706_070,221706_088,221706_091,221706_133,221714_042,221714_047,221733_033,221733_035,221733_097,221751_063,221751_065,221751_071,221751_085,221751_087,221751_089,221756_065,221757_065,221757_073,221757_074,221757_075,221757_077,221757_078,230105_019,230108_030,230108_032,230109_004,230110_026,230110_028,230110_029,231567_099,231567_123,231568_028,231568_033,231568_034,233795_061,221419_056,221419_061,221424_043,221474_133,221475_105,221706_084,221706_138,221715_001,221751_257,221751_262,221756_084,221757_071,221757_072,230108_031,231568_030,212075_027,220239_169,221220_008,221418_141,221418_142,221419_059,221423_013,221423_014,221423_016,221423_032,221423_040,221423_058,221475_088,221475_109,221475_110,221475_111,221645_178,221706_078,221706_123,221706_142,221714_045,221714_050,221732_099,221733_091,221754_013,231569_020,220239_189,221062_070,221087_105,221423_042,221423_060,221513_074,221517_026,220239_140,221423_059,221423_065,221530_127
="AUDv1",="1",="1",="22",="0",="0",="1",="0",="3",="1",="3",="0",="0",="0",="34",="0",="0",="13",="1",="0",="1",="0",="0",="0",="0",="11",="21",="3",="6",="0",="4",="1",="0",="7",="3",="15",="0",="4",="0",="0",="3",="6",="0",="0",="1",="2",="0",="0",="0",="7",="0",="0",="3",="2",="0",="10",="2",="0",="1",="10",="0",="0",="0",="0",="0",="10",="0",="2",="11",="4",="0",="0",="0",="0",="0",="0",="0",="1",="17",="12",="8",="18",="1",="6",="0",="0",="0",="16",="3",="5",="3",="0",="0",="0",="1",="0",="4",="1",="4",="0",="0",="19"
="AUDv2/3",="2",="0",="29",="0",="0",="6",="3",="6",="0",="0",="0",="0",="1",="16",="0",="0",="3",="6",="0",="2",="0",="0",="3",="0",="1",="12",="0",="0",="0",="1",="2",="0",="8",="5",="18",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="3",="1",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="8",="0",="0",="0",="0",="0",="0",="0",="0",="9",="4",="5",="6",="2",="11",="0",="0",="0",="8",="0",="3",="1",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="1"
="AUDv4",="0",="0",="12",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="5",="0",="0",="2",="1",="0",="2",="0",="0",="1",="0",="0",="4",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="1",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="1",="1",="0",="1",="1",="0",="0",="1",="1",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="1",="0",="0",="0",="0",="5",="0",="1",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0"
="AUDv5",="1",="0",="19",="0",="1",="7",="0",="1",="0",="7",="0",="0",="0",="7",="6",="3",="11",="7",="0",="12",="1",="0",="7",="1",="2",="7",="0",="0",="0",="6",="5",="0",="0",="1",="1",="0",="1",="1",="0",="2",="5",="1",="0",="1",="0",="1",="0",="1",="2",="0",="0",="5",="2",="0",="19",="2",="0",="0",="1",="1",="0",="0",="0",="0",="4",="0",="0",="4",="1",="0",="7",="4",="2",="3",="10",="15",="5",="10",="2",="0",="8",="6",="8",="1",="0",="3",="8",="0",="0",="2",="8",="3",="0",="0",="7",="0",="0",="3",="0",="0",="10"
="AUDv6a",="0",="0",="3",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="3",="0",="5",="6",="5",="11",="0",="0",="0",="3",="1",="0",="0",="0",="0",="1",="3",="0",="0",="1",="5",="1",="1",="1",="6",="0",="0",="0",="1",="0",="4"
="AUDv6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="1",="0",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0"
="VISal1",="0",="2",="0",="0",="0",="0",="0",="0",="17",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="1",="2",="0",="7",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="8",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="3",="1",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="1",="0",="0",="0"
="VISal2/3",="1",="4",="0",="0",="0",="0",="0",="0",="7",="0",="17",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="0",="0",="0"
="VISal5",="1",="1",="0",="0",="0",="0",="0",="0",="4",="0",="9",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="3",="0",="10",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="1",="0",="1",="0",="1",="0",="5",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0"
="VISal6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl6a",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="5",="1",="0",="0",="0",="5",="0",="3",="0",="0",="0",="2",="0",="0",="1",="2",="0",="0",="0",="1",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0"
="VISl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="1",="1",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0"
="VISp6a",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="1",="0",="1",="1",="1",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="2",="2",="29",="2",="1",="0",="0",="6",="0",="16",="5",="1",="5",="2",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="1",="4",="1",="1",="0",="0",="0",="0"
="VISp6b",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="1",="1",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli1",="1",="8",="0",="10",="2",="0",="6",="2",="5",="3",="2",="1",="6",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="24",="0",="3",="0",="0",="3",="2",="1",="0",="1",="2",="1",="0",="7",="1",="1",="7",="0",="0",="8",="0",="11",="3",="14",="11",="11",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="5",="1",="9",="0",="0",="0",="0",="0",="0",="1",="0",="4",="0",="4",="0",="6",="0",="3",="0",="1",="0",="2",="7",="0",="0",="0",="0",="3",="0",="3",="4",="7",="0",="0"
="VISli2/3",="0",="15",="0",="15",="4",="0",="2",="3",="4",="13",="6",="0",="3",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="5",="16",="6",="2",="0",="0",="1",="5",="0",="3",="3",="0",="0",="3",="4",="1",="0",="1",="0",="0",="1",="0",="4",="1",="5",="5",="13",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="7",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="3",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli5",="1",="0",="0",="3",="0",="0",="2",="3",="9",="5",="26",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="3",="2",="2",="0",="0",="1",="0",="1",="1",="1",="0",="1",="8",="4",="1",="6",="2",="0",="0",="1",="0",="0",="0",="1",="11",="4",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="2",="1",="1",="4",="0",="0",="0",="1",="0",="1",="0",="5",="4",="1",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="14",="0",="0"
="VISli6a",="0",="1",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="1",="0",="0",="0",="3",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="3",="0",="0"
="VISli6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0"
="VISpor2/3",="2",="5",="0",="15",="11",="0",="14",="2",="18",="3",="0",="12",="1",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="1",="1",="1",="1",="5",="2",="0",="1",="1",="0",="0",="2",="0",="2",="0",="2",="2",="20",="1",="0",="0",="9",="10",="12",="2",="30",="5",="3",="1",="23",="0",="7",="0",="0",="1",="12",="2",="2",="11",="7",="0",="0",="0",="2",="11",="22",="11",="0",="1",="0",="4",="0",="2",="2",="1",="7",="0",="0",="8",="1",="5",="4",="2",="38",="13",="5",="0",="0",="3",="0",="2",="0",="4",="0",="0",="0",="1"
="TEa1",="16",="15",="61",="11",="22",="12",="27",="57",="10",="1",="1",="4",="17",="15",="14",="1",="85",="7",="10",="16",="1",="36",="9",="8",="27",="17",="26",="27",="18",="28",="20",="17",="19",="12",="25",="7",="27",="9",="0",="32",="14",="10",="11",="8",="3",="37",="6",="56",="9",="28",="32",="10",="41",="5",="52",="8",="20",="8",="71",="21",="22",="4",="13",="17",="24",="0",="0",="22",="22",="9",="6",="0",="6",="0",="0",="0",="3",="39",="65",="26",="16",="4",="46",="6",="9",="5",="24",="54",="13",="35",="0",="0",="3",="11",="1",="19",="15",="16",="9",="3",="53"
="TEa2/3",="34",="27",="100",="21",="28",="10",="70",="127",="17",="7",="6",="5",="25",="45",="12",="17",="33",="47",="31",="22",="12",="16",="30",="13",="28",="29",="20",="15",="11",="13",="21",="18",="25",="10",="32",="7",="16",="13",="4",="13",="15",="21",="5",="15",="1",="29",="11",="57",="16",="32",="7",="16",="14",="13",="16",="11",="14",="12",="17",="19",="5",="4",="26",="28",="16",="0",="0",="5",="26",="24",="5",="0",="11",="0",="0",="0",="4",="18",="37",="16",="10",="10",="72",="2",="4",="6",="5",="12",="31",="15",="0",="0",="0",="11",="1",="1",="2",="0",="1",="1",="2"
="TEa4",="5",="6",="53",="6",="5",="3",="28",="27",="4",="3",="4",="6",="7",="7",="7",="7",="12",="8",="3",="8",="12",="6",="16",="0",="7",="8",="4",="5",="6",="2",="7",="5",="5",="2",="7",="5",="6",="8",="0",="7",="5",="7",="2",="6",="2",="9",="9",="12",="5",="11",="17",="10",="17",="7",="18",="15",="9",="6",="8",="12",="6",="13",="6",="13",="8",="0",="0",="2",="5",="2",="1",="0",="1",="0",="0",="0",="2",="6",="7",="8",="1",="2",="42",="3",="1",="4",="6",="15",="8",="6",="0",="2",="1",="0",="0",="0",="0",="0",="3",="1",="1"
="TEa5",="7",="18",="39",="13",="16",="14",="42",="54",="10",="9",="7",="17",="16",="19",="28",="30",="19",="28",="4",="28",="17",="3",="25",="10",="23",="7",="16",="8",="14",="12",="10",="10",="10",="12",="22",="5",="7",="8",="0",="8",="5",="4",="4",="14",="1",="18",="21",="42",="16",="15",="21",="19",="21",="18",="55",="42",="4",="23",="33",="16",="7",="9",="12",="7",="12",="1",="2",="9",="29",="23",="18",="8",="11",="21",="13",="16",="25",="16",="34",="25",="26",="10",="79",="16",="4",="15",="22",="36",="10",="19",="27",="7",="2",="9",="21",="4",="1",="5",="35",="36",="68"
="TEa6a",="0",="0",="0",="0",="5",="1",="0",="2",="4",="0",="0",="3",="0",="0",="1",="0",="1",="3",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="1",="1",="0",="1",="2",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="1",="1",="2",="2",="0",="1",="0",="1",="1",="3",="4",="3",="0",="2",="0",="7",="0",="0",="0",="3",="3",="11",="10",="20",="4",="10",="11",="8",="4",="6",="9",="4",="9",="7",="2",="1",="5",="10",="1",="2",="0",="29",="5",="3",="12",="17",="6",="0",="0",="9",="2",="20"
="TEa6b",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="2",="5",="1",="2",="1",="5",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="1",="0",="0",="0",="2",="1",="0",="0",="0",="0"
="ECT1",="0",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="9",="0",="0",="5",="1",="33",="7",="0",="3",="0",="0",="0",="0",="0",="2",="0",="0",="2",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="1",="1",="0",="3",="0",="0",="2",="0",="24",="0",="4",="7",="0",="2",="27",="5",="16",="16",="0",="3",="1",="0",="0",="0",="6",="6",="0",="0",="1",="0",="0",="0",="0",="2",="4",="0",="1",="2",="12",="4",="0",="0",="2",="40",="4",="13",="0",="0",="2",="2",="0",="0",="1",="0",="1",="0",="14"
="ECT2/3",="8",="0",="17",="0",="0",="5",="3",="1",="0",="0",="0",="0",="0",="15",="5",="9",="17",="14",="0",="8",="3",="16",="10",="0",="1",="0",="0",="0",="1",="0",="5",="0",="0",="1",="0",="8",="0",="0",="0",="0",="5",="0",="0",="1",="0",="0",="5",="2",="0",="8",="0",="0",="3",="3",="16",="10",="1",="3",="8",="6",="14",="12",="0",="7",="2",="0",="0",="0",="7",="6",="1",="0",="2",="0",="0",="0",="0",="0",="7",="0",="0",="5",="50",="12",="0",="3",="6",="8",="37",="14",="0",="1",="3",="14",="0",="0",="0",="0",="0",="0",="2"
="ECT5",="1",="0",="4",="0",="0",="5",="3",="0",="0",="0",="0",="1",="0",="5",="16",="6",="4",="8",="0",="13",="2",="3",="0",="5",="0",="0",="0",="1",="0",="0",="7",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="8",="0",="0",="4",="3",="0",="1",="0",="4",="0",="4",="2",="9",="0",="1",="8",="4",="7",="4",="0",="6",="3",="0",="1",="1",="1",="0",="2",="1",="9",="0",="2",="0",="0",="4",="4",="1",="2",="11",="36",="11",="1",="2",="2",="3",="3",="1",="7",="5",="1",="6",="0",="0",="0",="0",="0",="0",="13"
="dhc",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="fp",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="1",="1",="1",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="2",="0",="3",="5",="1",="0",="0",="2",="4",="1",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0"
