 ,221057_099,221057_123,221057_132,221057_133,221057_135,221057_137,221057_139,221057_149,221057_167,221481_241,221481_257,221481_258,221701_039,221701_041,221701_054,221701_060,221702_003,221733_181,230066_078,230066_079,230066_081,230066_082,230066_083,230066_084,230066_087,230066_121,230066_124,230066_125,233380_037,233666_171,233668_046,233668_056,233668_057,233668_058,233668_059,233668_061,233668_062,233668_063,233668_064,233668_065,233668_071,233668_072,233668_073,233668_075,233668_076,233668_096,233668_097,233668_100,233668_102,233668_103,233795_008,233795_009,233795_011,233795_012,233795_013,233795_044,233795_090,233795_098,233795_100,221090_098,221091_154,221417_015,221417_016,221417_043,221418_139,221478_278,221479_163,221479_164,221480_100,221481_237,221481_254,231685_255,231685_273,231685_274,231685_275,231685_279,231685_284,231685_286,231685_291,231686_057,233379_029,233379_030,233379_031,233379_040,233379_107,233379_109,233379_130,233380_036,233380_093,233666_139,233666_204,221090_092,221090_093,221091_113,221091_125,221091_141,221417_017,221418_131,221418_132,221418_136,221418_137,221418_138,221477_058,221477_059,221479_185,221479_236,231687_014,233666_049,233666_201,233667_154,233667_217,233667_242,233667_255,233667_256,233667_257,233667_267,233667_269,233667_289,233667_290,221065_081,221065_082,221091_171,231687_028,233667_270,233668_104,221365_065,233666_146,233666_149,233666_152,233666_161,233666_183,233666_189,233666_193,233666_196,233666_197,233666_202,233667_132,233667_156,233667_158,233667_165,233667_175,233667_179,233667_185,233667_232,233667_233,233667_234,233667_235,233667_237,233667_238,233667_239,233667_259,233667_262,233667_263,233667_264,233667_265,233667_272,233667_279,233667_280,233667_282,233667_292,221065_083,221065_084,221065_085,221517_009,221517_010,233281_120,233667_182,233667_231,233667_260,233667_261
="RSPagl2/3",="0",="22.8969",="1226.4358",="0",="569.1845",="0",="2299.6335",="252.5375",="4646.0869",="0",="5763.623",="227.2129",="0",="0",="0",="493.8753",="0",="0",="0",="1140.6545",="873.6998",="630.3668",="0",="0",="4550.4692",="0",="0",="0",="352.3897",="0",="2114.8967",="322.6702",="1333.0819",="0",="1066.1855",="157.1138",="206.5485",="0",="0",="0",="0",="0",="0",="508.6198",="0",="993.098",="357.0141",="2083.7927",="1133.5988",="1347.9206",="0",="0",="217.0798",="0",="0",="0",="0",="0",="0",="4466.3306",="2824.7234",="3047.4696",="1324.0775",="0",="551.7962",="1964.6256",="2438.4235",="0",="1096.5786",="0",="0",="736.9588",="6201.3949",="286.2632",="5592.8279",="0",="0",="2479.4104",="1688.4",="0",="0",="102.4602",="0",="2297.4778",="966.7346",="1141.2557",="15.7742",="448.9323",="0",="129.3555",="0",="0",="0",="3373.5766999999996",="18743.0513",="4462.3685000000005",="0",="1501.937",="9389.759",="2237.5247",="604.1556",="6657.9657",="300.992",="3515.2969999999996",="4806.7455",="1252.2164",="1410.703",="930.3957",="3706.9096",="411.1646",="1828.6224",="492.2439",="0",="295.7858",="0",="0",="0",="1820.5946",="0",="0",="0",="875.4307",="0",="259.4769",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="17.7976",="0",="0",="0",="0",="0",="0",="0",="230.7638",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="79.3338",="0",="217.322",="0",="0",="0"
="RSPagl5",="0",="769.2133",="1275.3171",="76.0792",="357.8679",="0",="1318.5312",="0",="1348.738",="0",="1211.022",="0",="0",="566.3001",="551.6779",="122.8932",="0",="0",="391.4322",="2158.394",="0",="2183.6442",="423.2393",="0",="9174.2208",="1061.0162",="0",="42.1648",="51.1786",="0",="4430.7855",="478.1499",="2215.9885",="0",="1154.3872",="52.4204",="264.3041",="0",="0",="0",="108.7655",="0",="0",="1031.2579",="136.5915",="1646.7369",="511.8552",="5785.9642",="242.5312",="2266.5402",="0",="0",="429.6289",="168.7054",="0",="0",="0",="0",="0",="1924.2271",="304.611",="193.6498",="221.2279",="0",="2542.649",="242.1556",="805.6521",="0",="549.0537",="0",="0",="1391.1225",="936.9336",="0",="0",="0",="0",="505.795",="441.5135",="0",="251.626",="315.5079",="0",="1444.173",="0",="314.9653",="667.553",="0",="0",="2310.3423",="0",="0",="0",="845.3634",="3555.15",="967.3856",="523.1114",="693.5824",="2713.8489",="6.6839",="0",="1175.2493",="414.0195",="711.7342",="1705.5245",="3105.0233",="975.9514",="1109.9912",="690.4679",="1242.3123",="2767.6777",="528.2237",="304.0425",="293.1828",="0",="222.134",="0",="819.5643",="0",="43.5132",="516.2507",="205.442",="412.16420000000005",="709.7796",="123.3393",="0",="0",="0",="527.9461",="0",="0",="0",="0",="0",="0",="0",="453.0918",="0",="0",="0",="318.8437",="0",="32.1139",="52.1874",="51.6288",="219.8239",="0",="0",="55.7974",="0",="0",="0",="278.4681",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="213.5692",="0",="0",="35.2025",="0",="0"
="RSPagl6a",="0",="197.2553",="202.8827",="200.5219",="372.9406",="0",="1657.0664",="0",="137.5854",="0",="954.4514",="0",="0",="162.5315",="502.1641",="843.4299",="0",="0",="0",="428.692",="0",="590.773",="1411.7489",="101.2933",="844.1641",="947.2907",="204.3045",="733.5771",="0",="150.2979",="1741.0583",="0",="1497.0546",="0",="470.3547",="452.4961",="453.9543",="2.5739",="0",="0",="183.1741",="0",="0",="255.4246",="403.3103",="404.1284",="106.3127",="976.8677",="617.9042",="364.7484",="0",="145.5863",="287.0385",="408.9741",="0",="0",="0",="0",="0",="432.7522",="573.366",="0",="478.7762",="215.1719",="1082.2793",="1194.567",="238.6764",="0",="768.6239",="145.8794",="0",="524.5453",="335.1281",="0",="260.8946",="0",="0",="0",="0",="0",="148.64",="301.4179",="0",="779.7106",="0",="0",="697.22",="0",="0",="517.5964",="0",="721.0481",="390.6885",="694.7159",="1309.0436",="241.1433",="201.2249",="2751.5544",="3206.3659",="477.645",="383.9136",="0",="400.3402",="844.26",="846.2909",="469.04380000000003",="231.3425",="1667.7882",="351.5599",="923.5007",="1028.2479",="1408.6859",="76.8849",="0",="244.2939",="3942.8415",="871.7838",="754.4291",="0",="279.1444",="132.7206",="525.6976999999999",="2058.5715",="1628.3513",="2740.3389",="0",="1508.4868",="0",="248.3217",="0",="0",="0",="0",="0",="0",="0",="355.2986",="0",="0",="0",="78.3081",="0",="1091.4405",="0",="0",="0",="0",="0",="632.2688",="6.0235",="44.2842",="0",="0",="0",="0",="0",="0",="0",="0",="0",="33.765",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd5",="0",="241.8096",="0",="0",="267.28",="0",="492.8789",="0",="0",="0",="1083.3425",="0",="0",="1017.1543",="54.7303",="0",="0",="0",="220.5894",="0",="0",="1049.4946",="0",="0",="1659.1563",="0",="0",="0",="0",="0",="3488.1359",="0",="292.4687",="0",="437.2592",="616.3413",="1553.6127",="0",="0",="0",="647.3568",="0",="0",="0",="0",="0",="0",="1917.3443",="0",="234.5685",="0",="341.8613",="0",="0",="0",="0",="0",="0",="0",="868.2347",="1219.2898",="799.4769",="2371.3227",="0",="1149.333",="3144.1583",="1996.8139",="0",="1549.5114",="209.4058",="0",="404.8045",="2089.1698",="0",="829.4717",="0",="0",="401.6439",="0",="0",="116.7085",="507.1517",="0",="480.8252",="0",="254.3146",="856.7175",="0",="0",="2903.0535",="0",="0",="0",="343.5067",="3565.4447",="739.7796000000001",="574.1588",="1956.7906",="911.5649",="121.8581",="468.6969",="336.4602",="339.6288",="1352.7131",="3183.1041",="858.8926",="1245.1114",="1725.0043",="220.99689999999998",="0",="726.2117",="0",="108.2882",="0",="0",="1483.327",="0",="0",="0",="1462.3158",="1018.733",="2831.8761999999997",="659.794",="215.503",="230.8007",="0",="269.5924",="0",="43.4588",="0",="0",="0",="0",="0",="0",="0",="48.3116",="0",="0",="0",="106.0808",="0",="51.3062",="0",="99.6953",="194.7794",="0",="0",="0",="0",="113.3211",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd6a",="0",="269.0492",="0",="0",="2579.3613",="0",="47.9573",="0",="0",="0",="359.0845",="485.5581",="0",="0",="462.6692",="0",="0",="0",="0",="0",="0",="442.1741",="2156.9515",="33.423",="1166.9427",="457.5645",="0",="577.1481",="0",="0",="227.5093",="0",="1152.9214",="0",="373.197",="539.5654",="917.0399",="0",="0",="0",="133.6212",="0",="0",="840.7365",="345.9144",="0",="383.332",="1554.4843",="0",="70.2466",="0",="1396.3503",="0",="0",="0",="0",="0",="0",="0",="0",="2496.2184",="0",="1052.9114",="325.8727",="1211.5105",="364.9076",="939.6975",="0",="766.4369",="0",="0",="0",="1885.276",="0",="725.5067",="0",="0",="0",="0",="0",="124.4295",="290.0174",="0",="309.6123",="0",="665.0969",="0",="0",="0",="2458.8174",="0",="22.9012",="921.285",="237.5677",="2038.1826",="332.4443",="135.0357",="677.8756999999999",="1256.2137",="143.3398",="85.0718",="0",="529.4599",="1468.9903",="1022.2983",="990.7527",="375.9796",="1058.355",="208.9542",="171.4121",="0",="0",="267.4941",="0",="0",="3014.8198",="980.0999",="193.3644",="0",="1542.154",="676.8689",="2547.4415",="7213.0357",="874.4884",="3023.8693",="0",="1084.5693",="0",="215.5456",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="267.4183",="0",="5.8185",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl1",="0",="0",="1275.8516",="0",="259.9656",="0",="292.2753",="274.3836",="2001.5822",="0",="134.6625",="54.7678",="0",="0",="0",="173.081",="0",="0",="0",="25.5226",="33.9801",="174.569",="0",="0",="2281.8162",="0",="0",="0",="189.7811",="0",="88.5463",="269.4113",="204.8797",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="15.6186",="0",="510.2599",="25.7051",="4142.1462",="201.271",="850.4233",="0",="0",="950.441",="0",="0",="0",="0",="0",="0",="11123.3833",="4544.0553",="5440.2698",="178.5176",="0",="8.7399",="3325.2174",="1794.5062",="0",="4128.0818",="1050.4222",="0",="866.7114",="11575.4248",="228.7464",="6267.869",="0",="0",="2487.5121",="3300.7694",="0",="367.8022",="542.1849",="0",="8165.0279",="2711.6908",="1439.5212",="0",="4339.5655",="0",="1000.2003",="0",="0",="0",="1755.8682000000001",="17572.0273",="10029.3993",="0",="601.7912",="4756.6954000000005",="2022.276",="3513.4703",="3229.0597",="1339.4949",="4115.5007",="3784.9268",="13413.5245",="3113.5838",="1694.6465",="4032.8587",="249.4945",="4468.4465",="653.1079",="0",="581.8253",="0",="0",="0",="5464.1211",="0",="1930.1638",="0",="0",="0",="184.2121",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="160.6153",="0",="0",="0",="0",="0",="195.5502",="0",="103.4043",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="805.2008",="0",="0",="0"
="scwm",="0",="0",="40.7757",="248.8293",="0",="4.8901",="4.0049",="0",="0",="0",="2.9982",="612.2028",="377.7322",="0",="135.0071",="171.3924",="0",="15.0116",="0",="1047.3728",="0",="0",="523.5389",="797.3812",="0",="319.0622",="0",="9.6351",="0",="0",="777.0494",="0",="0",="0",="364.1801",="902.8814",="514.704",="140.0801",="0",="62.4324",="497.0896",="31.7146",="25.5917",="821.8113999999999",="0",="446.4109",="0",="0",="0",="136.652",="274.685",="0",="0",="279.1544",="871.0873",="0",="0",="0",="438.7661",="636.2401",="783.5476",="5.6736",="852.8243",="33.0608",="362.3997",="571.3314",="202.3402",="0",="435.4916",="586.3859",="1666.182",="437.0775",="719.3594",="474.719",="1154.5198",="0",="0",="0",="763.1007",="70.113",="0",="158.6322",="0",="287.2303",="368.1385",="327.3785",="1565.1461",="388.1982",="582.6263",="0",="451.2694",="0",="390.779",="408.0003",="345.735",="235.0878",="576.4029",="371.5561",="830.3731",="501.6237",="0",="395.1471",="592.9273",="162.0358",="417.1916",="413.6809",="0",="0",="478.6646",="341.4272",="394.9628",="0",="55.3947",="1977.0321",="1094.9142000000002",="154.645",="605.7969",="2501.1053",="77.7345",="76.6614",="952.5642",="125.0912",="4019.5622000000003",="995.1091",="614.7787",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="18.5782",="155.596",="99.5263",="29.0556",="35.7396",="0",="50.9387",="223.1902",="10.0523",="221.601",="18.9267",="23.5746",="96.7643",="64.4245",="10.178",="12.4453",="0",="0",="45.7426",="276.5948",="136.0881",="0",="374.9244",="438.1676",="47.7382",="11.9589",="52.2821",="33.6717",="154.4653"
="VISpl6a",="0",="0",="0",="1682.0702",="0",="136.1168",="0",="0",="0",="2.2615",="0",="10.0362",="300.1459",="431.675",="0",="891.9105",="430.7437",="91.0307",="0",="0",="0",="0",="0",="428.4178",="898.7558",="69.2203",="162.4913",="0",="0",="723.6271",="0",="405.9051",="1103.1012",="0",="103.1354",="821.3269",="901.1441",="839.0748",="267.0028",="485.239",="651.4737",="253.6774",="854.1922",="496.9778",="198.8686",="0",="0",="0",="256.3266",="0",="0",="0",="357.0748",="0",="329.396",="0",="84.266",="0",="0",="0",="0",="888.5839",="0",="208.931",="240.9679",="27.6081",="847.2676",="644.8781",="0",="506.5608",="88.6309",="478.9399",="363.4609",="0",="0",="599.677",="0",="0",="0",="0",="415.8766",="0",="48.7117",="0",="0",="0",="326.0517",="0",="521.6826",="780.0123",="0",="280.5435",="232.114",="392.4652",="0",="0",="228.2914",="0",="533.1656",="0",="0",="0",="0",="0",="432.9941",="0",="0",="162.1681",="0",="2614.8724",="0",="1560.6221",="430.9143",="0",="869.3171",="810.819",="0",="46.8948",="243.5809",="421.1168",="0",="2442.6159",="5229.6789",="2451.3029",="300.324",="241.82",="557.955",="72.9607",="0",="126.4663",="0",="0",="0",="0",="629.551",="0",="577.2234",="0",="0",="80.5175",="304.233",="132.4192",="881.2247",="5.5626",="81.0111",="0",="292.1811",="351.6789",="258.6974",="149.9077",="877.553",="720.3359",="242.6242",="432.9628",="0",="1365.1311",="629.6984",="49.8186",="0",="286.1805",="1489.3915",="269.6216",="0",="1209.2376",="0",="0",="201.4586",="710.1744",="877.438",="0"
="VISpl6b",="0",="0",="0",="10.9268",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="109.9109",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="37.6391",="0",="0",="31.6629",="0",="0",="0",="0",="0",="36.919",="44.8314",="0",="0",="0",="0",="0",="50.4999",="0",="0",="0",="0",="0",="42.252",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14.4728",="0",="19.5712",="0",="0",="0",="0",="0",="0",="0",="0",="0",="124.0564",="0",="0",="0",="0",="0",="169.302",="0",="0",="0",="178.1744",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="489.1419",="0",="229.6568",="162.4022",="0",="98.597",="179.0356",="0",="0",="0",="0",="6.0504",="0",="1037.4382",="291.6581",="0",="90.657",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="132.6471",="0",="0",="0",="0",="0",="19.7562",="80.2694",="0",="0",="0",="0",="220.2146",="0",="0",="68.0054",="35.4127",="0",="0",="38.2683",="0",="0",="0",="48.8744",="0",="0",="144.5009",="82.1465",="44.2328",="0"
="ENTl2",="0",="0",="0",="0",="2952.8874",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1888.2887",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1320.5137",="1647.5938",="0",="0",="0",="460.773",="1723.2862",="125.5211",="665.8176",="0",="1490.5417",="3288.0609",="0",="0",="0",="0",="0",="0",="0",="0",="0",="641.2078",="0",="0",="0",="0",="15.9882",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="878.7772",="0",="0",="0",="0",="1.7393",="0",="0",="0",="387.7124",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl3",="0",="0",="0",="0",="2155.9726",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1366.1379",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6009.6687",="810.5274",="0",="0",="0",="446.8112",="1837.8491",="880.3833",="1000.0811",="0",="3451.5054",="2527.0163",="0",="0",="0",="0",="0",="0",="0",="0",="0",="302.2652",="0",="0",="0",="0",="343.3185",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1160.3201",="0",="0",="0",="0",="0",="0",="0",="0",="1078.855",="0",="0",="0",="0",="24.8564",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl5",="0",="0",="0",="0",="1611.662",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3501.4483",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1436.2042",="1131.4665",="0",="0",="265.1441",="181.1671",="1912.9725",="151.3859",="178.3759",="0",="2948.392",="1960.5432",="0",="1226.4405",="0",="0",="0",="0",="0",="0",="0",="1956.0118",="0",="0",="0",="0",="312.2013",="0",="0",="0",="0",="0",="0",="5.581",="0",="0",="0",="0",="0",="0",="188.525",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="378.9117",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1302.6234",="0",="0",="0",="0",="0",="0",="0",="0",="819.9655",="0",="113.3013",="0",="0",="659.753",="0",="0",="0",="0",="0",="0",="437.2244",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="394.6857",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm1",="0",="0",="0",="0",="49.961",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="37.0555",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="19.7847",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm2",="0",="0",="0",="0",="2949.9981",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="49.0019",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6724.846",="0",="0",="0",="106.1268",="0",="0",="843.3251",="0",="0",="0",="906.165",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="130.9902",="0",="0",="0",="0",="0",="0",="429.2777",="0",="0",="0",="0",="131.7325",="0",="20.5778",="524.4491",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="71.1338",="0",="213.9313",="0",="0",="0",="0",="0",="0",="28.1444",="0",="0",="0",="0",="0",="0",="0",="0",="22.063",="274.0029",="0",="0",="0",="0",="0",="0",="0",="0",="275.1384",="0",="0",="0",="0",="0",="0",="10.1818",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm3",="0",="0",="0",="0",="1532.5857",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="328.6646",="0",="0",="136.4987",="0",="0",="0",="299.9979",="0",="0",="0",="0",="0",="0",="0",="3288.1915",="0",="0",="0",="528.4919",="146.6159",="0",="1541.1419",="1045.1387",="0",="0",="576.2079",="0",="0",="0",="0",="0",="0",="0",="0",="0",="585.8419",="0",="0",="0",="0",="253.8146",="0",="0",="0",="0",="0",="0",="187.1632",="0",="0",="0",="0",="155.5864",="0",="293.7336",="228.233",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="85.8441",="0",="0",="258.8785",="0",="69.5596",="82.2117",="0",="0",="0",="0",="0",="456.6093",="0",="0",="0",="0",="0",="0",="0",="0",="814.3149",="0",="0",="0",="0",="0",="0",="0",="0",="0",="207.5124",="0",="421.6655",="0",="144.0095",="1771.7237",="0",="181.0956",="0",="0",="0",="0",="19.9881",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="72.25",="0",="0",="0",="0",="0",="417.5564",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm5",="0",="0",="0",="0",="406.8976",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="29.2258",="0",="0",="443.4826",="0",="0",="0",="122.4137",="0",="0",="0",="0",="0",="0",="0",="4065.0263",="445.2098",="0",="0",="167.417",="250.3985",="0",="498.7801",="129.9546",="0",="0",="1134.2299",="0",="697.5002",="0",="0",="0",="0",="0",="0",="0",="408.3697",="4.7377",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="259.0176",="0",="0",="0",="0",="109.3069",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="166.058",="0",="0",="263.7845",="0",="0",="1501.8218",="0",="0",="0",="0",="0",="365.8797",="0",="0",="0",="0",="0",="0",="0",="0",="1395.6443",="0",="0",="0",="0",="0",="0",="0",="0",="0",="24.1254",="0",="1861.4798",="0",="0",="2443.6305",="158.2952",="0",="0",="1185.7539",="0",="0",="284.6507",="0",="0",="0",="0",="0",="0",="381.1044",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="589.0006",="0",="0",="0",="0",="251.7307",="1155.6767",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd2/3",="0",="0",="0",="0",="306.7914",="0",="0",="0",="329.1936",="0",="2109.2515",="0",="0",="400.7242",="0",="0",="0",="0",="0",="0",="0",="26.932",="0",="0",="71.2603",="0",="0",="0",="0",="0",="1273.4038",="0",="0",="0",="0",="0",="340.0332",="0",="0",="0",="0",="0",="0",="0",="0",="46.9921",="0",="48.4721",="0",="0",="0",="1951.5665",="0",="0",="0",="0",="0",="0",="0",="622.7938",="11989.4578",="2039.9881",="4225.2267",="0",="4088.4503999999997",="6798.9958",="1115.1972",="0",="2719.1685",="226.3284",="0",="1187.6856",="3573.5568",="0",="1708.0208",="0",="0",="655.6149",="135.6727",="0",="234.344",="763.6986",="0",="749.4955",="15.9246",="0",="0",="0",="0",="1000.7525",="0",="0",="0",="3017.5496",="7661.8858",="2741.2905",="7.0809",="2636.9371",="2941.7286",="0",="338.5849",="3895.5072",="1525.7752",="3604.0058",="3895.1312",="1884.9732",="1418.9313000000002",="626.5213",="460.6376",="0",="679.2393",="0",="0",="0",="0",="0",="0",="355.8141",="0",="583.8526",="1075.2335",="3838.3283",="0",="0",="153.5858",="0",="20.9738",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv1",="0",="0",="0",="0",="43.9976",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="294.6913",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="407.6065",="0",="0",="0",="0",="0",="0",="0",="745.9231",="3408.7825",="144.9333",="4989.8822",="0",="152.52710000000002",="2565.4828",="0",="0",="6369.8409",="0",="0",="42.7927",="405.7086",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1266.8035",="292.9318",="0",="0",="0",="0",="0",="0",="217.6348",="0",="54.1671",="0",="0",="194.7519",="0",="0",="0",="0",="0",="894.4109",="719.123",="3401.4973",="578.2363",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1331.2019",="10.3447",="0",="325.9914",="0",="0",="0",="4232.7095",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv2/3",="0",="0",="0",="0",="933.5529",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="723.8219",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1693.6239",="0",="0",="0",="0",="0",="0",="0",="1596.0556",="1433.7769",="395.2272",="3494.0755",="0",="326.34720000000004",="275.8776",="0",="0",="15.8406",="0",="0",="9.6642",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="40.9582",="568.4841",="131.8227",="0",="0",="14.97",="0",="0",="0",="21.8003",="16.1211",="106.4468",="0",="0",="289.5912",="0",="0",="43.8709",="0",="0",="268.2928",="78.0668",="936.0527",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="102.2795",="1548.567",="270.4068",="51.0385",="0",="0",="0",="3348.2569",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
