 ,221057_135,221057_154,221057_160,221481_118,221481_258,221701_050,221701_055,230066_083,230066_125,231687_007,233379_034,233379_047,233379_114,233379_115,233379_124,233379_131,233668_046,233668_061,233668_075,233668_096,233795_009,221090_095,221090_097,221090_098,221091_154,221417_015,221417_016,221418_128,221418_129,221418_139,221478_278,221480_100,221702_004,231685_255,231685_273,233379_030,233379_036,233379_040,233379_097,233379_102,233379_107,233379_109,233379_118,233379_130,233379_142,233380_092,233380_093,233666_139,233666_190,221090_093,221091_113,221091_125,221091_141,221418_001,221418_127,221418_131,221418_132,221418_135,221418_136,221418_138,221418_150,221426_062,221479_170,221479_185,221479_236,221481_137,221515_017,231685_244,231687_014,233379_123,233666_049,233666_201,233667_154,233667_217,233667_256,233667_269,233667_289,233667_297,221065_081,221065_082,221091_171,231687_028,233284_183,233667_270,233668_104,221365_072,233666_146,233667_136,233667_171,233667_218,233667_221
="VISl5",="4",="0",="4",="0",="0",="0",="10",="0",="3",="0",="0",="2",="0",="0",="0",="1",="0",="1",="33",="1",="5",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="2",="3",="2",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="2",="4",="1",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="2",="4",="0",="0",="4",="0",="0",="0",="0",="2",="0",="0",="3",="6",="16",="4",="3",="6",="0",="4",="0",="2",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="12",="8",="3",="42",="43",="14",="20",="36",="34",="30",="42",="45",="24",="5",="14",="28",="4",="6",="32",="26",="37",="19",="13",="1",="8",="104",="65",="35",="11",="8",="87",="49",="7",="38",="35",="40",="38",="2",="18",="1",="6",="2",="8",="34",="0",="16",="49",="36",="58",="35",="36",="16",="34",="44",="3",="23",="15",="9",="7",="10",="41",="36",="39",="38",="165",="113",="33",="10",="79",="22",="5",="71",="5",="20",="53",="41",="41",="38",="362",="74",="12",="0",="54",="12",="2",="0",="7",="0",="0",="2",="2"
="VISp2/3",="9",="73",="18",="65",="52",="62",="19",="8",="25",="36",="39",="18",="29",="2",="32",="75",="19",="7",="11",="56",="19",="2",="2",="0",="3",="21",="18",="36",="10",="20",="43",="10",="3",="5",="1",="10",="4",="1",="5",="9",="3",="2",="3",="20",="1",="11",="26",="19",="58",="14",="16",="13",="16",="13",="1",="15",="10",="3",="0",="2",="0",="19",="38",="3",="21",="60",="29",="1",="13",="6",="1",="6",="2",="5",="8",="4",="5",="48",="52",="198",="22",="1",="2",="4",="5",="0",="0",="0",="1",="0",="0"
="VISp4",="0",="11",="5",="12",="15",="4",="15",="22",="15",="9",="17",="14",="11",="3",="4",="9",="2",="0",="3",="3",="4",="19",="1",="6",="2",="31",="28",="11",="5",="13",="29",="31",="6",="18",="20",="9",="7",="15",="11",="21",="18",="4",="22",="63",="4",="39",="36",="12",="44",="19",="11",="12",="4",="13",="1",="16",="1",="3",="0",="8",="9",="12",="20",="10",="56",="17",="21",="25",="31",="17",="3",="5",="6",="0",="2",="3",="0",="2",="126",="99",="5",="8",="2",="3",="2",="0",="11",="1",="11",="0",="1"
="VISp5",="1",="25",="19",="51",="10",="3",="7",="14",="47",="2",="10",="7",="5",="4",="6",="13",="13",="5",="24",="17",="12",="16",="1",="4",="12",="11",="5",="22",="9",="33",="15",="25",="6",="4",="5",="1",="1",="2",="1",="5",="3",="0",="2",="17",="3",="3",="2",="13",="17",="35",="13",="26",="13",="26",="14",="48",="8",="21",="1",="12",="15",="12",="30",="9",="79",="48",="19",="23",="33",="12",="8",="15",="44",="6",="8",="12",="3",="11",="192",="24",="10",="17",="2",="34",="15",="2",="9",="8",="47",="28",="19"
="VISpl1",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="1",="0",="1",="0",="0",="14",="28",="16",="4",="0",="0",="3",="5",="10",="0",="11",="19",="8",="0",="25",="0",="0",="5",="4",="0",="37",="0",="0",="4",="8",="0",="9",="33",="3",="0",="0",="0",="1",="6",="0",="13",="5",="0",="0",="0",="14",="42",="0",="0",="0",="11",="0",="10",="10",="0",="0",="0",="1",="0",="0",="42",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0"
="VISpl2/3",="11",="0",="0",="0",="7",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="9",="4",="0",="0",="0",="0",="0",="2",="19",="2",="0",="0",="9",="14",="5",="0",="7",="9",="1",="0",="12",="0",="0",="5",="1",="0",="28",="0",="0",="11",="6",="0",="4",="48",="4",="1",="0",="0",="2",="7",="0",="2",="6",="0",="0",="0",="11",="0",="0",="0",="0",="12",="0",="7",="14",="0",="1",="1",="2",="1",="0",="13",="0",="5",="3",="0",="3",="0",="0",="0",="0",="0",="0",="0"
="VISpl4",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="1",="4",="1",="0",="2",="0",="0",="0",="0",="0",="2",="0",="0",="1",="1",="0",="0",="5",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpl5",="13",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="12",="4",="1",="3",="0",="0",="0",="0",="2",="0",="0",="0",="7",="5",="0",="0",="0",="5",="4",="0",="7",="0",="0",="0",="1",="0",="4",="0",="0",="1",="6",="0",="2",="13",="2",="0",="0",="0",="1",="8",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="1",="1",="0",="0",="0",="1",="1",="0",="19",="0",="6",="9",="0",="6",="0",="0",="0",="0",="0",="0",="0"
="VISli5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="1",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
