 ,195049_023,195616_035,200199_069,200579_032,221729_037,194528_009,195047_007,195047_009,195049_033,195049_036,195051_005,195051_019,195051_025,195051_028,195199_019,195199_020,195199_046,195199_050,195199_081,195614_028,195615_012,195618_027,195620_013,195828_056,195839_015,195840_004,195840_107,196548_028,196550_026,200194_058,200194_093,200194_105,200195_005,200195_007,200195_012,200195_015,200195_016,200195_019,200195_023,200196_060,200196_088,200197_001,200197_015,200197_020,200197_026,200197_028,200197_043,200198_019,200198_024,200198_025,200198_029,200198_038,200198_043,200199_008,200199_011,200199_020,200199_023,200199_034,200199_040,200199_061,200199_067,200293_061,200321_008,200321_041,200323_006,200325_003,200579_017,201390_019,201390_022,201760_001,201760_006,220188_022,220189_035,220189_097,220191_063,220191_079,220192_035,220192_069,220192_107,220193_014,221224_143,221224_459,221224_464,221224_484,221224_493,221224_494,221225_226,221423_109,221423_140,221424_014,221424_057,221472_019,221472_021,221531_118,221531_123,221703_335,221703_349,221703_356,221703_359,221703_371,221703_379,221703_380,221703_448,221729_033,195199_039,195830_026,195831_037,200324_007,220188_071,220189_009,195047_033,195049_001,195828_052,195838_030,195839_022,200194_097,200196_041,200197_005,200198_015,201390_007,220188_054,220192_063,220193_011,220193_012,221224_144,221224_428,221224_439,221224_486,221224_496,221225_094,221225_098,221225_099,221225_100,221225_102,221225_104,221225_107,221225_108,221225_119,221225_120,221225_142,221225_148,221225_185,221225_196,221225_199,221225_200,221225_201,221225_235,221423_125,221424_002,221424_023,221531_133,221531_171
="SSp-bfd2/3",="0",="0",="0",="32.4677",="0",="0",="0",="0",="0",="0",="0",="0",="762.7987",="1314.3012",="459.4066",="0",="0",="0",="0",="0",="0",="524.7138",="0",="0",="284.4121",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1474.3403",="0",="1435.838",="13.2785",="425.7955",="15095.352",="400.3829",="293.9927",="0",="0",="0",="0",="0",="0",="0",="289.6485",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="256.8042",="0",="0",="0",="0",="0",="0",="0",="764.9314",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd4",="0",="0",="0",="494.5333",="0",="0",="0",="0",="0",="0",="0",="0",="993.4214",="476.7735",="258.7145",="0",="0",="0",="0",="204.5828",="0",="316.6007",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="78.4179",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="228.2998",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="226.1383",="0",="823.6029",="0",="1150.9011",="3881.7014",="0",="603.1161",="0",="0",="0",="0",="0",="67.9614",="0",="274.4221",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="38.242",="0",="0",="0",="0",="0",="0",="0",="142.1961",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="469.3718"
="SSp-bfd5",="0",="0",="0",="1289.0838",="0",="0",="0",="0",="0",="0",="0",="0",="696.2214",="1443.2589",="107.0153",="0",="0",="0",="0",="54.3908",="350.2762",="460.8444",="896.0094",="148.9103",="0",="0",="0",="436.7222",="0",="173.9606",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="12.8069",="354.3859",="0",="0",="0",="0",="0",="664.4756",="0",="0",="0",="5.2459",="72.8072",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="150.3409",="1700.2261",="0",="0",="0",="0",="359.1368",="0",="0",="0",="0",="0",="0",="0",="482.9387",="0",="2174.1061",="2634.5793",="287.766",="727.1468",="87.9643",="0",="47.7453",="0",="0",="190.046",="0",="294.3597",="732.3842",="0",="0",="0",="0",="0",="115.5866",="36.8489",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="559.9811",="0",="0",="0",="25.6854",="0",="701.5875",="0",="0",="0",="0",="0",="0",="0",="167.3506",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3524.1561"
="SSp-bfd6a",="0",="0",="0",="3423.0484",="0",="3887.8002",="0",="0",="0",="0",="655.1123",="0",="2891.8128",="402.0589",="0",="0",="0",="0",="0",="0",="348.3501",="2212.4801",="4623.1258",="1752.0122",="0",="7229.0306",="382.2469",="969.6964",="0",="464.7385",="173.6361",="807.1906",="1182.1365",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="543.1034",="0",="1409.0764",="1267.1542",="0",="782.4689",="0",="536.7243",="0",="4254.3666",="0",="0",="0",="685.0005",="422.8835",="0",="0",="0",="1486.9741",="0",="0",="0",="0",="0",="4.4148",="0",="0",="2760.6304",="306.9369",="0",="0",="0",="0",="1344.0219",="0",="1101.0195",="917.5016",="0",="0",="0",="0",="2726.7887",="0",="8574.7629",="4014.9632",="2934.2478",="1200.4205",="1294.637",="445.99",="546.9727",="0",="0",="2132.8024",="0",="413.9158",="695.606",="0",="0",="0",="0",="0",="2967.6538",="2099.0877",="0",="902.9706",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3028.3629",="0",="0",="0",="105.0575",="1449.8171",="0",="0",="1492.4005",="0",="0",="0",="0",="0",="1852.5663",="0",="0",="0",="0",="0",="0",="0",="1556.2717",="0",="0",="0",="0",="3154.7025"
="SSp-bfd6b",="0",="0",="0",="47.477",="0",="18.496",="0",="0",="35.9313",="0",="0",="0",="135.7424",="0",="0",="0",="0",="0",="0",="0",="0",="15.1651",="1343.4074",="310.3237",="0",="836.7587",="28.0379",="0",="0",="0",="0",="382.8457",="259.8897",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="73.8437",="0",="646.6918",="0",="0",="471.7772",="0",="168.3356",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="183.0217",="0",="0",="0",="0",="0",="0",="0",="0",="101.1087",="0",="0",="0",="0",="0",="309.8933",="0",="0",="0",="0",="0",="0",="0",="53.4923",="194.0656",="975.0843",="205.5613",="196.9296",="34.6668",="408.4776",="303.5366",="0",="0",="0",="0",="0",="40.2071",="0",="0",="0",="0",="0",="0",="338.9588",="92.3615",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1054.7739",="0",="0",="0",="0",="32.5202",="0",="0",="731.8827",="0",="0",="0",="0",="0",="602.0301",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll1",="0",="0",="0",="1079.7951",="0",="0",="0",="0",="5265.311299999999",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3739.0108",="0",="2554.6512000000002",="0",="0",="0",="0",="0",="6682.2421",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="624.6154",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1485.3792",="0",="0",="0",="7817.3865",="0",="0",="389.7635",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="900.2003",="2144.1479",="0",="0",="0",="0",="0",="1332.1491",="0",="0",="558.2003",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1229.1236",="0",="0",="189.4419",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll2/3",="0",="0",="0",="135.0599",="0",="0",="0",="0",="58.0351",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="198.7963",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="328.2752",="0",="0",="0",="4338.9232",="0",="0",="34.7065",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll5",="0",="0",="0",="573.4695",="0",="0",="0",="0",="0",="0",="683.2477",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="599.5879",="0",="130.1737",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="308.5614",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1111.8433",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="397.4076",="0",="145.831",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ll6a",="0",="0",="0",="2566.7054",="0",="746.4898",="125.5043",="0",="596.1981",="0",="1705.2557",="0",="0",="0",="163.0298",="752.0533",="97.46",="0",="807.727",="681.2373",="80.5232",="534.5891",="2695.5978",="1333.304",="0",="1149.0209",="607.6081",="710.0799",="719.8575",="917.9299",="629.9831",="0",="1064.8662",="0",="0",="0",="0",="846.7634",="0",="0",="0",="0",="0",="0",="0",="0",="0",="121.0659",="13.0553",="0",="955.3397",="860.502",="0",="673.9398",="135.1939",="0",="0",="1606.492",="0",="0",="4.2018",="0",="1948.4653",="1062.8056",="0",="882.7897",="0",="0",="13.1065",="12.7548",="0",="1727.3764",="1553.2928",="0",="0",="0",="435.4744",="0",="0",="0",="643.3562",="380.7221",="567.0061",="963.6386",="160.8282",="1959.4313",="1042.9822",="1676.0725",="1270.1095",="586.7453",="255.864",="0",="848.5489",="0",="0",="0",="744.0311",="0",="239.3607",="1004.7519",="60.6152",="95.4977",="853.0964",="0",="0",="1010.1542",="1182.2448",="0",="239.9907",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1817.2936",="0",="292.0675",="0",="244.5774",="0",="0",="0",="1063.7198",="7.9577",="618.0183",="0",="0",="0",="0",="0",="301.2302",="324.0616",="0",="330.6869",="0",="0",="5.6443",="0",="499.3624",="21.3665",="0",="0",="0",="0",="0",="14.0307"
="SSp-ul1",="0",="0",="0",="1425.9458",="0",="0",="0",="0",="71.2692",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6.463",="0",="4545.7547",="0",="0",="0",="0",="0",="7081.3654",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="548.3632",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1808.0065",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1662.5442",="3603.1575",="0",="0",="0",="0",="0",="0",="0",="0",="8087.3253",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
