 ,212071_018,212071_019,212071_025,212071_026,212071_027,212071_030,212071_031,212072_018,212072_019,220237_004,220237_006,220237_007,220237_015,221043_001,221043_002,221043_009,221043_010,221043_012,221043_013,221043_014,221043_016,221043_021,221043_023,221043_027,221043_030,221043_032,221043_033,221043_034,221067_018,221067_021,221067_033,221068_026,221068_031,221068_034,221068_037,221068_040,221068_045,221068_047,221068_048,221068_051,221068_056,221069_012,221069_019,221069_023,221069_025,221069_031,221069_033,221069_034,221069_035,221069_038,221069_045,221069_052,221069_065,221070_004,221070_016,221070_023,221070_027,221070_030,221070_032,221070_033,221070_042,221070_046,221070_047,221070_048,221070_049,221070_052,221070_064,221070_065,221070_067,221070_079,221070_083,221070_088,221070_107,221070_111,221070_112,221070_113,221070_117,221070_119,221070_120,221070_131,221070_139,221070_141,221070_185,221070_230,221071_002,221071_003,221071_005,221071_006,221071_009,221071_010,221071_012,221071_013,221071_014,221071_015,221071_016,221071_019,221071_020,221071_021,221071_022,221071_023,221071_026,221071_031,221071_032,221071_033,221071_043,221071_052,221071_054,221071_055,221071_057,221071_058,221071_060,221071_061,221071_072,221071_074,221071_076,221071_079,221071_081,221071_083,221071_084,221071_090,221071_091,221071_094,221071_102,221071_104,221071_105,221072_031,221072_032,221072_177,221072_204,221072_276,221073_002,221073_005,221073_006,221073_008,221073_010,221073_011,221073_013,221073_014,221073_016,221073_017,221073_018,221073_019,221073_022,221073_024,221073_025,221073_026,221073_028,221073_030,221073_031,221073_033,221073_034,221073_038,221073_051,221226_006,221365_093,221365_094,221365_115,221365_116,221365_117,221365_118,221365_119,221365_121,221365_122,221365_124,221365_125,221366_026,221366_033,221366_035,221366_037,221477_065,221478_367,221480_070,221480_078,221481_161,221481_165,221481_167,221481_171,221481_272,221481_284,221481_301,221509_249,221518_007,221518_073,221518_074,221518_075,221518_076,221518_078,221518_082,221518_092,221518_097,221518_103,221518_104,221518_106,221518_108,221518_113,221519_016,221519_018,221519_019,221519_032,221519_033,221519_034,221519_077,221520_037,221520_038,221520_039,221520_041,221520_063,221586_088,221586_089,221608_002,221608_008,221608_010,221608_011,221642_620,221705_045,221706_414,221706_426,221706_428,221706_431,221706_432,221706_433,221706_434,221706_435,221706_438,221706_439,221706_485,221706_486,221706_488,221713_011,221713_012,221716_044,221716_047,221737_003,221755_060,221755_066,221755_067,221755_069,221755_074,221755_078,221759_001,221759_003,221759_004,230010_028,230010_029,230010_030,230010_031,230010_032,230010_033,230010_034,230010_035,230010_057,230010_058,230011_052,230011_055,230011_056,230011_058,230011_059,230011_061,230011_066,230011_069,230011_071,230011_072,230011_073,230011_077,230011_079,230011_082,230011_084,230011_087,230011_088,230011_096,230011_102,230011_103,230011_113,230011_114,230011_115,230011_116,230011_118,230011_119,230011_123,230011_124,230011_127,230011_128,230011_129,230011_130,230011_131,230011_132,230011_133,230011_134,230011_135,230011_137,230011_138,230011_139,230011_140,230011_141,230011_142,230011_143,230011_144,230011_145,230011_146,230011_147,230011_148,230011_149,230011_151,230011_153,230011_154,230011_155,230011_161,230011_162,230011_163,230011_165,230011_166,230011_169,230011_171,230011_220,230011_221,230011_222,230011_223,230011_224,230011_225,230011_229,230011_230,230011_231,230060_001,230060_002,230060_005,230060_006,230060_007,230060_008,230060_012,230060_016,230060_019,230060_020,230060_021,230060_028,230060_030,230060_031,230060_032,230060_033,230060_034,230060_035,230060_038,230060_040,230061_001,230061_002,230061_031,230061_032,230114_026,231569_026,231569_027,231685_295,231685_312,233795_067,233795_070,233795_118,220235_010,220235_011,220238_021,221043_004,221043_006,221068_002,221068_012,221068_025,221068_029,221068_062,221068_068,221069_001,221069_005,221069_009,221069_010,221069_022,221069_026,221069_027,221069_041,221069_042,221070_214,221071_030,221071_042,221071_047,221071_062,221071_096,221071_108,221071_111,221071_116,221089_001,221089_002,221089_003,221089_004,221089_007,221089_009,221089_013,221089_029,221089_030,221089_031,221089_032,221089_116,221090_079,221090_081,221090_115,221092_001,221365_023,221365_095,221366_025,221368_003,221420_045,221450_034,221456_031,221456_043,221467_028,221467_029,221467_030,221467_031,221471_085,221471_086,221471_087,221471_095,221471_096,221471_101,221471_103,221478_135,221478_621,221478_624,221478_673,221478_674,221478_846,221478_847,221480_080,221480_081,221480_082,221480_084,221480_087,221480_088,221481_143,221481_144,221481_149,221481_153,221481_157,221481_158,221481_160,221481_170,221481_172,221481_269,221518_077,221518_079,221519_028,221519_035,221586_090,221608_001,221608_003,221608_004,221608_005,221608_006,221608_007,221608_009,221705_048,221755_037,221755_038,221755_040,221755_061,221755_062,221755_071,221759_010,230011_105,230011_136,230060_022,230060_036,230060_037,230060_039,230109_009,230109_017,231685_293,231685_297,231685_299,231686_016,231686_017,231686_018,231686_020,231686_027,231686_028,231686_029,231686_030,212065_001,212071_022,220235_058,220237_008,220237_030,220238_007,220238_059,221067_036,221070_013,221089_006,221089_008,221089_016,221089_017,221090_109,221090_114,221226_004,221365_123,221456_117,221467_032,221467_033,221468_001,221468_002,221468_003,221468_004,221468_005,221478_722,221525_020,231569_059,220235_060,220235_064,221525_019,221534_061,233283_014,212065_003,212066_011,220235_012,220235_013,220238_002,221068_001,221068_007,221069_056,221070_014,221070_015,221070_126,221070_211,221070_212,221070_213,221070_225,221071_040,221072_046,221072_085,221072_211,221072_236,221072_237,221072_240,221072_241,221072_245,221224_001,221224_002,221224_003,221224_004,221224_006,221224_007,221224_012,221224_013,221224_018,221224_019,221224_042,221225_150,221225_229,221365_019,221365_026,221368_002,221368_004,221368_005,221368_006,221368_007,221422_029,221422_030,221426_081,221450_033,221456_028,221456_032,221456_033,221476_151,221512_066,221512_071,221512_072,221512_075,230109_015,233282_083,233282_085,220235_059,220237_009,221534_084,221534_089,233282_057,233282_058,233282_084,233283_005,233794_031,233794_036,233794_039,233794_044,233794_046
="SSp-bfd1",="2952.38",="1481.2554",="6871.2125",="8205.7997",="6452.9203",="16184.1108",="2290.3224",="1849.352",="139.393",="5620.6228",="0",="0",="98.4758",="3398.2145",="8445.5496",="10199.1567",="7194.3949",="8149.9767",="8331.925",="1799.7007",="4166.9082",="8892.523",="2003.3068",="2323.8229",="10510.2115",="7472.0261",="10398.0013",="3637.5577",="683.4492",="1878.4636",="8829.8824",="47.8318",="945.0744",="1422.4195",="304.6379",="2116.3318",="85.3297",="43.4692",="433.6213",="0",="2053.9502",="1192.315",="136.9341",="1546.443",="82.072",="23113.0023",="1567.6319",="3252.5848",="2881.9081",="6238.4454",="2908.263",="472.9363",="862.4801",="2554.8342",="317.2929",="919.4302",="683.2227",="3578.278",="3500.3602",="6948.7457",="1643.7843",="701.42",="4141.7259",="264.7821",="656.2664",="3059.4447",="1324.0802",="574.1401",="1767.2561",="114.1636",="1451.9718",="4675.0954",="8909.112700000001",="355.8844",="3511.4578",="23.2672",="2937.8534",="370.7759",="2228.752",="2177.5399",="2272.3524",="286.6982",="102.7238",="5940.3693",="752.3682",="4.4441",="207.5701",="1268.5707",="0",="627.2717",="753.9595",="2370.5048",="359.9266",="3085.9905",="5452.5707",="72.1062",="989.7016",="1360.1709",="1136.3996",="3313.8555",="104.2288",="1347.3025",="0",="657.0375",="239.4462",="1068.9014",="373.3818",="25.3648",="366.5397",="1440.7653",="741.8124",="345.1875",="1316.2791",="757.5801",="8887.9013",="0",="104.4722",="707.0899",="2091.9315",="150.3292",="649.0146",="553.9034",="0",="0",="42.9796",="0",="0",="407.2104",="1444.6639",="1411.3913",="1379.7365",="3548.2546",="6711.8221",="2898.4713",="739.7819",="2570.3394",="278.4649",="2375.9257",="7781.1443",="1395.3197",="456.9515",="906.0662",="1724.5183",="6223.8599",="1103.0582",="3580.149",="961.6283999999999",="4466.7926",="5426.9964",="882.7345",="2298.3112",="20.0263",="202.613",="5190.9497",="0",="0",="1835.4636",="562.0483",="416.1024",="730.2165",="14.4366",="724.9881",="216.0464",="3749.7333",="4708.4983",="117.4617",="1249.2014",="607.1995",="0",="1347.1857",="2666.5783",="547.4452",="1262.97",="11.4438",="497.3972",="2266.8793",="324.3562",="2877.6879",="438.8419",="6095.7732",="14887.8449",="4781.375",="5216.7862",="8792.0842",="5005.0341",="15758.3648",="12239.2763",="16311.4716",="4855.519",="7123.9098",="6642.7309",="165.1381",="3233.3344",="10611.2183",="14860.5798",="8387.8538",="8696.049",="6870.450699999999",="8462.6054",="6794.9645",="5003.6434",="2111.6787",="5078.9409",="1031.5692",="106.8212",="771.8301",="721.2439",="6440.5874",="1635.9361",="8238.8729",="10360.7144",="1404.8438",="2985.2398",="10388.7032",="1660.4983",="488.5355",="5673.4614",="1539.847",="8289.9734",="1171.2258000000002",="6043.1917",="557.4179",="4957.3477",="8189.6205",="6271.8218",="14229.9415",="5405.3105",="9945.4944",="17568.1804",="7361.9107",="9088.0801",="1875.9699",="2239.6814",="378.6984",="346.4228",="439.5124",="2829.2517",="295.5378",="1971.3693",="6484.7907",="4409.0245",="4660.5396",="4244.914",="9040.6312",="6392.8516",="7065.0811",="123.9161",="5990.789",="1650.5851",="5147.7857",="1828.9753999999998",="2150.7081",="474.694",="0",="998.4705",="3434.9479",="4630.1687",="5531.5158",="2462.8241",="34.8748",="4449.5414",="2386.3321",="5482.0062",="263.5958",="6969.784299999999",="887.5013",="1409.3054",="1551.1884",="2797.7726",="7749.427",="427.23",="458.3818",="943.1202",="1812.8265000000001",="86.131",="592.8773",="1557.9715",="0",="716.9076",="834.615",="441.3511",="1520.112",="11.7201",="935.2921",="1690.2562",="1265.8679",="12.9859",="995.9529",="604.9877",="0",="143.5208",="0",="47.7694",="2483.1437",="250.2319",="299.1414",="1097.5477",="6038.5903",="0",="0",="3489.7587999999996",="994.0501",="496.3102",="236.94729999999998",="82.723",="1134.2293",="146.2634",="707.0017",="1472.0459",="221.5798",="64.0307",="28.512",="5661.0144",="0",="93.4437",="260.6248",="2158.8684000000003",="616.5429",="1213.0604",="439.1302",="23.2557",="1814.8466",="19301.051",="4635.6443",="2392.5984",="2110.8801",="528.0478",="3457.2478",="1209.4314",="937.6567",="1215.0969",="1429.569",="2199.4575",="824.7641",="5301.6539999999995",="2798.6123",="821.6806",="5265.4536",="1759.8717000000001",="1485.2545",="2071.6567",="239.4669",="8182.3854",="7541.144",="2711.5735",="1394.6507",="2942.5264",="5535.1102",="3522.004",="186.0542",="374.0386",="6269.7451",="6672.9244",="4145.0746",="0",="888.1823",="6032.3088",="8419.3283",="1949.1447",="1085.1182",="68.8097",="66.1664",="6478.1135",="3022.8702",="12733.3566",="193.2373",="258.9986",="413.9352",="614.7306",="488.9163",="10378.9232",="698.8004",="4124.31",="2602.7164",="3775.9014",="1035.5631",="0",="1052.4745",="719.8292",="71.062",="1020.4157",="2322.5461",="363.6268",="1568.6085",="390.0374",="6086.3814999999995",="299.4058",="1065.7462",="1822.7312",="101.0306",="2403.2579",="7.1947",="238.885",="2128.1531",="732.8677",="7066.9937",="8619.9994",="16295.1335",="1833.3036",="6394.391",="4079.6531",="15930.0521",="407.0524",="17174.2778",="3365.5144",="15733.59",="9088.9872",="56570.304000000004",="73692.23819999999",="416.2378",="30950.5116",="26614.0215",="52088.9686",="13566.1105",="21249.582",="24001.8884",="52196.1327",="10785.2577",="4708.9133",="8358.579",="15473.6824",="386.6129",="441.08",="5356.7627",="8459.4894",="10820.5253",="3794.5282",="7435.6805",="1941.7249",="4694.1098",="1946.0866",="2899.8787",="2489.8713",="13900.2305",="20325.7366",="2984.1265",="4755.2429",="265.0546",="1706.0672",="420.2636",="25944.260199999997",="2508.8356",="2235.1257",="5350.0704",="9628.1134",="645.6593",="2408.1243",="7214.8036",="22531.5109",="6735.6507",="20445.8157",="4847.7609",="6572.651",="4407.256",="4152.9308",="15194.763",="372.2436",="3274.7741",="12025.1553",="21413.9779",="90.1329",="1321.1692",="198.7724",="2058.2486",="2779.0643",="0",="1509.9521",="3279.2393",="5195.2445",="7056.1204",="543.5258",="25.9186",="456.3165",="108.3514",="9077.7795",="191.9517",="94.4505",="219.254",="0",="0",="172.1474",="7946.3685",="537.2145",="314.1535",="0",="1072.3814",="1003.4062",="25004.5396",="6384.5729",="666.9294",="9142.6412",="2804.5588",="0",="3181.2066",="0",="237.74110000000002",="5555.5099",="9738.7663",="13270.8139",="6740.7907000000005",="1812.1245000000001",="18598.8382",="9971.5123",="19964.519800000002",="20597.292699999998",="87993.66200000001",="6401.7091",="20968.0815",="0",="0",="0",="535.2312",="8576.0163",="0",="1981.3568",="0",="0",="0",="0",="963.5463",="477.4144",="0",="0",="0",="0",="125.4719",="0",="0",="0",="0",="205.3",="0",="0",="0",="0",="0",="697.8978",="1177.8243",="2675.1394",="0",="1412.337",="1343.5915",="0",="1279.8057",="1505.0325",="0",="28.0141",="307.3011",="0",="156.5994",="0",="0",="443.2826",="1032.144",="1228.3446",="0",="760.3787",="468.9892",="2605.7891",="936.1627",="0",="0",="0",="0",="0",="0",="899.0728",="847.208",="1164.1358",="3877.8466",="0",="0",="0",="163.3563",="0",="9920.7627",="0",="0",="274.2271",="0",="0",="0",="0",="0",="0"
="SSp-bfd2/3",="7371.116",="7176.7733",="13448.409",="4575.9717",="8836.7948",="4095.435",="11560.5987",="10987.9211",="1712.2552",="16205.5097",="99.352",="243.9508",="7934.3906",="15119.802",="14838.0725",="9646.8286",="12873.1313",="20747.1044",="7373.8235",="4109.5424",="8008.8514",="4728.6712",="5860.645",="9098.7969",="2273.1502",="5280.5524",="10206.9631",="7603.3268",="1782.4304",="13793.5313",="18536.5246",="1502.1208",="10108.7479",="10155.4565",="1067.5417",="6290.7063",="3840.1825",="4107.6593",="5005.1205",="360.6175",="6085.2659",="5938.3225",="2152.3453",="6413.7047",="2333.0283",="38984.0453",="11235.3596",="11512.4931",="14486.8093",="0",="7092.5811",="5082.1998",="7827.8035",="6904.2465",="3679.3243",="9212.9977",="1586.9955",="4851.3022",="7323.2118",="4172.6943",="3602.0148",="2482.4763",="3319.2387",="2994.5557",="6689.4525",="14068.0367",="6450.5228",="8437.4205",="7578.1509",="713.8442",="11186.9685",="6260.984",="13856.0867",="7003.743",="8082.9099",="625.3392",="7247.2406",="4903.9052",="16977.785",="10585.3193",="3700.1436",="2201.619",="352.3832",="3731.6802",="2074.8187",="705.5403",="657.2453",="4137.7475",="402.4015",="1995.3943",="3550.6881",="4126.0853",="2882.2941",="5938.469",="8472.183",="549.9919",="1942.05",="5442.1464",="5089.7016",="6178.7396",="2164.097",="12834.9015",="741.0884",="5352.9952",="1934.8176",="2462.646",="601.4798",="325.3582",="3299.7722",="2943.6196",="8078.6154",="4487.2366",="2431.8178",="5651.6096",="40860.4177",="700.9925",="601.6401",="4181.6399",="1145.4351",="2423.5449",="1583.6596",="2555.9633",="160.5273",="350.4593",="2763.1201",="215.6107",="99.2088",="555.5611",="9074.2178",="1038.1592",="1752.5621",="6821.8498",="7173.8519",="13930.8714",="1327.6046",="2498.3854",="11763.0032",="3806.9434",="7435.9816",="5176.5338",="1930.6485",="2909.7514",="1627.3224",="5065.6837",="3601.6622",="5461.192",="4683.8362",="14970.8956",="9379.6253",="10195.9482",="18223.5566",="10723.0369",="1643.0138",="1430.6802",="216.3965",="1159.4641",="11704.7183",="4208.7551",="2410.4639",="2696.52",="749.9788",="8942.4314",="6155.2332",="5949.9907",="5273.8708",="1515.8186",="7533.4404",="1551.7315",="240.635",="10346.6497",="9687.1901",="15087.7054",="11630.543",="4031.7143",="4061.3103",="9727.2021",="10346.3718",="12422.157500000001",="4557.8562",="9600.6333",="13864.9897",="2243.7641",="18387.9088",="20871.5718",="17124.9202",="4579.4031",="19012.483200000002",="4126.5209",="5092.4495",="4583.5495",="5231.4891",="846.7343",="5600.2691",="4763.0126",="10251.5882",="5023.7107",="9103.8474",="12687.6946",="12055.7783",="12627.4707",="16901.6047",="2073.5141",="14844.0971",="13684.8472",="2226.3596",="9994.4607",="9770.7409",="6955.203",="10869.2277",="12538.0719",="13680.051",="3972.9641",="8109.2345",="8854.3041",="8661.5238",="1296.4823",="8982.3416",="15039.4548",="6257.624",="16132.5823",="17690.4344",="4410.6422",="2233.7897",="5589.2084",="10827.4193",="10196.7822",="8587.5563",="7249.6719",="11621.1925",="15417.0236",="7118.3761",="12929.5651",="4759.2435",="7268.5006",="3001.9214",="3696.1723",="7178.9256",="1334.2758",="9530.9547",="16596.4251",="9066.3156",="24736.5693",="1882.1417",="1971.1548",="7818.3023",="5749.1634",="827.0575",="6659.9032",="2611.4277",="3761.6206",="1879.8477",="2126.4956",="2849.7447",="973.1743",="8211.5372",="6468.1492",="22077.697",="17331.3947",="3711.0674",="385.066",="998.176",="5092.6381",="4918.2536",="1583.1188",="18214.123",="7613.057",="5591.5009",="2373.5124",="13055.8446",="1936.8496",="4949.5851",="4892.357",="1499.2263",="4622.4141",="810.4808",="3953.7725",="20096.357900000003",="2531.7816",="11838.866",="2893.9329",="1936.5516",="4225.2398",="1696.7532",="5531.2002",="5815.9307",="4330.4846",="1520.5447",="4762.4861",="1854.3234",="1538.602",="755.0752",="3160.4292",="1949.4156",="4154.0215",="586.1184",="1001.8742",="3350.5995",="8922.570600000001",="2794.3233",="684.2577",="9199.3825",="4370.3368",="1554.4054",="6720.05",="1209.166",="7551.2335",="1456.9332",="14507.965",="31447.875200000002",="2570.0944",="967.5561",="1073.9326",="6687.1073",="2231.4173",="1062.5987",="1927.8066",="5984.216",="4416.671",="6315.3423999999995",="2544.7118",="3187.1644",="6340.0613",="8138.073",="3093.0223",="9543.055",="3056.2305",="2970.8028",="16329.5457",="2657.5429",="3607.5259",="11358.4893",="9220.2824",="3783.3179",="6619.5843",="7395.8628",="8265.9289",="3507.1281",="11103.2327",="12856.3586",="7406.8634",="6019.8528",="6376.6739",="3131.5562",="4978.161700000001",="3101.3886",="1878.99",="1672.7562",="7656.9236",="6082.7421",="2892.6126",="2595.572",="3872.5760999999998",="9598.6054",="9508.996",="316.7264",="13897.9654",="636.2399",="12978.3745",="8092.398",="12163.8284",="17821.8081",="9764.0314",="10557.3359",="4431.8271",="7002.9981",="9921.3958",="4315.931",="5612.811",="11627.5915",="1811.0565",="3841.2025",="9882.1007",="14432.6372",="16930.5996",="1417.256",="4745.0594",="2052.8662",="4858.1975",="8286.146",="3236.1367",="681.047",="1285.6054",="3600.1891",="965.0585",="304.3472",="4825.1368999999995",="3116.4219",="675.5708",="3126.9352",="806.8924",="0",="397.7181",="847.7658",="373.7127",="8911.1076",="3387.395",="8319.1179",="6499.9092",="2247.6525",="4710.1994",="135.8355",="5799.6743",="1368.337",="8780.4212",="600.1549",="8936.9557",="3126.0396",="26192.8166",="23967.2033",="281.9165",="40766.2013",="25948.8701",="21912.625",="11553.2125",="21711.9813",="4837.8542",="29157.4252",="16625.8388",="1516.4647",="3348.3104",="3244.8589",="8205.9081",="8305.2629",="1014.4688",="2501.9465",="5356.5415",="935.0517",="1868.5571",="18156.6141",="2502.6499",="5446.3101",="9285.5978",="6580.2344",="13344.3166",="3925.4908",="16152.2545",="8246.7679",="3653.4694",="7567.4014",="11449.1713",="3053.2902",="12378.4527",="11070.9958",="12890.1772",="5072.6869",="6629.2257",="1185.1386",="4741.3743",="3763.8752",="3815.8770999999997",="15281.3433",="8713.4072",="10798.4663",="20306.4627",="387.4337",="4466.0721",="5595.4938",="924.0695",="6571.8734",="11820.4059",="12040.2774",="13729.3472",="4039.7623",="10648.5404",="12189.6568",="6054.7174",="8536.9069",="8376.5802",="6718.7705",="2312.1862",="2226.6455",="2247.7454",="1832.9667",="591.494",="8024.7814",="896.636",="633.9221",="390.6214",="235.874",="0",="14743.4617",="1493.6948",="1873.5552",="402.404",="466.881",="5518.4629",="1209.9064",="20383.5223",="7000.0755",="985.3209",="11171.6677",="6733.7414",="0",="4209.9559",="683.3215",="4656.0539",="4555.7713",="5882.128",="16707.494599999998",="10912.5076",="2196.2538999999997",="8389.2566",="4337.058300000001",="30967.785900000003",="20361.6885",="15779.624800000001",="36201.6323",="12016.162400000001",="0",="0",="1529.1046",="9854.3717",="3515.8811",="0",="290.0135",="785.7292",="0",="0",="257.2339",="293.7432",="516.7852",="197.1401",="0",="156.9164",="114.4022",="769.7662",="242.0681",="0",="0",="0",="357.0444",="0",="380.0394",="0",="0",="56.7604",="446.6488",="1336.9489",="1035.925",="0",="640.0207",="2180.9073",="0",="400.2865",="1826.2118",="0",="484.6164",="359.3611",="0",="557.4559",="105.1118",="0",="2019.2218",="3522.1833",="1099.532",="0",="1041.747",="535.1354",="1078.0053",="601.2987",="229.8566",="760.1948",="0",="0",="0",="665.6295",="671.3559",="306.4826",="499.8293",="998.3509",="103.6683",="0",="0",="489.8632",="0",="14049.6154",="0",="0",="270.7012",="0",="0",="0",="0",="26.7129",="62.8619"
