 ,221057_058,221057_059,221057_061,221057_062,221057_063,221057_074,221057_075,221057_076,221057_077,221057_078,221364_054,221364_055,221364_130,221364_131,221364_132,221364_134,221364_135,221364_136,221481_476,221703_215,221703_221,221703_248,221703_266,221703_328,221728_157,221728_158,230011_191,230011_192,230011_205,230011_206,230011_208,230011_209,230011_216,230066_130,230066_131,230066_141,230066_142,230116_001,230116_005,221089_035,221229_106,221229_119,221478_225,221479_149,221703_268,231686_047,221089_037,221229_105,221416_017,221474_206,221476_071,221476_092,221478_209,233285_098,221474_195,221474_202,221474_203,221476_070,233282_078,233285_080,233285_081,221367_101,221367_130,233285_099
="VISam6a",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="4",="0",="4",="1",="0",="5",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="0",="2",="0",="0",="0",="1",="1",="0",="1",="0",="0",="0",="0",="3",="4",="4",="14",="1",="2",="5",="9",="26",="2",="3",="2",="3",="2",="1",="3"
="VISam6b",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="10",="1",="1",="5",="2",="0",="0",="1"
="VISp6a",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="6",="0",="0",="0",="6",="2",="7",="0",="0",="0",="0",="0",="3",="0",="2",="11",="0",="0",="0",="12",="5",="62",="2",="0",="0",="0",="0",="0",="0"
="VISp6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="2",="0",="0",="1",="0",="0",="1",="1",="0",="0",="0",="0",="0",="1",="0",="17",="0",="0",="0",="1",="0",="0",="0"
="VISpl5",="0",="0",="2",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm5",="0",="0",="1",="1",="0",="3",="1",="0",="0",="4",="2",="2",="2",="0",="1",="2",="5",="5",="3",="0",="5",="0",="18",="4",="0",="1",="0",="0",="0",="0",="0",="0",="6",="2",="7",="0",="2",="0",="1",="0",="0",="2",="0",="0",="14",="0",="0",="3",="5",="0",="2",="1",="6",="3",="5",="0",="0",="5",="0",="0",="2",="0",="3",="5"
="VISpm6a",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="3",="0",="1",="0",="0",="0",="0",="3",="3",="4",="3",="0",="0",="2",="0",="0",="0"
="VISpm6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="1",="0",="0",="0",="0"
="ACAd1",="22",="0",="5",="5",="0",="12",="1",="0",="0",="9",="0",="0",="7",="57",="17",="0",="3",="0",="1",="1",="1",="2",="0",="0",="0",="0",="0",="18",="0",="0",="0",="3",="0",="0",="3",="0",="8",="0",="0",="0",="40",="0",="59",="0",="0",="29",="0",="37",="5",="0",="0",="0",="97",="0",="0",="8",="0",="0",="0",="5",="3",="0",="0",="0"
="ACAd2/3",="9",="0",="6",="1",="2",="4",="0",="0",="0",="4",="0",="0",="5",="18",="3",="0",="15",="0",="8",="1",="9",="0",="0",="0",="0",="0",="0",="25",="0",="0",="0",="0",="0",="0",="0",="0",="3",="4",="0",="0",="3",="0",="12",="0",="0",="1",="0",="13",="1",="0",="0",="0",="13",="0",="0",="3",="0",="0",="4",="0",="0",="0",="0",="0"
="ACAd5",="5",="0",="12",="7",="3",="2",="2",="0",="0",="1",="0",="0",="14",="8",="4",="0",="15",="0",="0",="1",="24",="6",="0",="0",="0",="0",="0",="4",="0",="0",="0",="1",="0",="0",="3",="0",="2",="0",="0",="0",="13",="4",="3",="0",="0",="1",="3",="10",="8",="5",="0",="18",="3",="0",="0",="20",="0",="4",="1",="1",="0",="0",="0",="0"
="ACAd6a",="0",="0",="2",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11",="7",="0",="0",="0",="0",="3",="8",="11",="4",="0",="7",="0",="0",="0",="50",="0",="5",="0",="0",="0",="0",="0",="0"
