 ,221057_058,221057_059,221057_061,221057_062,221057_063,221057_074,221057_075,221057_076,221057_077,221057_078,221364_054,221364_055,221364_130,221364_131,221364_132,221364_134,221364_135,221364_136,221481_476,221703_215,221703_221,221703_248,221703_266,221703_328,221728_157,221728_158,230011_191,230011_192,230011_205,230011_206,230011_208,230011_209,230011_216,230066_130,230066_131,230066_141,230066_142,230116_001,230116_005,221089_035,221229_106,221229_119,221478_225,221479_149,221703_268,231686_047,221089_037,221229_105,221416_017,221474_206,221476_071,221476_092,221478_209,233285_098,221474_195,221474_202,221474_203,221476_070,233282_078,233285_080,233285_081,221367_101,221367_130,233285_099
="VISam4",="676.5637",="563.803",="1570.0168",="1269.621",="1124.8324",="1452.9363",="2099.3865",="1163.9782",="90.7689",="1269.8183",="563.4123",="157.418",="1123.7945",="845.5149",="713.7023",="1144.7704",="662.3835",="1563.0439",="2194.5531",="723.7302",="1342.8363",="762.5546",="1976.5882",="349.3461",="210.7498",="2198.281",="364.379",="589.0824",="629.1275",="1153.463",="516.0226",="639.8139",="1462.3697",="737.0117",="292.4123",="464.2749",="2471.0697",="258.4422",="0",="4.8919",="1272.0749",="2479.5117",="1457.3714",="1140.1109",="1320.6784",="879.0153",="230.8911",="589.7017",="232.8667",="1163.1647",="602.7219",="0",="2300.4181",="1028.4933",="0",="195.7426",="0",="97.2265",="361.1606",="178.0317",="0",="0",="381.6508",="1805.4807"
="VISam5",="3813.9424",="2606.1742",="3522.9231",="2198.2718",="4846.781",="5187.9251",="6701.2047",="4217.9542",="1483.8235",="4783.5858",="1892.0311",="2816.9505",="4011.6039",="4358.6395",="1639.3328",="3089.4886",="1693.5976",="2502.4837",="6657.6045",="3280.3933",="4384.8665",="2546.764",="7981.9813",="4320.7123",="3159.1395",="6807.6059",="627.7283",="1732.2029",="3364.9301",="3532.1347",="1314.4815",="1051.2660999999998",="1988.3709",="6161.5985",="4491.1186",="2612.2922",="7858.3997",="4145.7522",="84.4653",="1691.6095",="2976.2974",="7792.7385",="2505.5537",="6057.6976",="3856.9722",="1476.9936",="2070.5237",="5472.8626",="5760.4457",="6847.2596",="5952.7767",="7062.5213",="4698.1188",="12576.6188",="197.368",="2609.3995",="402.5673",="608.0033",="2591.1208",="1215.2821",="384.213",="132.3915",="8838.4172",="2824.3339"
="VISam6a",="203.9863",="220.1052",="300.5462",="0",="468.5246",="369.753",="283.88",="784.5707",="217.0148",="543.6532",="0",="2026.5925",="560.966",="1000.5828",="604.9323",="569.0607",="3037.8858",="178.7617",="332.7108",="0",="0",="906.96",="640.3024",="427.8436",="400.0057",="476.7202",="461.055",="222.1515",="533.285",="263.3592",="306.2352",="606.7628",="198.5342",="294.685",="1027.6184",="525.1996",="1725.2237",="0",="6.2219",="735.2085",="1918.5205",="1939.061",="823.7674",="661.5384",="731.5428",="864.3804",="1517.4332",="1084.1987",="1406.3501",="2320.7544",="2583.5398999999998",="6128.212",="363.9915",="556.1252",="2554.9688",="4590.2439",="6147.9219",="2536.1114",="1919.9502",="2985.6195",="2950.5296",="255.4441",="903.7732",="1953.3978"
="VISam6b",="14.3743",="37.2741",="0",="0",="204.9652",="41.636",="46.7709",="32.1697",="0",="43.9199",="0",="0",="39.3309",="0",="40.7021",="93.761",="113.2834",="35.65",="35.5487",="0",="0",="76.7753",="333.5473",="43.9546",="122.4743",="72.3861",="659.6021",="503.46119999999996",="88.0695",="0",="100.9545",="245.6694",="180.8549",="57.6603",="176.3291",="0",="249.6407",="0",="155.3637",="42.2368",="408.9729",="291.5775",="280.3593",="25.1319",="475.4931",="0",="65.3655",="264.783",="509.8403",="68.975",="279.3773",="91.65209999999999",="3.6997",="0",="1064.4574",="141.2588",="2127.5268",="479.5855",="326.5099",="1374.4652",="493.5673",="0",="0",="428.0938"
="VISp6a",="560.5617",="0",="600.2679",="0",="0",="1776.4131",="0",="9.0623",="2454.1908",="3370.0522",="613.465",="0",="1230.0725",="505.3258",="0",="134.7554",="0",="221.1937",="1272.3078",="0",="0",="371.6927",="339.5039",="717.6632",="1744.63",="665.2819",="373.513",="0",="1667.9081",="250.6018",="2315.6017",="0",="0",="1947.4554",="306.2489",="1784.2624",="577.0885",="459.433",="1345.468",="12266.5087",="1965.0818",="6886.7131",="1574.574",="188.0258",="827.0632",="0",="0",="2578.4268",="4787.6826",="2889.3944",="4785.0934",="786.5926",="0",="0",="4514.7085",="2154.8526",="13237.2799",="1828.2167",="0",="0",="0",="1261.5417",="2274.6736",="0"
="VISp6b",="2.5925",="0",="1078.2029",="0",="0",="208.7807",="0",="0",="0",="0",="60.167",="0",="0",="0",="0",="545.9011",="17.1563",="0",="575.9256",="0",="0",="0",="1034.2829",="201.1893",="0",="0",="0",="458.9182",="244.5902",="0",="0",="0",="0",="99.1828",="134.0011",="0",="43.131",="160.7282",="790.098",="940.3215",="1306.734",="1794.2307999999998",="29.9529",="233.2381",="499.7987",="0",="0",="696.3179",="501.08439999999996",="279.1519",="146.0101",="359.1591",="0",="0",="732.6734",="0",="2609.4153",="0",="0",="0",="16.6221",="0",="4.1745",="0"
="VISpl5",="713.2781",="0",="681.108",="0",="0",="1790.8797",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2881.7098",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1184.3746",="0",="0",="0",="432.0554",="360.3788",="863.5123",="0",="0",="0",="0",="316.0653",="0",="0",="543.4225",="821.3679",="0",="0",="0",="826.3102",="0",="228.3258",="0",="0",="0",="0",="0",="0",="0"
="VISpm5",="306.8219",="0",="401.7495",="403.0687",="293.8836",="1313.3041",="28.1697",="737.7908",="321.2858",="2219.3483",="534.3466",="151.5958",="495.893",="0",="1691.3032",="1299.763",="1052.9095",="903.1407",="1057.6121",="329.658",="552.1657",="565.8068",="2534.5239",="731.3542",="26.5591",="251.0711",="392.3598",="0",="0",="0",="0",="457.345",="1523.994",="1114.3762",="2837.0384",="203.6798",="401.0443",="403.4768",="1125.4844",="395.3868",="82.1874",="1492.3731",="0",="0",="3902.5009",="961.6979",="508.29909999999995",="1030.1047",="2159.309",="324.6919",="303.5797",="167.3089",="2941.1306",="603.399",="387.0035",="159.3965",="0",="1533.2184",="573.9711",="8.1437",="633.5153",="0",="1305.9751",="2878.9325"
="VISpm6a",="496.0987",="0",="0",="0",="0",="0",="285.4508",="0",="277.9303",="317.9324",="0",="0",="316.2514",="315.7803",="2.2666",="71.0742",="0",="0",="446.601",="57.4605",="0",="0",="625.2453",="0",="268.0392",="171.3297",="234.7313",="0",="0",="288.9992",="494.9716",="0",="0",="257.1421",="9.6607",="523.0961",="530.4442",="0",="504.6163",="328.3046",="187.8141",="1958.5356",="99.4525",="144.5481",="465.5509",="0",="555.901",="1064.8657",="1856.3531",="366.7363",="53.8297",="357.3311",="343.4918",="0",="2575.8305",="661.4599",="850.7846",="1394.6986",="344.7683",="281.4698",="1690.4718",="0",="470.5129",="490.2933"
="VISpm6b",="42.7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="83.0717",="0",="0",="47.564",="0",="31.0158",="0",="0",="0",="0",="0",="0",="5.7499",="0",="0",="0",="8.7527",="0",="0",="197.2762",="13.6211",="257.572",="0",="0",="0",="122.8267",="167.8754",="0",="0",="145.1041",="363.2565",="0",="1280.7550999999999",="34.6601",="116.562",="0",="0",="25.6473",="84.9169",="0",="0",="0"
="ACAd1",="8185.4194",="0",="741.252",="431.6865",="336.9985",="2630.6575",="157.8938",="0",="0",="2201.7723",="0",="0",="1286.7499",="11749.0078",="3191.9483",="0",="550.6191",="0",="96.6533",="313.9865",="175.2976",="607.3039",="0",="0",="0",="0",="0",="2788.1066",="0",="0",="0",="2107.0851",="0",="0",="1545.316",="0",="2174.8247",="104.2382",="0",="0",="10881.3013",="0",="14647.3698",="0",="0",="9794.6601",="0",="8311.7842",="2001.8344",="0",="0",="0",="23712.5007",="0",="0",="2509.3109",="0",="0",="272.7129",="5648.6507",="2740.7464",="0",="0",="0"
="ACAd2/3",="2718.6716",="0",="2004.7198",="1400.2005",="522.3869",="1054.4519",="833.5736",="0",="0",="1114.1207",="0",="0",="2280.5423",="7293.0954",="2379.2496",="0",="4682.6782",="0",="2378.115",="412.8276",="1928.0131",="191.0354",="0",="0",="0",="0",="0",="8147.9623",="0",="0",="0",="922.642",="0",="0",="875.3818",="0",="1758.9749",="353.1006",="0",="0",="2452.9484",="0",="7909.4681",="0",="0",="582.1692",="0",="6964.7363",="470.8144",="0",="0",="445.50919999999996",="7169.2123",="0",="0",="1934.6033",="0",="0",="686.4758",="661.834",="177.9106",="0",="0",="0"
