 ,212074_008,221450_029,221450_031,221450_036,221450_037,221477_048,221478_364,221478_812,221481_201,221481_296,221481_299,221481_576,221481_602,221714_039,221737_017,221737_018,221737_048,221751_093,221751_094,221751_095,221751_100,221759_018,221759_019,221759_022,230061_037,230061_038,230110_021,230114_004,230114_005,230114_065,230114_066,233795_056,233795_064,233795_065,233795_066,233795_078,233795_079,212074_015,221419_050,221419_051,221419_052,221419_055,221477_062,221478_848,221480_107,221481_203,221481_205,221481_206,221481_208,221481_293,221481_297,221481_578,221481_625,221481_626,230061_039,230114_008,230114_011,230114_013,230114_015,233379_044,233379_046,233379_141,221422_019,230114_010,230114_023,230114_064,221422_002,221224_022,221225_018,221424_048,221426_066,221426_085,221538_001,221538_002,221538_005,221538_028,233285_130
="cing",="189.34",="0",="1086.2742",="0",="2302.8109",="0",="140.9007",="0",="2671.298",="0",="0",="0",="0",="0",="0",="0",="103.3892",="0",="0",="56.4624",="0",="0",="702.6288",="923.1476",="0",="438.8912",="0",="0",="0",="0",="0",="0",="0",="0",="453.4911",="0",="699.7119",="0",="41.5676",="456.2211",="776.329",="685.058",="1159.7928",="145.5842",="398.9206",="1987.2887999999998",="446.6685",="135.5138",="0",="0",="516.114",="616.1765",="1721.0029",="4315.7433",="0",="0",="10.7667",="0",="259.9997",="1073.0902",="0",="1451.4158",="1388.0929",="63.4432",="194.402",="117.8407",="546.0582999999999",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="scwm",="34.8843",="0",="10.3131",="0",="916.2151",="0",="61.6083",="0",="349.6686",="0",="0",="0",="0",="2.0493",="0",="0",="0",="72.7935",="7.8254",="27.9393",="0",="2.1617",="0",="0",="0",="404.0509",="75.035",="0",="157.943",="0",="0",="0",="330.2437",="4.9645",="134.2351",="0",="366.7234",="134.7916",="4.8895",="1878.0493",="1161.9604",="21.2359",="231.2535",="298.4756",="0",="356.113",="0",="0",="0",="4.2332",="0",="105.2168",="68.2707",="709.2927",="0",="9.9458",="177.3574",="8.3726",="110.9626",="500.3056",="76.7922",="164.891",="449.2704",="1041.6706",="950.8457000000001",="0",="474.4185",="7.2543",="18.657",="0",="0",="0",="0",="0",="0",="0",="36.0241"
="SSp-bfd1",="0",="3629.4507",="0",="817.0437",="0",="292.2633",="817.1119",="0",="112.9879",="0",="188.7786",="0",="606.6484",="77.4883",="0",="0",="112.1726",="0",="2074.0848",="0",="660.0581",="29.7887",="0",="0",="0",="0",="67.0751",="1154.4534",="2827.528",="6788.3885",="77.6577",="69.4717",="45.3596",="255.1519",="2121.7245",="361.0427",="0",="731.1203",="10060.3624",="5983.46",="4599.4592",="0",="0",="1539.0643",="0",="205.4318",="203.7124",="0",="235.444",="630.4383",="302.7801",="971.2186",="0",="351.1118",="0",="0",="3331.5152",="0",="925.8255",="6173.684700000001",="142.2545",="0",="0",="0",="2423.2417",="0",="0",="0",="0",="90.2051",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd2/3",="0",="1391.6258",="0",="4926.3648",="0",="1436.8412",="3159.3976",="0",="0",="0",="2218.2995",="0",="1097.0993",="1431.5102",="23.8888",="0",="0",="772.2383",="1561.3407",="0",="1431.6821",="111.4493",="0",="151.4233",="0",="0",="0",="947.4982",="4722.7887",="12744.2782",="0",="205.0955",="523.5142",="566.9606",="3564.463",="5917.014",="0",="465.3393",="4447.2244",="249.3626",="4816.183",="0",="0",="1193.4277",="0",="0",="0",="0",="644.6769",="643.5289",="349.6677",="407.2649",="0",="0",="0",="0",="1114.4087",="0",="400.8415",="1990.3997",="234.4478",="0",="0",="0",="2472.1844",="0",="0",="105.4174",="0",="2079.2366",="0",="0",="0",="0",="0",="0",="0"
="AUDd5",="0",="13.4054",="0",="0",="0",="30.1744",="0",="0",="0",="0",="141.1256",="162.2012",="0",="587.0032",="0",="0",="0",="102.1082",="116.4725",="49.3783",="1474.3001",="931.2295",="3638.5904",="87.5359",="0",="572.4006",="792.1348",="0",="0",="912.7818",="0",="509.9032",="1634.4225",="0",="154.7782",="0",="0",="0",="0",="10.7355",="0",="841.731",="0",="0",="280.5147",="0",="829.5545",="0",="0",="442.1557",="522.9096",="113.8952",="0",="0",="0",="65.3828",="359.0492",="0",="0",="4.3052",="0",="0",="2434.0849",="429.9901",="652.2751",="0",="277.4873",="1817.644",="0",="5036.1124",="0",="3373.1484",="0",="0",="0",="0",="833.2516"
="AUDp6a",="0",="657.4311",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="182.4764",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="38.2651",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="744.5673",="0",="0",="0",="0",="0",="0",="0",="90.9609",="395.6476",="0",="0",="0",="0",="355.4757",="643.2083",="0",="0",="0",="0",="0",="2947.8412",="0",="0",="0",="0",="639.8559",="0",="3432.1868",="0",="1160.5067",="0",="0",="0",="0",="368.604"
="AUDp6b",="0",="557.4492",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="550.351",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="301.7502",="0",="0",="0",="0",="0",="0",="105.9016",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="453.0793",="0",="0",="0",="0",="0",="127.3346",="0",="0",="0",="0",="92.0277",="0",="363.6331",="0",="519.7972",="0",="0",="0",="0",="1.9055"
="AUDpo6a",="0",="425.5536",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="272.734",="0",="276.6791",="0",="21.9715",="0",="0",="420.65999999999997",="0",="112.079",="0",="0",="0",="0",="170.2959",="0",="0",="0",="0",="0",="0",="0",="0",="0",="551.1579",="0",="0",="0",="0",="0",="0",="0",="43.0579",="0",="0",="0",="0",="0",="623.8153",="474.5679",="0",="0",="186.1748",="0",="0",="2517.5231",="0",="0",="0",="1115.9902",="57.4413",="0",="3067.9453",="0",="1553.4239",="0",="0",="0",="0",="659.4811"
="AUDv6a",="0",="240.9732",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="92.8723",="602.7445",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="418.9623",="0",="0",="0",="0",="0",="746.2893",="275.4518",="0",="0",="0",="0",="0",="673.3569",="0",="0",="0",="58.0853",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDv6b",="0",="238.4164",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6.979",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="35.6722",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="56.832",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal6b",="0",="57.2046",="49.8778",="0",="44.6055",="0",="52.6705",="65.822",="46.2647",="37.2336",="0",="115.9511",="135.8369",="20.2582",="48.3494",="32.0576",="39.8536",="128.094",="49.2859",="49.9372",="61.5098",="79.6566",="82.7447",="70.68",="0",="45.7607",="82.1409",="51.4569",="53.2602",="110.3473",="51.5405",="52.4257",="0",="66.7703",="0",="36.4519",="46.7227",="107.7381",="86.4614",="42.051",="169.5577",="44.2903",="77.6557",="42.0116",="88.5531",="99.2555",="262.1184",="268.1022",="83.6138",="0",="133.099",="184.8794",="118.3881",="533.4576999999999",="147.7994",="42.7187",="42.0082",="37.6153",="41.2265",="121.2418",="308.6131",="37.3686",="223.3114",="143.9453",="87.2792",="51.9068",="138.7833",="0",="60.2652",="42.7066",="614.8145",="294.3687",="54.0442",="289.4351",="104.5738",="562.1534",="1410.8155"
="VISl1",="0",="67.2042",="0",="367.3182",="1362.5679",="0",="895.5075",="14.2969",="3875.6934",="0",="320.7234",="717.9085",="659.7276",="556.3286",="1415.4004",="0",="22.5913",="0",="140.0175",="134.5026",="0",="345.0899",="0",="0",="108.9202",="644.7909",="37.7031",="1439.0944",="0",="384.8182",="0",="150.0934",="12.8401",="2090.3234",="82.0628",="0",="2542.2841",="3487.7189",="678.0469",="346.4905",="714.2522",="292.108",="0",="709.4766",="3500.1801",="4322.6056",="2402.9746",="4380.6543",="3204.0058",="4946.0162",="1975.4696",="205.2041",="9031.8325",="5429.4871",="0",="0",="0",="163.3282",="1216.0987",="2465.5987",="8589.7071",="1594.5953",="0",="192.1235",="480.6088",="633.735",="0",="0",="0",="127.8122",="1645.857",="0",="0",="0",="0",="0",="4407.0309"
="VISl2/3",="0",="596.4772",="0",="2883.3339",="240.4282",="140.406",="8480.848",="467.381",="1285.8029",="0",="832.1861",="2907.4179",="4654.6788",="1600.6973",="4823.5522",="322.3178",="261.9966",="0",="530.923",="512.9404",="1.5934",="850.8739",="0",="0",="162.6205",="1050.4593",="0",="602.708",="0",="701.531",="0",="0",="0",="1663.9891",="0",="70.5697",="603.8758",="2534.6587",="483.2151",="19.0214",="2813.0114",="1056.8529",="0",="59.1643",="1762.737",="1018.5923",="50.0312",="3168.9797",="6531.8453",="2124.8459",="843.5797",="0",="2283.6421",="1199.6986",="0",="0",="104.6302",="0",="776.2598",="79.6395",="3792.0263",="125.5203",="0",="0",="0",="0",="0",="0",="0",="40.0015",="21.2488",="0",="0",="7.6684",="0",="0",="285.5738"
="VISl4",="0",="493.7589",="0",="986.3923",="0",="0",="1126.7919",="255.757",="646.0267",="7.7051",="360.4389",="509.0334",="2837.4963",="188.6948",="995.1633",="0",="483.3546",="195.5884",="24.2681",="197.7203",="0",="0",="0",="107.9035",="0",="31.881",="0",="19.9905",="0",="152.2052",="0",="646.1943",="0",="877.844",="0",="0",="313.6969",="1270.6629",="192.4425",="597.1474",="419.0805",="431.6225",="0",="0",="783.9056",="3764.8515",="869.6928",="2246.4587",="2404.7521",="1235.2784",="650.7045",="368.3451",="1719.4237",="1158.6251",="0",="281.106",="0",="0",="14.0471",="522.8114",="2030.0742",="0",="0",="0",="0",="326.1154",="0",="0",="43.1624",="0",="557.4532",="0",="0",="421.0733",="174.913",="193.0559",="737.2795"
="RSPagl2/3",="0",="7.9846",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6.2429",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1542.1902",="1069.1935",="0",="248.9663",="0",="500.0468",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4967.5896",="0",="710.5018",="0",="1899.5719",="2760.574",="2227.6046",="0",="16.3379",="437.5815",="0",="0",="2170.6849",="1756.7122",="1257.4108",="0",="0",="0",="0",="3914.5937",="78.2017",="0",="0",="0",="0",="0",="1310.48",="1755.3008",="1085.228",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="TEa6a",="0",="534.9553",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="289.1541",="0",="0",="0",="1033.6336",="0",="0",="248.001",="0",="0",="0",="0",="0",="947.0231",="181.1656",="899.8125",="0",="0",="0",="0",="0",="0",="953.0237",="0",="0",="0",="0",="0",="0",="0",="0",="0",="743.3576",="0",="604.2577",="0",="195.2571",="0",="1376.9419",="318.4369",="0",="617.1457",="0",="785.9827",="0",="2456.4243",="0",="0",="24.7215",="4486.5269",="388.241",="0",="1478.6981",="0",="1053.6298",="0",="0",="0",="0",="720.4465"
="TEa6b",="0",="367.4998",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="89.5607",="0",="0",="0",="0",="0",="0",="66.3064",="0",="0",="0",="0",="0",="0",="113.7817",="0",="0",="0",="0",="0",="0",="0",="558.4946",="0",="0",="0",="0",="0",="0",="0",="0",="0",="90.2451",="0",="0",="0",="0",="119.5652",="0",="126.1933",="0",="186.2976",="0",="338.425",="0",="4.1966",="0",="0",="0",="258.9494",="0",="0",="24.3978",="0",="0",="0",="0",="0",="0",="319.4003"
="ECT5",="0",="291.6078",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1572.5984",="0",="0",="0",="1021.851",="0",="0",="0",="0",="0",="0",="0",="0",="139.8953",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="453.9621",="148.0363",="0",="0",="0",="0",="0",="2.6213",="0",="0",="0",="0",="0",="0",="0",="0",="0",="771.1856"
="ECT6a",="0",="21.9013",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="266.3992",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="90.2922",="0",="0",="0",="0",="0",="0",="0",="0",="48.0106",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="476.228",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1386.607",="0",="0",="0",="0",="0",="0",="0",="0",="0",="398.3021"
="ec",="0",="13.159",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="208.162",="0",="0",="0",="107.1851",="0",="0",="0",="0",="0",="0",="0",="29.6147",="0",="0",="0",="0",="0",="1099.3311",="0",="0",="0",="0",="0",="0",="297.0087",="204.2358",="0",="0",="19.4874",="0",="0",="0",="0",="0",="0",="36.2543",="0",="211.955",="0",="0",="312.2963",="170.151",="0",="0",="0",="505.6023",="9.5679",="0",="0",="0",="0",="702.3733",="155.9416",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ar",="0",="16.1008",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1618.1979",="0",="32.4137",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="356.5817",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="70.2079",="0",="425.8752",="0",="0",="0",="0",="327.1973",="0",="0",="1206.5638",="0",="0",="0",="0",="0",="0",="0",="423.8486",="233.1648",="971.9641",="152.5202",="403.5615",="183.4873",="0",="0",="831.2794",="1087.2755"
="AUDpo1",="0",="0",="795.183",="0",="0",="0",="0",="0",="0",="237.494",="0",="0",="0",="208.6737",="0",="0",="0",="278.2428",="0",="278.6067",="617.5317",="0",="853.3059",="905.9422",="521.9233",="0",="392.8582",="0",="0",="0",="0",="382.2071",="70.2544",="0",="0",="0",="0",="14.0131",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3945.8024",="343.2216",="106.529",="0",="0",="0",="196.2424",="659.3086",="0",="818.6998",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="719.4479",="0",="1257.8796",="0",="0",="0",="0",="20.3128"
="VISam5",="0",="0",="89.7272",="0",="3363.0677",="0",="23.8386",="617.7298",="727.5276",="1744.0278",="321.3502",="4275.7509",="1106.6339",="2291.4",="246.9096",="1617.5601",="1387.0553",="0",="483.6121",="3786.036",="77.7049",="0",="639.713",="597.7527",="733.3224",="0",="388.8516",="5878.6782",="943.4258",="0",="1131.9523",="351.489",="637.2291",="0",="551.7386",="0",="0",="954.4293",="1295.0157",="1378.8546",="0",="44.9961",="855.5315",="675.543",="160.8363",="2749.602",="0",="1135.1984",="0",="491.3722",="839.502",="3106.8752",="2452.1557",="0",="0",="0",="1048.3339",="297.2101",="0",="1046.3479",="830.3572",="0",="0",="0",="1671.9042",="0",="2568.0972",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm6a",="0",="0",="17.7499",="0",="115.0623",="213.8374",="0",="46.8891",="27.7831",="0",="0",="611.8702",="0",="200.519",="443.0861",="112.407",="0",="0",="0",="192.4866",="0",="0",="0",="0",="0",="0",="508.3652",="458.3603",="497.1613",="0",="193.88",="0",="284.8913",="0",="0",="0",="0",="456.1526",="0",="0",="210.3287",="0",="867.6907",="0",="189.9988",="535.4709",="212.3003",="128.6959",="0",="239.5192",="0",="0",="1640.1261",="219.3305",="0",="432.6591",="0",="0",="0",="0",="115.6576",="0",="273.3488",="0",="4.9695",="0",="3805.6352",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd1",="0",="0",="983.2267",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="47.079",="0",="0",="0",="3233.1641",="672.0527",="0",="326.5349",="0",="0",="0",="0",="768.1716",="8903.7531",="50.3919",="984.1272",="1346.0885",="0",="0",="137.0414",="259.1003",="1969.9668",="0",="0",="0",="22.1918",="2734.8217",="14816.7434",="1966.1388",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv1",="0",="0",="89.218",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="301.3662",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1963.8374",="0",="0",="0",="0",="3647.2786",="169.7002",="0",="18760.177",="2182.5819",="0",="0",="0",="0",="1988.7975",="0",="0",="0",="656.9916",="0",="1067.7465",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv6a",="0",="0",="140.0412",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="218.0393",="0",="0",="19.2611",="381.4305",="0",="0",="0",="0",="1357.9521",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd4",="0",="0",="0",="1289.9717",="0",="1086.9538",="1025.9929",="0",="4.3967",="417.2934",="2431.4157",="211.2866",="1014.3006",="570.0298",="758.9428",="0",="780.771",="82.5055",="603.9213",="0",="825.7931",="0",="0",="0",="0",="0",="26.301",="923.6454",="2721.4432",="3355.9415",="261.7466",="205.2951",="24.6803",="1237.7465",="3711.437",="1568.5503",="0",="306.5317",="2097.9282",="6376.1704",="544.2221",="0",="0",="1056.0069",="0",="0",="0",="0",="0",="0",="909.49",="483.6535",="0",="0",="0",="0",="3413.0726",="0",="1177.8362",="1545.7118",="293.5829",="0",="0",="0",="2898.9358",="0",="149.0096",="469.6414",="0",="891.9061",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="0",="0",="0",="5594.6213",="170.2699",="3480.163",="1722.8233",="107.7451",="0",="0",="1545.2758",="76.8596",="1240.2358",="1785.0554",="1215.077",="0",="0",="0",="1102.4721",="0",="2797.5486",="0",="0",="0",="293.3381",="0",="653.4347",="58.9823",="3514.2186",="1813.4038",="286.6771",="513.3608",="0",="2489.4033",="3541.8088",="2314.3472",="1650.3437",="885.9543",="344.6672",="286.7353",="0",="0",="0",="485.2155",="188.5634",="0",="73.9107",="0",="0",="0",="395.4568",="4.5704",="0",="0",="0",="0",="1338.1755",="0",="66.127",="0",="0",="0",="0",="0",="0",="0",="0",="3061.1545",="0",="484.4015",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd6a",="0",="0",="0",="559.8786",="0",="714.9792",="0",="0",="253.2291",="0",="0",="0",="829.268",="960.6006",="1276.2895",="0",="0",="1030.2082",="0",="693.8133",="1103.4382",="0",="0",="0",="1067.8222",="0",="836.415",="0",="1691.6253",="1091.6495",="0",="0",="1223.9894",="501.8608",="1097.0134",="302.0412",="0",="2860.4045",="0",="128.7046",="311.793",="0",="44.5278",="1354.3387",="481.1583",="0",="761.0974",="0",="0",="0",="1678.505",="157.6079",="0",="0",="0",="0",="1232.3121",="0",="0",="55.0251",="0",="0",="29.0044",="0",="0",="0",="138.4398",="1968.8547",="0",="1297.9619",="0",="0",="0",="0",="0",="0",="0"
="SSs4",="0",="0",="0",="447.6666",="0",="0",="2179.8667",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="257.6103",="173.7495",="0",="0",="0",="0",="382.2886",="0",="0",="39.9972",="286.3288",="125.2489",="335.0227",="0",="681.1244",="0",="0",="1956.9104",="0",="62.1421",="22.2582",="0",="0",="689.9639",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2589.6893",="0",="0",="0",="0",="0",="0",="0",="0",="0",="90.2443",="0",="0",="2904.3385",="0",="0",="0",="0",="0",="0",="0"
="SSs5",="0",="0",="0",="133.4179",="0",="0",="983.4349",="0",="0",="0",="0",="0",="0",="52.6695",="0",="0",="0",="0",="0",="51.8327",="387.004",="587.6108",="149.1526",="0",="0",="0",="48.2268",="0",="0",="112.1791",="80.1216",="11.1657",="430.956",="0",="304.1988",="0",="0",="567.912",="0",="807.4526",="0",="0",="0",="830.9783",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1718.8883",="0",="0",="0",="0",="0",="671.7083",="0",="0",="0",="0",="389.9566",="0",="1342.9345",="0",="16.9773",="0",="0",="0",="0",="0"
="VISpor2/3",="0",="0",="0",="181.0856",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="22.6532",="0",="0",="0",="0",="0",="992.9676",="0",="0",="0",="0",="125.444",="0",="0",="0",="314.9245",="1952.6636",="103.3707",="7155.318",="0",="0",="0",="0",="1102.7956",="0",="4194.5472",="0",="0",="0",="0",="1359.1487",="265.5207",="0",="239.5184",="0",="0",="726.3847",="1333.8359",="3274.2296",="752.0201",="0",="336.3163",="3567.2907",="0",="3892.7979",="1931.9781",="0",="0",="64.8654",="0",="1494.3719",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="838.8976"
="VISpor5",="0",="0",="0",="1185.3478",="0",="0",="0",="0",="0",="0",="0",="0",="0",="79.2823",="0",="0",="0",="900.1202",="681.8474",="0",="0",="20.4579",="0",="0",="0",="0",="228.4907",="0",="0",="0",="1239.4341",="2497.2231",="201.83",="13367.0904",="0",="0",="0",="0",="0",="0",="129.1525",="0",="0",="0",="0",="106.0327",="0",="0",="259.0398",="0",="0",="717.5925",="1360.9942",="1334.54",="0",="0",="0",="951.1469",="18.091",="2326.2539",="448.2315",="0",="0",="137.4035",="180.9322",="1360.0292",="13.7882",="19.1462",="0",="0",="0",="0",="0",="0",="0",="0",="358.7972"
="VISrl1",="0",="0",="0",="840.6233",="0",="520.774",="0",="834.6286",="4540.5341",="331.6135",="1539.6337",="1072.2801",="3776.6038",="141.1956",="23.3247",="0",="1249.6016",="762.662",="4258.4012",="838.9625",="117.9711",="0",="0",="359.6781",="0",="0",="0",="1039.9709",="546.5676",="327.4779",="256.3518",="1848.2373",="0",="1654.6241",="771.5227",="2759.1878",="2142.0906",="1069.6704",="6663.9443",="621.3677",="1940.3141",="0",="0",="1586.0336",="2962.4243",="1813.04",="3277.6684",="1998.4278",="3315.9421",="739.3086",="289.5879",="4620.0196",="5829.9466",="4654.8148",="0",="203.6117",="41.066",="0",="7104.1731",="10907.169300000001",="369.6409",="1033.2046",="0",="0",="145.5145",="0",="0",="194.0055",="200.8206",="0",="649.8775",="0",="0",="0",="0",="0",="34.4014"
="VISrl6a",="0",="0",="0",="135.5044",="746.7445",="3901.7178",="0",="1563.3824",="481.73169999999993",="0",="1171.8651",="0",="407.3664",="777.1808",="116.6819",="884.8222",="0",="626.8412",="0",="92.3376",="196.2595",="0",="0",="817.0182",="0",="173.2466",="21.7811",="0",="547.8773",="749.0864",="662.7156",="1635.6239",="141.3253",="0",="100.0528",="1358.7612",="627.5454",="0",="1508.8028",="0",="0",="389.19010000000003",="1407.9111",="0",="513.9894",="0",="825.5751",="127.3036",="0",="0",="103.8222",="1097.9111",="945.1818",="74.9926",="0",="232.794",="0",="1601.6187",="164.3011",="712.9047",="0",="823.8767",="0",="1319.0215",="2021.2516",="0",="3299.7774",="414.9824",="0",="345.0878",="261.6502",="746.2896",="468.9073",="424.2443",="14.5543",="0",="0"
="VISam4",="0",="0",="0",="0",="562.0551",="0",="0",="281.6456",="218.6258",="540.0415",="0",="934.9115",="272.2823",="180.5005",="291.4222",="9.1625",="274.5891",="0",="107.1291",="659.8986",="196.5155",="0",="561.0009",="598.4866",="67.1589",="0",="108.1484",="1007.1583",="109.9709",="0",="210.9325",="115.7115",="93.6955",="0",="76.1635",="0",="0",="195.7826",="359.7818",="916.4851",="0",="405.1235",="561.8606",="447.1982",="422.3763",="609.1159",="2254.2465",="900.7317",="0",="75.3263",="408.7761",="1564.3455",="1127.6201",="0",="0",="0",="168.9311",="456.8035",="0",="1221.7756",="316.8919",="0",="0",="0",="590.6276",="37.4469",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam6a",="0",="0",="0",="0",="597.4539",="74.4845",="276.5423",="0",="221.5521",="0",="0",="0",="0",="383.4011",="468.163",="314.0341",="369.7369",="0",="0",="370.2215",="0",="0",="0",="0",="358.9882",="0",="0",="374.4295",="0",="0",="561.1206",="152.0141",="228.8114",="0",="1017.3871",="0",="0",="0",="404.9775",="408.6905",="0",="644.007",="120.2673",="547.8011",="20.5764",="1045.0113000000001",="0",="0",="0",="0",="312.1527",="0",="1054.5466",="0",="0",="257.3901",="355.3701",="0",="0",="0",="500.6941",="0",="0",="0",="343.3503",="0",="2011.304",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm6b",="0",="0",="0",="0",="55.6298",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="200.6952",="0",="0",="0",="0",="0",="0",="0",="0",="181.7263",="0",="0",="130.5221",="0",="226.2476",="0",="0",="40.2692",="0",="0",="0",="0",="0",="0",="543.8489999999999",="122.3498",="0",="0",="0",="0",="41.0049",="0",="0",="0",="413.6589",="0",="23.8859",="0",="457.1148",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ccs",="0",="0",="0",="0",="1174.5942",="0",="0",="0",="2306.1032",="0",="0",="0",="0",="0",="0",="0",="0",="39.3869",="0",="0",="0",="0",="0",="2297.4095",="1877.5713",="1901.5403999999999",="0",="0",="309.1798",="0",="0",="0",="0",="0",="0",="0",="467.60900000000004",="1968.2111",="2023.9163",="3018.1511",="1699.9999",="4228.7294",="2672.2335000000003",="113.5264",="5633.4096",="2242.413",="979.3299999999999",="1401.2082",="0",="0",="2320.4674999999997",="572.4198",="1670.3256999999999",="2036.4681999999998",="2711.9839",="97.1606",="1211.5197",="0",="2538.4659",="2603.4570999999996",="0",="2174.6383",="1193.3892",="4627.0137",="546.5613",="93.1006",="2664.4091",="0",="84.8375",="42.1539",="0",="0",="50.8844",="0",="0",="0",="0"
="SSp-tr1",="0",="0",="0",="0",="0",="27.6339",="185.2842",="0",="0",="0",="116.6512",="0",="0",="0",="401.4422",="0",="0",="0",="499.4195",="0",="151.8146",="0",="0",="0",="0",="0",="0",="0",="206.3663",="22.3346",="0",="0",="0",="0",="0",="0",="0",="1020.5513",="0",="2931.6337",="1876.1233",="0",="301.6015",="995.861",="0",="0",="0",="0",="0",="0",="0",="956.2876",="0",="0",="0",="0",="423.1926",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
