 ,212074_008,221450_029,221450_031,221450_036,221450_037,221477_048,221478_364,221478_812,221481_201,221481_296,221481_299,221481_576,221481_602,221714_039,221737_017,221737_018,221737_048,221751_093,221751_094,221751_095,221751_100,221759_018,221759_019,221759_022,230061_037,230061_038,230110_021,230114_004,230114_005,230114_065,230114_066,233795_056,233795_064,233795_065,233795_066,233795_078,233795_079,212074_015,221419_050,221419_051,221419_052,221419_055,221477_062,221478_848,221480_107,221481_203,221481_205,221481_206,221481_208,221481_293,221481_297,221481_578,221481_625,221481_626,230061_039,230114_008,230114_011,230114_013,230114_015,233379_044,233379_046,233379_141,221422_019,230114_010,230114_023,230114_064,221422_002,221224_022,221225_018,221424_048,221426_066,221426_085,221538_001,221538_002,221538_005,221538_028,233285_130
="RSPagl6a",="96.2589",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="480.9002",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="628.6756",="0",="0",="93.6548",="558.9223",="0",="0",="0",="0",="0",="422.0419",="0",="523.2333",="0",="26.7269",="226.6991",="0",="0",="0",="703.9648",="409.541",="0",="0",="3.2192",="0",="0",="0",="201.1976",="921.2935",="406.5382",="857.1133",="348.9378",="0",="0",="290.507",="0",="982.5058",="3.4042",="0",="0",="540.5262",="849.9337",="403.2755",="0",="2279.8929",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd2/3",="1053.2029",="0",="1708.2788",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="923.6798",="0",="565.9614",="0",="0",="3.9292",="0",="0",="0",="0",="12.4665",="1116.268",="230.4281",="279.2045",="0",="0",="0",="0",="304.6514",="4867.991",="0",="0",="0",="13.0586",="443.641",="2156.971",="164.9019",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd5",="2156.267",="0",="738.8693",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="595.3066",="0",="726.1457",="0",="0",="0",="868.4803",="0",="0",="0",="0",="268.4152",="489.8387",="827.6866",="119.5206",="0",="0",="0",="1018.8867",="2132.7897",="0",="0",="0",="220.2183",="89.6171",="1969.5475000000001",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd6a",="412.1064",="0",="1108.1013",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="274.9324",="0",="0",="0",="0",="0",="0",="0",="0",="217.0937",="0",="0",="0",="0",="0",="0",="19.9843",="0",="0",="0",="465.9796",="0",="0",="0",="1055.9045",="0",="147.9748",="1885.585",="1187.8629",="0",="0",="0",="0",="1236.9574",="0",="0",="0",="332.9481",="254.8434",="1497.3779",="0",="267.3937",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPd6b",="45.1883",="0",="66.1018",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="67.8874",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="67.697",="211.7585",="0",="0",="0",="0",="0",="221.6316",="0",="0",="0",="0",="89.3192",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv2/3",="110.9568",="0",="801.2498",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="156.8302",="0",="0",="0",="0",="294.1427",="0",="0",="5342.1254",="2121.7846",="0",="0",="0",="0",="1560.4628",="0",="0",="0",="276.2857",="0",="495.0127",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv5",="52.0114",="0",="1993.9871",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4.5356",="0",="0",="1807.9767",="614.827",="0",="0",="0",="0",="1029.3977",="0",="0",="0",="60.1325",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa1",="874.5945",="0",="0",="0",="0",="1789.5832",="14.9757",="909.8019",="712.6029",="2.4247",="940.0995",="263.4531",="69.8803",="536.0416",="77.1985",="12.8744",="209.2811",="2201.8263",="1482.0438",="973.8826",="1327.1175",="0",="0",="2222.6046",="0",="0",="141.2478",="1367.2549",="104.2031",="2218.7144",="1697.4171",="1560.3552",="1477.3567",="0",="0",="0",="0",="5544.4967",="517.4095",="11452.633",="547.9099",="1431.9615",="6460.3162",="6662.2496",="7681.3206",="0",="117.3951",="2437.8743",="0",="621.6091",="4262.5076",="18405.8302",="0",="0",="0",="2905.2246",="1588.6549",="1567.3149",="167.5553",="2449.478",="2685.4757",="0",="0",="0",="513.7833",="68.6387",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa2/3",="3526.6808",="0",="0",="0",="145.3391",="12970.6091",="8815.8525",="6908.1294",="495.9359",="917.2734",="2596.2498",="2977.8052",="349.8759",="2622.8925",="962.8026",="8247.6811",="405.1742",="1021.4075",="5817.236",="3451.6475",="12578.4298",="0",="0",="1344.0105",="45.4695",="0",="280.5409",="3073.0393",="1728.1318",="6412.8233",="4054.4214",="1097.8796",="2273.8969",="0",="0",="0",="0",="1916.016",="1125.2492",="4053.9992",="2501.8744",="749.3297",="3736.4112",="6818.5615",="4252.2851",="0",="0",="0",="0",="0",="338.91200000000003",="3782.6394",="0",="0",="0",="2805.1469",="1689.8297",="1703.4197",="8.0539",="1123.6721",="514.8562",="0",="0",="0",="1799.5679",="622.1498",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa4",="468.4136",="0",="0",="0",="73.9947",="1889.3364",="1516.2564",="750.728",="115.0655",="127.684",="489.3734",="749.926",="296.4688",="298.4476",="34.5091",="1260.3458",="0",="1092.5125",="636.481",="797.7431",="2012.801",="0",="0",="2049.907",="194.4671",="0",="273.6728",="656.5548",="1015.6137",="684.0979",="1066.2775",="2186.3505",="89.0587",="0",="17.2833",="0",="99.4209",="374.324",="693.33",="1541.9459",="46.1737",="652.5729",="674.4758",="1534.7211",="5201.2947",="0",="0",="0",="0",="0",="479.3368",="906.9266",="0",="0",="0",="854.3746",="78.2671",="797.2165",="332.062",="194.7818",="0",="0",="0",="0",="664.4863",="349.1837",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
