 ,221057_135,221057_150,221057_155,221364_083,221364_087,221701_055,230011_175,230066_079,230066_084,231685_259,231685_281,233285_119,233379_133,233380_037,233666_171,233668_063,233668_065,233668_073,233668_099,233668_101,233795_002,233795_003,233795_009,233795_012,233795_074,233795_088,221090_095,221091_154,221417_015,221418_129,221479_166,231685_243,231685_255,233379_029,233379_036,233379_097,233379_130,233666_139,233666_204,221090_092,221090_094,221090_099,221091_125,221091_158,221418_135,221418_137,221477_059,221481_137,231687_014,233379_123,233666_201,233667_217,233667_242,233667_256,233667_267,233667_269,221065_081,231687_027,231687_028,233284_183,233667_270,221225_016,231687_023,233666_161,221065_083,221065_086,233667_261
="VISl5",="883.3518",="2249.0374",="2759.6256",="0",="0",="2348.3372",="0",="953.1519",="219.8939",="3671.2271",="2205.7078",="2382.4264",="908.4365",="1079.0588",="0",="1952.125",="867.7047",="757.337",="188.748",="0",="0",="2331.7762",="1098.5324",="198.3101",="0",="747.3646",="0",="0",="410.1875",="982.9386",="0",="722.4797",="1436.8523",="264.5765",="0",="0",="1579.173",="2710.1239",="249.7281",="65.6866",="1542.98",="0",="0",="0",="558.6943",="500.7771",="0",="0",="0",="355.1737",="2258.2106",="0",="371.1972",="1906.2521000000002",="223.1115",="2068.8428",="107.0799",="1909.7147",="533.8035",="0",="415.9373",="2217.71",="1717.1542",="4.8936",="0",="5.0896",="931.0601"
="VISp1",="2386.3392",="1954.6724",="663.6992",="351.9582",="4097.3104",="3059.5667",="7377.0888",="4212.1664",="7952.8731",="733.395",="366.7438",="7077.3402",="2310.4059",="11290.3281",="1159.5516",="4107.1388",="1587.2707",="1292.2112",="0",="1775.1989",="929.7884",="870.9998",="4862.0038",="4519.8821",="15053.3239",="5746.4965",="3991.9297",="6749.361",="38148.2743",="737.6656",="540.5642",="0",="7625.369299999999",="17855.6887",="10580.5606",="5642.3125",="8960.774",="11297.1415",="7442.8735",="12484.3328",="8251.6793",="24750.219",="2764.4712",="0",="1123.261",="766.1012",="4072.5839",="23138.0474",="18118.1844",="5783.5297",="17167.215",="4030.0655",="698.5816",="10135.5064",="0",="9986.8656",="25562.0262",="0",="0",="27118.5438",="2303.3545",="0",="777.5014",="1559.4408",="0",="0",="1679.4813"
="VISp2/3",="3969.058",="4210.3618",="6313.5952",="6505.1259",="6082.46",="5617.0768",="2008.5338",="3060.9158",="3416.5061",="10344.6374",="7316.5681",="15017.6913",="5491.9658",="7989.3069",="1409.7899",="6141.9574",="1646.9152",="1389.953",="145.7104",="6970.4963",="10838.26",="4981.1365",="6402.9451",="4320.821",="7897.7638",="8178.2868",="1345.6105",="1845.7223",="10111.0909",="3970.8963",="17451.6318",="158.3523",="1045.4805",="4055.9173",="2961.2738",="3895.4285",="6519.3778999999995",="8165.3467",="13910.4621",="8660.1553",="4146.6041",="6255.885",="2578.2613",="1177.53",="1310.7459999999999",="1863.8787",="3571.7028",="13719.4923",="3761.0497",="2594.0919",="3614.1161",="1678.3326",="1770.6022",="5258.2559",="0",="1637.9157",="2950.0152",="3.3205",="36.3303",="3944.2034",="4069.6331",="233.4086",="435.9624",="1042.593",="1472.16",="540.2798",="255.7822"
="VISp4",="1864.8638",="1815.1461",="2905.8908",="882.0537",="2285.1497",="3971.3846",="2736.6143",="1213.8836",="5511.3987",="2261.1654",="976.9666",="3320.7688",="3317.2947",="3504.876",="1366.6955",="688.7054",="365.0537",="200.3856",="71.3314",="3146.7403",="3462.8077",="896.0676",="1788.5902",="640.7008",="4974.5025",="2881.4166",="4098.3964",="1003.1767",="13873.605",="953.8101",="6249.9507",="1657.232",="3529.5768",="9936.0707",="2750.147",="4281.6381",="16356.194",="3398.2996",="6284.5682",="3183.6127",="4490.2178",="6984.4986",="1688.2881",="459.975",="1103.7419",="1215.0993",="4390.781099999999",="2693.0275",="3782.5088",="4901.3087",="3690.5633",="713.0424",="417.5407",="1440.0195",="53.8916",="2257.2269",="4798.6952",="1269.6949",="449.2869",="2007.6653",="579.1231",="1125.3207",="1350.3141",="2140.6632",="1873.3024",="1230.7146",="209.5867"
="VISp5",="2350.3681",="3153.9792",="3688.1276",="1374.8697",="5135.2964",="1507.2233",="9986.6384",="1546.9734",="3367.8007",="8202.2369",="3833.7589",="7595.4105",="4239.1308",="5686.9853",="1407.0555",="2596.8504",="2242.1067",="1314.8977",="99.8964",="7403.0493",="5801.6327",="4309.0233",="3500.0146",="1812.4666",="5200.0609",="5726.5659",="4477.2336",="3138.3496",="6990.348",="3028.8398",="2142.5795",="4584.6586",="3452.0769",="3207.5922",="2278.2124",="3598.9518",="10298.052500000002",="8818.0262",="8747.5066",="8725.1163",="5571.0149",="11601.5248",="7393.0749",="1560.8266",="5062.6666",="9472.7246",="10320.6988",="6888.4497",="9474.3272",="8525.7361",="6101.8408",="3613.7866",="2068.9748",="2748.4173",="3032.2469",="4575.3985999999995",="7254.3842",="8624.5423",="4127.1901",="3454.0718",="12069.732",="5193.4348",="11809.1446",="5947.9829",="1618.4873",="3114.6003",="2094.7436"
="VISpl1",="1153.7079",="0",="0",="0",="0",="0",="0",="201.5283",="108.0521",="0",="0",="0",="0",="2874.1201",="2014.6137",="0",="606.74",="264.8203",="0",="0",="0",="0",="277.5278",="1758.3727000000001",="0",="0",="0",="10755.7122",="4533.6192",="0",="0",="0",="2591.3975",="1049.8564",="0",="0",="8923.3354",="1543.6025",="0",="26.234",="0",="0",="446.0051",="0",="0",="1045.315",="1722.9877",="0",="3868.3026",="0",="4061.2416",="0",="56.5535",="0",="0",="62.1283",="2293.06",="0",="0",="0",="20.1972",="0",="0",="0",="0",="0",="715.6691"
="VISpl2/3",="4361.5814",="0",="0",="0",="0",="0",="0",="187.0742",="266.1423",="0",="0",="0",="0",="635.8425",="3639.7667",="137.8348",="477.3443",="2073.5528",="0",="0",="0",="0",="960.6382",="4963.7232",="0",="0",="0",="663.9404999999999",="8056.3116",="0",="0",="0",="1955.2057",="1113.4812",="0",="0",="8745.6772",="2899.2886",="97.6727",="1261.6938",="0",="0",="759.8476",="0",="0",="2575.8311",="3163.7229",="0",="3356.4067",="0",="3095.4631",="41.023",="123.2325",="89.1336",="0",="284.6467",="649.9434",="0",="270.778",="0",="769.9759",="0",="0",="0",="395.4699",="0",="303.2644"
="VISpl4",="976.0377",="0",="0",="0",="0",="0",="0",="744.6049",="267.3316",="0",="0",="0",="0",="78.1228",="274.2814",="62.1242",="66.311",="623.6199",="0",="0",="0",="0",="654.4556",="494.6125",="0",="0",="0",="0",="66.0882",="0",="0",="0",="114.3327",="0",="0",="0",="832.2023",="272.5825",="42.681",="102.4605",="0",="0",="287.0981",="0",="0",="200.6165",="942.1998",="0",="116.4396",="0",="232.55",="0",="47.5102",="0",="0",="237.1961",="0",="0",="0",="0",="337.6375",="0",="0",="0",="392.7845",="0",="131.622"
="VISpl5",="5623.367",="0",="0",="0",="0",="0",="0",="1159.4179",="621.1819",="0",="0",="0",="0",="349.521",="1956.7262",="334.9422",="4600.1913",="8126.7181",="0",="0",="0",="0",="835.4449",="1632.9986",="0",="0",="0",="0",="2526.7502999999997",="0",="0",="0",="940.2456",="1029.3995",="0",="0",="2873.8955",="1832.9132",="6.9264",="1577.7494",="0",="0",="998.5853",="0",="0",="1830.2916",="732.3383",="0",="25.5943",="0",="692.6863",="440.456",="805.9585",="0",="0",="874.807",="1326.6535",="0",="2670.1867",="0",="1582.9677",="0",="0",="345.7972",="3085.7896",="0",="834.0326"
="VISli5",="255.2768",="771.4027",="0",="0",="273.235",="0",="2820.2755",="18.2427",="0",="555.4501",="246.2829",="0",="0",="842.1622",="0",="509.1653",="460.6633",="415.1899",="223.546",="642.16",="1543.6516",="1959.1543",="1674.7959",="0",="0",="0",="0",="0",="0",="345.8654",="0",="864.7366",="0",="408.9382",="0",="0",="269.6307",="1997.8973",="0",="300.5988",="2201.9162",="0",="0",="0",="533.2567",="588.1615",="63.0308",="0",="0",="0",="180.1555",="0",="0",="144.084",="0",="0",="0",="652.6328",="0",="0",="0",="360.0406",="0",="0",="0",="0",="274.7966"
