 ,221057_037,221057_043,221057_050,221057_126,221727_010,221728_092,221728_123,230065_047,230065_065,230065_067,230066_095,230066_098,230105_026,233380_042,233668_030,233668_031,233668_032,233668_034,233668_035,233668_036,233668_041,220191_078,221224_402,221224_404,221421_028,221642_768,221754_025,230110_004,230110_007,231566_045,233379_024,233666_018,233666_028,233666_032,233666_057,233666_066,233666_067,233666_132,233666_245,233667_085,233667_229,233667_300,233282_090,212069_003,212072_022,221224_361,221224_396,221227_111,221227_146,221367_025,221367_029,221526_010,221532_025,221532_043,221532_044,230105_021,231566_046,233379_014,233379_016,233379_017,233379_020,233666_015,233666_019,233666_021,233666_022,233666_023,233666_024,233666_025,233666_026,233666_027,233666_029,233666_030,233666_031,233666_033,233666_046,233666_056,233666_058,233666_059,233666_061,233666_062,233666_064,233666_129,233666_130,233666_131,233666_133,233666_134,233666_135,233666_136,233666_227,233666_228,233666_229,233666_230,233666_231,233666_232,233667_057,233667_064,233667_068,233667_070,233667_076,233667_086,233667_106,233667_109,233667_115,233667_116,233667_117,233667_118,233667_119,233667_120,233667_123,233667_125,233667_127,233667_140,233667_151,233667_207,233667_208,233667_228,233667_230,233667_301,221367_032,233281_100,233281_104,233281_111,233666_020,233666_047,233666_068,233667_153
="VISa5",="0",="0",="0",="94.6445",="0",="0",="218.2477",="0",="0",="0",="0",="0",="0",="152.8014",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="469.848",="54.7233",="0",="1433.0193",="915.3426",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="273.5786",="0",="528.469",="210.3686",="0",="0",="0",="0",="0",="0",="0",="0",="435.3357",="97.6471",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="166.9373",="1169.9001",="0",="0",="0",="585.8028",="845.1509",="492.462",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="0",="0",="0",="0",="2315.7965",="627.2322",="0",="0",="0",="0",="0",="0",="0",="462.3285",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="415.7666",="0",="0",="1690.8308",="367.5053",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3985.449",="109.0806",="0",="0",="1130.4244",="1654.408",="0",="408.6532",="0",="520.257",="0",="0",="0",="0",="0",="0",="228.6093",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="960.443",="0",="2237.1337",="191.9975",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="555.3083",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="0",="0",="0",="0",="2744.4481",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="47.0154",="0",="0",="0",="0",="0",="0",="14.6049",="0",="0",="79.0072",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="317.7923",="0",="0",="0",="0",="0",="4.79",="86.9517",="0",="0",="0",="0",="0",="0",="0",="0",="635.3444",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="234.3683",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam6a",="0",="0",="0",="0",="215.8553",="403.2791",="332.4278",="0",="0",="0",="0",="0",="0",="817.049",="0",="0",="0",="0",="217.8474",="0",="0",="534.1008",="638.6375",="175.0033",="0",="160.5948",="0",="412.2715",="1247.4389",="1310.9413",="0",="0",="0",="0",="0",="0",="0",="0",="0",="83.8128",="0",="0",="352.0104",="55.7466",="0",="0",="493.5467",="0",="0",="341.7655",="0",="0",="0",="0",="0",="0",="835.0898",="0",="62.5851",="209.2397",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="860.2547",="286.0203",="243.0877",="195.3685",="470.2295",="156.165",="551.1146",="0",="986.3749",="417.6751",="0",="0",="0",="0",="0",="0",="0",="111.6689",="0",="0",="0",="0",="0",="496.4604",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam6b",="0",="0",="0",="0",="42.0212",="324.838",="145.8203",="0",="25.4903",="0",="0",="0",="0",="97.7766",="0",="0",="0",="0",="41.572",="0",="0",="0",="10.4714",="397.2742",="0",="0",="0",="0",="0",="26.1499",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.5865",="0",="248.1266",="0",="0",="0",="0",="424.7417",="0",="0",="28.3202",="74.0967",="0",="0",="0",="0",="0",="370.0812",="185.9074",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="921.5024",="162.8511",="276.0263",="292.2282",="271.0658",="432.4574",="0",="0",="15.2933",="127.4197",="0",="0",="0",="0",="0",="0",="0",="450.1356",="0",="0",="0",="0",="0",="173.5289",="61.5046",="0",="0",="0",="0",="0",="0",="0"
="or",="0",="0",="0",="0",="1415.8897",="0",="1397.4514",="0",="0",="0",="0",="681.3591",="289.5807",="107.4961",="0",="44.5183",="0",="142.8363",="870.1392",="474.8216",="0",="156.3061",="0",="699.4879000000001",="2764.684",="0",="426.3036",="0",="0",="499.7506",="23.595",="980.0226",="1243.2186",="734.5748",="2528.2033",="796.6625",="0",="0",="1130.8684",="1313.0095",="0",="646.6578",="0",="0",="919.2538",="1374.434",="215.6188",="0",="0",="2842.179",="991.2924",="0",="0",="730.149",="120.5557",="0",="1443.3637",="1729.9257",="1626.2963",="2290.9256",="3128.398",="1580.6351",="1135.3607",="1245.9627",="1571.782",="1884.8008",="1087.15",="1255.377",="1079.0778",="3172.4317",="1324.3356",="1046.1662",="1201.0055",="1294.9935",="1533.3551",="1702.0016",="1695.8943",="1772.0426",="1676.8862",="1368.7236",="1499.8413",="1810.9057",="1704.8773",="1328.0488",="2523.0459",="1176.1098",="1138.7393",="1400.6559",="1381.3067",="1691.1282",="1243.8921",="1745.8049",="1186.23",="2115.6217",="900.0272",="1428.6505",="1534.6044",="1030.2701",="1278.392",="740.8059",="0",="0",="0",="0",="4855.8678",="3781.1731",="1592.8142",="1417.6192",="1082.0012",="2367.8945",="3642.4444",="1052.1999",="1589.994",="1463.49",="921.1529",="1343.8278",="1629.6423",="0",="2382.4991",="2119.9328",="4072.8209",="1497.2436",="1406.5032",="1727.526",="1343.0817",="1359.305"
="MOs6b",="0",="0",="0",="0",="0",="48.128",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="501.46619999999996",="218.0021",="105.1285",="757.8071",="142.8464",="0",="66.057",="24.2731",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="61.7627",="75.5085",="0",="42.1708",="0",="0",="232.5546",="0",="0",="123.4479",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv1",="0",="0",="0",="0",="0",="2612.2319",="5001.9479",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="93.881",="477.7249",="0",="6945.9715",="2317.3094",="573.2636",="384.4302",="2474.7938",="1936.9488999999999",="0",="0",="1565.9338",="0",="0",="0",="0",="0",="0",="0",="0",="502.9573",="0",="0",="0",="0",="0",="725.6208",="1099.0927",="0",="0",="0",="272.5225",="0",="0",="377.9455",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="318.2091",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv2/3",="0",="0",="0",="0",="0",="443.668",="2055.7668",="0",="0",="1544.4403",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="135.1587",="325.8751",="6257.7216",="154.8288",="271.6925",="119.8339",="895.9377",="342.4992",="0",="0",="5862.9784",="0",="0",="0",="0",="0",="0",="0",="0",="6134.9575",="0",="0",="0",="67.8807",="0",="0",="0",="0",="0",="0",="919.5902",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="233.4639",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv5",="0",="0",="0",="0",="0",="197.5674",="2716.6319",="0",="0",="14432.302",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="758.9407",="927.0459",="770.4846",="2015.8721",="555.2688",="2498.8043",="718.2794",="174.6942",="0",="0",="11335.4497",="0",="0",="0",="0",="0",="0",="0",="0",="3629.3623",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1094.3102",="383.2635",="0",="16.724",="9.7291",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1532.1074",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa1",="0",="0",="0",="0",="0",="134.0238",="0",="0",="0",="0",="0",="0",="0",="2838.9131",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2542.5602",="4609.4618",="0",="4736.9202",="6337.177299999999",="1522.9454",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1023.924",="0",="0",="1102.1648",="2793.1993",="1199.8003",="0",="0",="0",="1152.2203",="0",="0",="0",="764.1265",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="99.4643",="0",="148.9479",="1012.4284",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa6a",="0",="0",="0",="0",="0",="108.369",="301.2585",="0",="0",="0",="0",="0",="0",="240.2581",="0",="0",="0",="0",="0",="0",="0",="3.5628",="0",="0",="572.435",="0",="2160.6792",="270.6716",="402.3112",="687.0593",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1164.2245",="0",="275.0196",="1320.5227",="0",="0",="0",="0",="0",="0",="0",="0",="1841.7835",="9.0178",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="78.0017",="569.8472",="559.48",="0",="0",="1126.5514",="718.1543",="273.2991",="50.8161",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa6b",="0",="0",="0",="0",="0",="350.2539",="0",="0",="0",="0",="0",="0",="0",="22.7317",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="752.8375",="0",="469.4271",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="292.5446",="0",="278.0084",="0",="532.9799",="78.4844",="0",="3.4469",="0",="0",="0",="0",="0",="0",="0",="0",="0",="88.3969",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="858.0714",="749.6537",="971.4259",="680.8461",="218.709",="330.8435",="7.2044",="401.0991",="385.2753",="432.1973",="0",="0",="0",="0",="0",="0",="0",="477.7479",="0",="0",="0",="0",="0",="447.6203",="0",="0",="0",="0",="0",="0",="0",="0"
="PL1",="0",="0",="0",="0",="0",="875.0916",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="361.8408",="0",="0",="3394.8345999999997",="0",="0",="0",="3735.1980999999996",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="485.9896",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="PL2/3",="0",="0",="0",="0",="0",="144.8155",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="301.1466",="0",="0",="111.4174",="0",="0",="31.9345",="564.5433",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="361.2304",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="PL5",="0",="0",="0",="0",="0",="159.8834",="0",="0",="0",="839.1411",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="475.1444",="840.2576",="0",="1016.4309",="0",="44.0145",="1282.2752",="931.3413",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1893.7737",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="0",="0",="0",="0",="0",="0",="731.8216",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4313.2897",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="65.4494",="0",="0",="0",="0",="474.6791",="0",="0",="1003.6501",="0",="0",="0",="0",="1465.7847",="0",="0",="0",="4570.2319",="0",="0",="59.988",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="282.422",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal5",="0",="0",="0",="0",="0",="0",="349.5223",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="282.1801",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="864.0355",="0",="0",="0",="0",="71.9166",="0",="0",="0",="0",="0",="0",="0",="44.618",="0",="0",="634.5498",="681.0839",="47.1578",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal6a",="0",="0",="0",="0",="0",="0",="312.3871",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="451.6736",="0",="349.1943",="0",="0",="784.7246",="0",="0",="0",="0",="0",="0",="0",="0",="0",="272.9572",="0",="0",="0",="0",="33.0263",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="434.7726",="278.2396",="722.279",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="366.1252",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl1",="0",="0",="0",="0",="0",="0",="1461.8342",="0",="0",="0",="0",="0",="0",="0",="0",="227.2874",="564.3044",="683.7719",="0",="259.3022",="0",="0",="0",="0",="1293.2156",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1868.0324",="0",="355.9217",="0",="0",="0",="0",="2509.3424",="0",="0",="0",="0",="0",="0",="0",="903.2454",="0",="0",="0",="11576.029",="0",="0",="999.9382",="0",="0",="0",="0",="137.1474",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="540.8406",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl5",="0",="0",="0",="0",="0",="0",="141.589",="0",="0",="0",="0",="0",="0",="0",="0",="3910.466",="1366.5358",="380.5481",="0",="1404.7522",="0",="0",="625.9328",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="407.6377",="0",="0",="0",="0",="0",="0",="198.9761",="0",="0",="0",="0",="0",="24.9752",="0",="0",="0",="0",="152.6019",="799.3873",="1296.535",="0",="1648.4946",="403.9612",="0",="0",="0",="733.9576",="0",="0",="0",="0",="0",="0",="0",="0",="0",="139.7863",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="134.2329",="345.807",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="505.0062",="0",="483.2232",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli1",="0",="0",="0",="0",="0",="0",="1043.3813",="0",="0",="0",="0",="0",="0",="0",="0",="681.3975",="0",="568.5083",="0",="164.4318",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="396.1825",="0",="159.5712",="0",="0",="0",="0",="1740.9956",="0",="0",="58.9702",="0",="0",="0",="0",="0",="0",="0",="0",="791.0664",="0",="0",="0",="0",="0",="0",="0",="5.9089",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli2/3",="0",="0",="0",="0",="0",="0",="431.7311",="0",="0",="0",="0",="0",="0",="0",="0",="3287.994",="343.626",="1832.4203",="0",="648.5187",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="580.8709",="0",="65.6515",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="179.2126",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv6a",="0",="0",="0",="0",="0",="0",="926.5024",="0",="0",="518.5109",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="742.7855",="520.3487",="1746.0963",="803.0898",="662.9399",="130.2797",="0",="0",="1197.902",="0",="0",="1104.9865",="0",="0",="0",="0",="0",="0",="0",="0",="2921.6109",="0",="0",="0",="0",="0",="0",="0",="0",="0",="13.3669",="1061.9687",="0",="263.3076",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1217.0561",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv6b",="0",="0",="0",="0",="0",="0",="47.9118",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1061.8058",="0",="703.2173",="211.2578",="139.3051",="0",="25.8528",="0",="40.296",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="161.3798",="0",="0",="0",="0",="0",="0",="0",="0",="0",="34.2928",="817.5689",="0",="111.3841",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl6a",="0",="0",="0",="0",="0",="0",="474.0935",="0",="0",="0",="0",="0",="0",="0",="0",="142.9947",="0",="0",="0",="0",="0",="455.5158",="0",="0",="1556.9795",="0",="678.8399",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="342.0626",="0",="0",="470.7822",="0",="0",="1468.2487",="0",="186.9272",="0",="140.6829",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="13.8702",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="15.731",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl6b",="0",="0",="0",="0",="0",="0",="178.5342",="0",="0",="0",="0",="0",="0",="0",="0",="314.5029",="0",="0",="0",="0",="0",="164.6628",="0",="0",="866.6209",="0",="101.2468",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="67.3929",="0",="0",="0",="0",="0",="0",="0",="22.4915",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="186.8729",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="237.3425",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm3",="0",="0",="0",="0",="0",="0",="0",="15.937",="0",="0",="0",="0",="1327.2333",="0",="0",="0",="0",="212.1017",="0",="0",="0",="0",="257.8851",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1177.5891",="0",="0",="0",="259.1149",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="509.0544",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="383.3696",="0",="0",="0",="0",="140.905",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="551.2038",="0",="122.5874",="132.9602",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm5",="0",="0",="0",="0",="0",="0",="0",="167.0037",="0",="0",="0",="0",="482.1527",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1969.1348",="0",="0",="0",="708.7794",="0",="0",="0",="67.9611",="0",="0",="0",="0",="0",="285.3382",="0",="0",="0",="5362.082",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1585.9607",="0",="0",="0",="0",="248.0103",="272.9492",="0",="0",="0",="0",="0",="863.1215",="0",="0",="0",="0",="1730.2059",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1114.6364",="0",="46.7536",="584.5305",="0",="0",="0",="0",="0",="472.8599",="0",="0",="0",="0",="0",="1728.5721",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm6",="0",="0",="0",="0",="0",="0",="0",="299.683",="0",="0",="0",="0",="51.4198",="0",="0",="0",="0",="0",="0",="0",="0",="0",="239.6618",="0",="0",="0",="0",="0",="0",="0",="37.019",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7755.0396",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="165.6983",="0",="0",="0",="0",="0",="20.4112",="0",="0",="0",="0",="0",="1060.0989",="0",="0",="0",="0",="731.4687",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="491.0524",="0",="0",="212.1995",="0",="0",="0",="0",="0",="207.6817",="0",="0",="0",="0",="0",="507.9514",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
