 ,221057_037,221057_043,221057_050,221057_126,221727_010,221728_092,221728_123,230065_047,230065_065,230065_067,230066_095,230066_098,230105_026,233380_042,233668_030,233668_031,233668_032,233668_034,233668_035,233668_036,233668_041,220191_078,221224_402,221224_404,221421_028,221642_768,221754_025,230110_004,230110_007,231566_045,233379_024,233666_018,233666_028,233666_032,233666_057,233666_066,233666_067,233666_132,233666_245,233667_085,233667_229,233667_300,233282_090,212069_003,212072_022,221224_361,221224_396,221227_111,221227_146,221367_025,221367_029,221526_010,221532_025,221532_043,221532_044,230105_021,231566_046,233379_014,233379_016,233379_017,233379_020,233666_015,233666_019,233666_021,233666_022,233666_023,233666_024,233666_025,233666_026,233666_027,233666_029,233666_030,233666_031,233666_033,233666_046,233666_056,233666_058,233666_059,233666_061,233666_062,233666_064,233666_129,233666_130,233666_131,233666_133,233666_134,233666_135,233666_136,233666_227,233666_228,233666_229,233666_230,233666_231,233666_232,233667_057,233667_064,233667_068,233667_070,233667_076,233667_086,233667_106,233667_109,233667_115,233667_116,233667_117,233667_118,233667_119,233667_120,233667_123,233667_125,233667_127,233667_140,233667_151,233667_207,233667_208,233667_228,233667_230,233667_301,221367_032,233281_100,233281_104,233281_111,233666_020,233666_047,233666_068,233667_153
="VISpor5",="1544.2155",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="93.5998",="0",="251.7304",="0",="49.7381",="0",="0",="1857.7882",="0",="0",="0",="904.5017",="0",="0",="0",="19.2536",="0",="0",="0",="17.1057",="0",="0",="0",="263.2711",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1071.3301",="0",="0",="0",="850.0331",="0",="0",="0",="0",="503.4193",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="444.1444",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1208.1356",="867.2393",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5.4419",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor6a",="9.3377",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="161.2034",="0",="0",="0",="0",="237.3745",="0",="0",="0",="0",="595.3742",="0",="0",="0",="1010.0699",="0",="0",="0",="11.5363",="0",="0",="0",="43.3891",="0",="0",="0",="245.6608",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="164.3229",="0",="0",="0",="0",="647.1133",="606.2886",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="468.3028",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="111.6431",="678.4139",="0",="0",="0",="0",="0",="543.6024",="0",="0",="0",="0",="0",="465.4403",="0",="395.1653",="0",="38.2678",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd5",="515.6907",="0",="1486.4827",="0",="0",="3800.0938",="108.7129",="0",="0",="2312.3159",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="842.5757",="826.8938",="1065.1480000000001",="5299.098599999999",="5665.1299",="1248.4194",="5631.7803",="3053.1728",="2532.5533",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1901.6619",="0",="0",="0",="497.9816",="0",="762.6377",="2616.7431",="0",="0",="3101.3229",="113.2248",="0",="1898.5412",="2974.9894",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1068.1626",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="636.8843",="0",="0",="0",="4921.9582",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl6a",="121.4399",="1144.6265",="903.9333",="176.1183",="251.52859999999998",="3143.4761",="1478.5127",="2047.5733",="751.9192",="0",="0",="475.398",="199.5328",="719.739",="290.8678",="460.9067",="127.5955",="339.0075",="398.1781",="751.1253",="420.9384",="4208.37",="3475.2569",="4274.5892",="586.9605",="2543.824",="868.9487",="814.421",="6238.517900000001",="11265.8811",="0",="52.0736",="42.0374",="401.3614",="41.3397",="274.4538",="1015.2555",="535.9406",="60.7853",="3062.9818",="3296.7389",="3918.3812",="594.2242",="710.7346",="182.0628",="1263.9831",="1199.1072",="370.4961",="1340.8648",="179.0738",="886.7034",="1310.9251",="0",="555.8768",="904.8809",="283.8756",="2034.7422",="204.5093",="115.3807",="2695.1067",="354.0341",="59.1311",="72.8971",="49.2163",="56.1375",="705.2607",="199.225",="248.3143",="419.2029",="85.3482",="101.713",="56.9965",="56.9254",="92.7415",="217.9847",="73.0012",="85.8219",="80.7603",="81.1493",="65.0256",="65.1773",="158.3013",="229.7082",="187.1788",="330.8974",="46.2339",="140.8825",="189.4884",="83.1594",="91.2534",="1096.1204",="156.3845",="166.52",="657.7593",="878.1093",="2001.1451",="2962.3408",="1228.2124",="859.688",="4405.1865",="800.9659",="764.459",="866.3493",="1543.095",="648.5673",="1535.5053",="64.9208",="292.9225",="64.4255",="1912.9132",="160.3337",="473.3014",="568.6908",="1313.6805",="1061.1816",="143.6599",="95.703",="3470.4097",="84.1918",="1876.4568",="0",="1802.6182",="61.8127",="162.4946",="13.9945",="347.2557"
="RSPagl6b",="57.6714",="109.7198",="49.1874",="0",="44.0504",="0",="246.1733",="59.5438",="231.7586",="23.4818",="0",="60.579",="75.8283",="633.2124",="0",="0",="0",="0",="0",="0",="2.3425",="0",="625.3823",="756.042",="432.3748",="0",="0",="91.1398",="405.0335",="438.0564",="0",="0",="6.2922",="5.0296",="0",="0",="0",="0",="0",="105.5313",="0",="100.5292",="419.7198",="49.821",="52.7184",="95.4857",="0",="0",="37.1917",="2.3824",="197.9142",="0",="0",="91.7528",="0",="166.6371",="152.699",="39.5986",="142.259",="54.9442",="17.2952",="0",="0",="0",="0",="0",="0",="0",="2.7821",="7.7787",="0",="4.7327",="0",="0",="5.3503",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="161.797",="27.9005",="24.8751",="0",="19.5878",="46.5791",="214.0878",="341.5898",="236.0173",="205.272",="0",="109.8758",="0",="0",="0",="108.9999",="0",="248.3679",="85.2762",="0",="0",="122.5342",="7.5635",="515.4906",="134.0525",="142.7986",="0",="0",="0",="40.5872",="57.7127",="64.8891"
="RSPd1",="2812.7976",="800.8268",="1275.4384",="2132.0915",="3209.838",="2062.3396",="3481.0921",="238.4555",="0",="814.425",="12595.7652",="37.6075",="11093.4258",="10683.8436",="0",="0",="179.9814",="39.506",="5198.4805",="1566.8971",="215.9131",="2608.8157",="6661.0862",="2543.4394",="2759.2182000000003",="2222.8572999999997",="4506.8823999999995",="7354.2159",="4462.9122",="1425.1412",="105.0057",="0",="4626.7545",="56.641",="0",="0",="1215.4884",="5804.5974",="0",="488.1313",="0",="5356.2835",="11921.1178",="18.02",="3307.1304",="3184.7507",="0",="422.9871",="2316.6891",="1721.5991",="2851.818",="5.8951",="231.7857",="0",="0",="0",="610.1697",="1403.1336",="4294.451",="1231.2489",="1657.4862",="1460.0045",="0",="0",="0",="846.3724",="122.9325",="0",="0",="0",="407.0047",="362.8293",="0",="0",="0",="0",="152.1579",="0",="53.0089",="0",="0",="859.7614",="231.4311",="451.052",="911.1867",="0",="0",="0",="0",="464.2916",="0",="358.2479",="3363.6052",="0",="615.5873",="370.627",="0",="0",="1246.4752",="0",="103.045",="0",="0",="0",="130.9262",="1207.9924",="0",="145.9166",="0",="0",="158.3253",="285.123",="706.3196",="97.4879",="718.9551",="26.4931",="0",="2141.6241",="460.7353",="0",="0",="0",="0",="132.6366",="1112.8961",="0"
="RSPd2/3",="3776.2163",="2084.4922",="4124.5522",="6031.72",="8696.5995",="6861.6669",="5545.358200000001",="2487.2343",="0",="7343.7207",="1601.2948",="1640.9972",="13152.9856",="13037.917",="25.6725",="1069.9893",="414.4559",="77.8195",="4133.7882",="3800.1264",="701.9047",="1870.4241",="3312.0573",="1618.8278",="3118.8925",="1453.9331",="2943.3959",="5195.6557999999995",="5930.992",="3209.375",="71.7698",="154.3321",="4521.6716",="48.3818",="0",="0",="2378.1279",="3947.2399",="0",="72.1426",="0",="3243.9979000000003",="4824.8319",="1706.1634",="2519.2308",="2922.2603",="103.7844",="613.8418",="3577.4272",="1918.8913",="5379.576",="860.9333",="263.4993",="326.3202",="0",="0",="1628.3045",="581.1238",="5962.0457",="2953.4303",="1643.8003",="633.9674",="0",="0",="0",="0",="40.0117",="0",="83.1884",="0",="1092.4863",="1631.5841",="0",="0",="632.2748",="0",="182.4782",="0",="242.384",="0",="0",="606.9832",="160.9003",="324.8176",="295.7171",="0",="0",="0",="0",="110.9617",="0",="0",="829.3131",="0",="717.59",="988.6521",="0",="139.2379",="1738.1994",="0",="1089.9152",="11.7212",="0",="0",="182.8978",="2107.7206",="148.7426",="366.1702",="0",="0",="214.6764",="761.7107",="283.2324",="112.2579",="658.7368",="858.0941",="79.6351",="724.7248",="925.6422",="119.1204",="186.5373",="0",="0",="665.6681",="3178.7937",="11.765"
="RSPd5",="2642.0148",="8370.041",="4472.5284",="936.4119",="12453.1246",="6723.6224",="7038.1048",="7271.5482999999995",="1445.076",="13253.334200000001",="332.3039",="3781.048",="5169.1025",="6324.2143",="410.3539",="2393.75",="3083.3542",="2350.9067",="13598.8136",="3187.1557",="1068.2837",="2915.6285",="4936.0053",="4108.3646",="5469.3071",="4993.6728",="5851.3129",="7237.5626",="17909.8914",="5140.0873",="2356.3094",="857.4542",="6277.7195",="2905.0138",="385.5298",="592.9595",="6948.6939",="6300.0021",="613.412",="1970.4911",="1225.4945",="5463.661700000001",="4419.9889",="4955.5507",="10642.7702",="13224.3343",="3134.6714",="2784.8856",="7273.1156",="7609.5463",="12684.5961",="2679.9289",="644.3145",="1113.3036",="4162.6817",="302.3117",="13975.2575",="8437.1279",="6324.1505",="11819.4755",="6363.3313",="5624.8635",="261.8651",="376.7786",="374.0536",="772.1098",="1356.9506",="389.6636",="306.3292",="270.613",="2594.1603",="5800.1428",="1585.9157",="816.0991",="3064.6191",="513.7945",="4128.0222",="812.7141",="1352.9559",="232.6636",="204.3147",="3610.4384",="1981.6546",="3568.8707",="3429.9217",="200.7421",="836.5103",="133.5078",="435.452",="992.2975",="277.9836",="241.8035",="256.3325",="18.7725",="2751.1238",="2562.4866",="1235.557",="1543.6423",="5371.1632",="323.8733",="2596.1648",="4130.9626",="576.176",="1177.6232",="858.0525",="4703.2242",="762.7901",="558.9777",="114.4632",="978.5113",="1781.8129",="1661.4658",="354.3485",="943.5028",="1523.7471",="1881.6966",="2735.3051",="4496.2715",="6329.4707",="7771.0305",="1020.217",="1255.2772",="153.39",="2966.0475",="7728.1219",="75.6152"
="RSPd6a",="2110.2468",="1627.8162",="554.963",="1017.9654",="897.3518",="1152.9217",="1214.7328",="4401.8846",="2967.1955",="4016.3727",="0",="780.1278",="2408.2785",="1383.7501000000002",="2.4332",="175.9616",="73.3386",="1381.6663",="2294.524",="633.1696",="194.2658",="5193.8628",="4150.1529",="5895.1188",="6557.1816",="2150.2205",="1805.0953",="7685.9581",="10285.8371",="1398.1109000000001",="394.7212",="2035.834",="1613.4703",="3388.7318",="529.8891",="604.1854",="3236.2897",="789.9377",="429.7317",="1792.5934",="5171.9409",="13228.614300000001",="6988.0129",="6372.5267",="479.8344",="11941.2171",="5766.6505",="3369.761",="3784.0802",="968.1613",="2604.5091",="6073.3441",="1368.8863",="2113.2533",="7993.2641",="2767.2762",="8862.4444",="1132.556",="835.0589",="2164.4565",="3131.6093",="2511.0148",="571.158",="533.9227",="530.4065",="1293.8589",="917.3612",="1197.0578",="641.9656",="770.1083",="1821.2787",="4519.9538",="781.1473",="1043.6505",="1764.4281",="1492.0847",="968.1412",="890.4362",="673.2353",="515.8535",="765.8239",="1996.1631",="3498.404",="1509.0366",="1862.5102",="466.2373",="659.9117",="486.1131",="773.9998",="717.7586",="1461.972",="443.8042",="404.0856",="2069.5444",="1234.4759",="462.0453",="155.685",="1576.7974",="3873.1927",="1159.6271",="1903.4774",="1946.5074",="701.6004",="1180.287",="2033.4278",="6511.3968",="3106.5841",="1073.7203",="1790.6211",="2751.1031",="2441.8128",="2217.0373",="1094.2045",="1231.857",="2191.7256",="1868.017",="647.1676",="8314.21",="1669.2881",="3973.0112",="1377.3028",="2311.7142",="611.9443",="2709.2142000000003",="1074.3563",="304.3741"
="RSPd6b",="44.857",="165.0804",="58.35",="0",="0",="0",="272.7412",="129.3805",="275.8543",="379.7725",="0",="53.5671",="35.3907",="184.8093",="0",="0",="0",="0",="0",="0",="0",="431.087",="161.3261",="478.5352",="563.0682999999999",="0",="0",="31.2995",="294.1876",="64.1673",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="58.4925",="144.3363",="1331.6674",="33.598",="0",="43.4365",="93.2227",="37.7972",="213.7285",="48.3227",="0",="12.1442",="0",="201.7304",="20.6251",="7.8865",="4.9988",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="141.9788",="22.306",="47.7746",="0",="71.4067",="36.0796",="0",="0",="54.0813",="0",="0",="170.0884",="52.6639",="71.432",="0",="72.5147",="0",="0",="0",="152.0611",="127.5523",="90.2598"
