 ,221057_071,221057_088,221057_090,221057_098,221057_102,221057_103,221057_107,221057_152,221057_155,221057_156,221364_052,221364_081,221364_085,221364_087,221479_216,221479_226,221481_118,221481_507,221481_513,221701_034,221701_035,221701_039,221701_048,221701_052,221701_055,221701_056,221701_060,221701_062,221727_015,230066_079,230066_083,230066_087,230066_089,230066_121,230066_122,230066_125,230066_127,231570_012,231685_259,231687_008,231687_016,233379_001,233379_049,233379_050,233379_051,233379_052,233379_112,233379_114,233379_115,233379_122,233379_124,233379_129,233668_057,233668_075,233668_076,233668_097,233668_130,233668_170,233795_001,233795_011,233795_073,233795_075,233795_090,233795_125,221090_095,221090_098,221417_015,221417_016,221418_128,221418_129,221418_139,221478_278,221480_100,221702_004,231685_255,231685_274,231685_275,231685_286,233379_031,233379_036,233379_039,233379_040,233379_097,233379_100,233379_102,233379_103,233379_107,233379_109,233379_130,233379_142,233380_036,233380_092,233380_094,233666_218,221090_092,221090_094,221090_099,221091_113,221091_125,221091_141,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221479_236,221515_017,231685_244,231687_014,233285_248,233379_123,233666_168,233666_201,233667_256,233667_269,233667_289,221091_171,231687_017,233284_183,233285_047,212073_012,221225_015,221226_023,221365_066,221365_067,221365_072,221365_073,231687_002,231687_012,233285_008,233285_040,233285_044,233285_246,233666_192,233666_214,233666_215,233666_222,233666_225,221515_016,221536_029,221719_054,233281_086,233281_096,233285_039,233285_041,233285_048
="VISl4",="1",="2",="0",="0",="4",="2",="0",="0",="4",="0",="0",="0",="0",="0",="0",="8",="0",="4",="0",="0",="2",="0",="0",="24",="1",="0",="0",="0",="0",="1",="1",="0",="0",="1",="0",="3",="4",="0",="6",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="15",="0",="0",="0",="0",="1",="0",="0",="4",="0",="0",="0",="2",="0",="0",="0",="0",="0",="3",="0",="22",="1",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="2",="0",="0",="0",="0",="1",="0",="19",="0",="0",="0",="0",="0",="5",="5",="7",="8",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl5",="1",="4",="0",="0",="5",="5",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="14",="10",="0",="0",="0",="5",="1",="0",="0",="0",="0",="0",="3",="10",="0",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="33",="1",="0",="0",="2",="0",="0",="1",="0",="5",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="2",="3",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="2",="4",="0",="4",="0",="0",="0",="0",="0",="2",="3",="6",="16",="0",="0",="0",="0",="0",="4",="7",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="21",="38",="12",="17",="9",="1",="8",="61",="6",="4",="2",="11",="8",="22",="4",="5",="42",="7",="35",="3",="8",="9",="35",="22",="20",="14",="28",="24",="13",="14",="36",="12",="18",="29",="52",="34",="21",="5",="8",="25",="91",="20",="2",="8",="16",="7",="40",="24",="5",="24",="14",="15",="6",="32",="22",="2",="5",="10",="2",="31",="47",="69",="8",="13",="19",="1",="104",="65",="35",="11",="8",="87",="49",="7",="38",="119",="53",="7",="89",="38",="2",="2",="18",="3",="1",="33",="6",="2",="34",="0",="67",="16",="46",="24",="40",="20",="74",="36",="16",="34",="44",="3",="23",="15",="0",="9",="7",="10",="41",="36",="40",="16",="39",="38",="165",="33",="10",="79",="0",="22",="25",="71",="53",="41",="41",="12",="0",="54",="27",="0",="0",="0",="0",="0",="0",="0",="19",="1",="0",="4",="0",="2",="0",="3",="0",="0",="4",="40",="0",="1",="0",="0",="0",="0",="0"
="VISp2/3",="17",="55",="58",="44",="25",="16",="4",="54",="26",="41",="20",="25",="18",="19",="31",="50",="65",="102",="58",="51",="15",="42",="59",="73",="19",="10",="52",="44",="19",="8",="8",="3",="17",="15",="29",="25",="11",="14",="56",="11",="40",="15",="11",="14",="21",="11",="39",="29",="2",="21",="32",="39",="7",="11",="41",="15",="15",="23",="23",="10",="7",="14",="29",="13",="2",="0",="21",="18",="36",="10",="20",="43",="10",="3",="5",="18",="15",="0",="32",="4",="5",="1",="5",="5",="9",="8",="3",="2",="20",="1",="6",="11",="50",="6",="19",="4",="18",="16",="13",="16",="13",="1",="15",="10",="1",="3",="0",="2",="0",="19",="6",="10",="38",="3",="21",="29",="1",="13",="2",="6",="28",="6",="8",="4",="5",="22",="0",="2",="4",="0",="0",="0",="0",="0",="0",="0",="4",="2",="2",="1",="1",="4",="0",="1",="0",="0",="2",="1",="0",="0",="0",="0",="0",="1",="1"
="VISp4",="9",="18",="3",="4",="11",="10",="8",="18",="8",="12",="1",="4",="1",="8",="15",="6",="12",="17",="12",="19",="12",="10",="27",="51",="15",="6",="10",="22",="3",="2",="22",="5",="5",="5",="23",="15",="17",="8",="8",="3",="19",="8",="2",="2",="9",="7",="17",="11",="3",="7",="4",="8",="2",="3",="5",="7",="3",="17",="1",="0",="3",="13",="9",="2",="19",="6",="31",="28",="11",="5",="13",="29",="31",="6",="18",="33",="38",="6",="14",="7",="4",="15",="11",="2",="21",="23",="18",="4",="63",="4",="40",="39",="11",="18",="13",="10",="35",="11",="12",="4",="13",="1",="16",="1",="0",="3",="0",="8",="9",="12",="8",="22",="20",="10",="56",="21",="25",="31",="15",="17",="7",="5",="2",="3",="0",="5",="0",="2",="2",="2",="5",="26",="0",="0",="0",="0",="9",="2",="4",="1",="1",="4",="2",="5",="11",="8",="6",="1",="2",="14",="28",="2",="1",="4",="18"
="VISp5",="10",="15",="10",="17",="7",="11",="10",="26",="7",="23",="15",="21",="5",="16",="47",="6",="51",="29",="31",="38",="15",="20",="5",="15",="7",="5",="16",="6",="5",="3",="14",="13",="6",="10",="38",="47",="16",="19",="33",="2",="27",="13",="7",="1",="13",="9",="30",="5",="4",="14",="6",="11",="8",="24",="14",="1",="14",="42",="7",="5",="11",="16",="20",="9",="16",="4",="11",="5",="22",="9",="33",="15",="25",="6",="4",="8",="13",="10",="0",="1",="2",="2",="1",="1",="5",="5",="3",="0",="17",="3",="2",="3",="13",="15",="28",="14",="51",="13",="26",="13",="26",="14",="48",="8",="1",="21",="1",="12",="15",="12",="10",="13",="30",="9",="79",="19",="23",="33",="23",="12",="23",="15",="8",="12",="3",="10",="109",="2",="9",="19",="22",="25",="10",="2",="2",="8",="56",="39",="5",="24",="8",="28",="24",="12",="27",="29",="37",="3",="2",="31",="49",="4",="7",="4",="17"
="VISp6a",="0",="0",="1",="0",="0",="2",="1",="0",="2",="0",="0",="4",="1",="0",="13",="1",="6",="2",="0",="1",="0",="2",="1",="1",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="4",="0",="8",="0",="3",="0",="0",="0",="2",="0",="1",="1",="2",="0",="1",="0",="0",="1",="5",="2",="0",="0",="0",="2",="2",="1",="1",="0",="2",="0",="0",="1",="2",="0",="0",="5",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="4",="0",="3",="0",="2",="0",="1",="1",="3",="0",="8",="2",="8",="1",="0",="1",="0",="8",="3",="0",="2",="1",="0",="5",="0",="3",="9",="1",="0",="2",="1",="2",="1",="3",="152",="6",="13",="9",="1",="0",="2",="3",="5",="3",="8",="21",="8",="6",="1",="7",="11",="5",="4",="1",="16",="17",="6",="0",="10",="4",="4",="2",="3"
="VISp6b",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="1",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="20",="4",="2",="5",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="2",="0",="0",="9",="0",="0",="1",="0",="2",="0",="0"
="VISpm1",="8",="16",="16",="3",="2",="1",="14",="0",="0",="1",="0",="0",="0",="2",="1",="0",="0",="0",="3",="5",="3",="9",="1",="1",="11",="6",="0",="10",="12",="0",="0",="1",="12",="0",="11",="1",="0",="0",="0",="0",="0",="3",="0",="2",="5",="6",="0",="0",="0",="1",="7",="0",="0",="0",="0",="4",="1",="14",="0",="0",="0",="0",="0",="0",="1",="7",="1",="1",="0",="2",="1",="0",="1",="0",="23",="3",="13",="1",="0",="4",="2",="3",="18",="5",="7",="6",="1",="3",="12",="0",="0",="0",="0",="0",="0",="2",="3",="0",="14",="17",="20",="3",="7",="22",="5",="4",="7",="0",="5",="7",="0",="1",="3",="5",="35",="3",="4",="7",="0",="1",="4",="4",="1",="0",="1",="0",="0",="15",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="47",="0",="0",="0",="0",="0",="0",="0"
="VISpm2/3",="8",="13",="21",="14",="4",="3",="13",="0",="0",="16",="0",="0",="0",="0",="8",="22",="0",="0",="7",="17",="10",="13",="5",="3",="3",="2",="1",="21",="20",="0",="0",="3",="15",="0",="2",="1",="0",="0",="0",="0",="0",="3",="1",="3",="4",="6",="0",="0",="0",="2",="2",="0",="0",="0",="0",="6",="7",="22",="0",="0",="0",="0",="0",="4",="0",="1",="1",="0",="0",="3",="8",="0",="0",="0",="11",="0",="12",="5",="0",="1",="4",="0",="0",="2",="4",="2",="0",="0",="2",="0",="0",="0",="4",="0",="0",="3",="7",="3",="16",="9",="12",="2",="17",="17",="1",="0",="3",="1",="7",="1",="0",="2",="5",="3",="2",="7",="12",="5",="0",="3",="0",="3",="0",="0",="3",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="3",="0"
